,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8
0,0.025:country,0.032:climate,0.077:woman,0.057:ocean,0.065:education,0.108:water,0.064:urban,0.046:material,0.118:energy
1,0.014:child,0.025:biodiversity,0.046:girl,0.057:marine,0.053:primary,0.053:sanitation,0.054:city,0.044:consumption,0.043:renewable
2,0.012:rate,0.023:change,0.031:gender,0.027:coastal,0.052:school,0.029:drinking,0.032:population,0.036:sustainable,0.040:electricity
3,0.012:health,0.023:climate change,0.028:woman girl,0.024:sustainable,0.037:child,0.029:drinking water,0.031:slum,0.027:production,0.039:renewable energy
4,0.011:global,0.023:forest,0.025:country,0.023:fishery,0.029:secondary,0.026:management,0.024:urban population,0.025:consumption production,0.038:access
5,0.011:developing,0.021:area,0.022:marriage,0.018:resource,0.027:learning,0.024:safely,0.021:public,0.021:footprint,0.031:clean
6,0.010:death,0.020:country,0.021:equality,0.017:level,0.023:country,0.022:water sanitation,0.019:space,0.021:sustainable consumption,0.029:technology
7,0.010:developed,0.019:land,0.019:violence,0.016:stock,0.021:primary secondary,0.022:country,0.019:world,0.021:waste,0.028:fuel
8,0.010:disease,0.017:specie,0.018:gender equality,0.016:ecosystem,0.021:proficiency,0.021:service,0.018:waste,0.020:sustainable consumption production,0.025:global
9,0.010:poverty,0.017:disaster,0.018:sexual,0.016:fishing,0.020:primary school,0.021:facility,0.017:urbanization,0.020:material footprint,0.024:cooking
