,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13
0,0.039:health,0.025:country,0.028:poverty,0.047:biodiversity,0.070:woman,0.053:ocean,0.048:food,0.060:education,0.060:climate,0.098:water,0.059:urban,0.042:material,0.109:energy,0.058:country
1,0.031:death,0.024:manufacturing,0.023:country,0.037:forest,0.043:girl,0.052:marine,0.031:hunger,0.049:primary,0.044:climate change,0.049:sanitation,0.050:city,0.041:consumption,0.041:renewable,0.044:developing
2,0.029:disease,0.021:growth,0.021:social,0.034:area,0.029:gender,0.025:coastal,0.028:agricultural,0.048:school,0.043:change,0.027:drinking,0.029:population,0.031:sustainable,0.038:electricity,0.033:developed country
3,0.021:mortality,0.021:employment,0.018:child,0.030:land,0.026:woman girl,0.022:fishery,0.023:agriculture,0.033:child,0.028:country,0.027:drinking water,0.028:slum,0.025:production,0.037:renewable energy,0.033:developed
4,0.016:rate,0.019:developed,0.018:protection,0.029:specie,0.022:country,0.022:sustainable,0.016:child,0.027:secondary,0.023:adaptation,0.024:management,0.022:urban population,0.023:consumption production,0.036:access,0.032:developing country
5,0.014:care,0.018:global,0.017:right,0.021:loss,0.021:marriage,0.017:resource,0.016:malnutrition,0.025:learning,0.023:disaster,0.023:safely,0.019:public,0.019:waste,0.030:clean,0.023:duty
6,0.013:mental,0.017:labour,0.016:social protection,0.019:ecosystem,0.020:equality,0.016:level,0.015:export,0.020:primary secondary,0.018:emission,0.021:water sanitation,0.018:space,0.019:footprint,0.028:technology,0.021:duty free
7,0.013:child,0.017:economic,0.015:institution,0.018:wildlife,0.018:violence,0.015:stock,0.014:breed,0.020:proficiency,0.018:paris,0.019:facility,0.017:disaster,0.019:sustainable consumption,0.027:fuel,0.020:free
8,0.013:communicable,0.016:value,0.014:victim,0.017:protected,0.017:gender equality,0.015:fishing,0.014:wasting,0.020:country,0.017:action,0.019:country,0.017:waste,0.018:sustainable consumption production,0.024:cooking,0.019:cost
9,0.013:maternal,0.015:developing,0.013:violence,0.017:terrestrial,0.017:sexual,0.015:fish,0.014:insecurity,0.019:primary school,0.017:agreement,0.019:service,0.017:world,0.018:material consumption,0.023:energy efficiency,0.018:money
