,"0.35*SDG14,0.25*SDG15,0.22*SDG12,0.18*SDG6",1.00*SDG15,"0.82*SDG6,0.18*SDG3","0.76*SDG10,0.24*SDG4",1.00*SDG11,1.00*SDG3,1.00*SDG1,"0.25*SDG16,0.22*SDG2,0.20*SDG12,0.17*SDG3,0.16*SDG1",1.00*SDG2,"0.81*SDG13,0.19*SDG3",1.00*SDG5,"0.68*SDG14,0.32*SDG12",1.00*SDG8,1.00*SDG7,"0.50*SDG16,0.50*SDG4","0.79*SDG9,0.21*SDG3"
0,0.020:sustainable,0.028:area,0.086:water,0.027:developing,0.034:urban,0.039:health,0.041:poverty,0.007:rule,0.042:food,0.044:climate,0.046:woman,0.030:ocean,0.019:rate,0.080:energy,0.030:child,0.027:manufacturing
1,0.014:including,0.027:biodiversity,0.033:sanitation,0.017:developing_country,0.028:city,0.026:death,0.031:social,0.007:world,0.020:agricultural,0.029:change,0.022:girl,0.029:marine,0.017:growth,0.023:renewable,0.019:education,0.023:global
2,0.011:resource,0.026:forest,0.017:drinking,0.016:developed,0.019:population,0.025:disease,0.020:protection,0.007:business,0.019:hunger,0.023:climate_change,0.013:gender,0.019:material,0.014:labour,0.020:access,0.018:school,0.019:developed
3,0.011:ecosystem,0.018:land,0.015:management,0.014:developed_country,0.013:public,0.017:rate,0.018:social_protection,0.006:psychological,0.017:agriculture,0.016:disaster,0.011:woman_girl,0.018:resource,0.012:global,0.018:renewable_energy,0.017:primary,0.017:value
4,0.008:impact,0.017:specie,0.013:drinking_water,0.012:including,0.012:slum,0.015:mortality,0.018:extreme,0.006:waste,0.010:world,0.014:national,0.009:equality,0.017:sustainable,0.011:region,0.017:electricity,0.012:right,0.017:developing
5,0.008:water,0.015:loss,0.012:water_sanitation,0.011:development,0.011:transport,0.012:child,0.015:disaster,0.006:aggression,0.009:market,0.013:adaptation,0.008:violence,0.015:consumption,0.010:employment,0.016:clean,0.012:access,0.017:infrastructure
6,0.008:development,0.010:protected,0.012:service,0.010:international,0.009:urban_population,0.011:care,0.013:economic,0.006:punishment,0.009:malnutrition,0.013:developing,0.008:sexual,0.011:area,0.010:developed,0.015:global,0.011:africa,0.015:development
7,0.007:reduce,0.010:country_territory,0.010:basic,0.010:education,0.009:access,0.009:africa,0.012:population,0.005:detected,0.008:export,0.012:global,0.007:right,0.010:global,0.008:woman,0.014:technology,0.010:saharan,0.014:developed_country
8,0.007:ensure,0.010:territory,0.010:resource,0.010:access,0.008:world,0.009:global,0.011:living,0.005:initiative,0.008:increase,0.011:developed,0.007:progress,0.009:fishery,0.008:unemployment,0.013:fuel,0.010:institution,0.014:added
9,0.007:land,0.009:wildlife,0.010:safely,0.009:income,0.008:waste,0.008:mental,0.011:poor,0.005:cancer,0.007:child,0.011:action,0.007:care,0.008:level,0.007:economic,0.011:consumption,0.009:level,0.013:industry
10,0.006:community,0.008:terrestrial,0.009:population,0.009:inequality,0.007:safe,0.008:globally,0.011:income,0.005:reducing,0.007:production,0.011:reduction,0.007:gender_equality,0.008:convention,0.007:child,0.010:increase,0.009:saharan_africa,0.012:economic
