,1.00*SDG6,"0.56*SDG14,0.44*SDG7","0.85*SDG15,0.15*SDG2",1.00*SDG3,"0.48*SDG12,0.33*SDG8,0.19*SDG10","0.40*SDG14,0.26*SDG10,0.18*SDG6,0.17*SDG1","0.60*SDG13,0.20*SDG6,0.19*SDG3","0.80*SDG11,0.20*SDG3","0.82*SDG4,0.18*SDG1","0.52*SDG1,0.28*SDG8,0.20*SDG3","0.39*SDG16,0.25*SDG10,0.18*SDG8,0.17*SDG3","0.66*SDG5,0.22*SDG3,0.13*SDG16","0.57*SDG9,0.43*SDG2","0.79*SDG13,0.21*SDG1","0.78*SDG16,0.22*SDG8","0.52*SDG10,0.34*SDG3,0.15*SDG1"
0,0.091:water,0.036:energy,0.024:biodiversity,0.050:disease,0.025:country,0.026:country,0.032:global,0.029:urban,0.032:education,0.050:poverty,0.016:country,0.065:woman,0.025:country,0.057:climate,0.044:country,0.062:country
1,0.036:sanitation,0.022:ocean,0.022:area,0.047:death,0.024:sustainable,0.012:transfer,0.015:warming,0.024:population,0.031:child,0.029:rate,0.015:right,0.033:girl,0.017:food,0.042:change,0.020:country_territory,0.023:developing
2,0.019:drinking,0.020:marine,0.018:land,0.041:health,0.014:consumption,0.012:fishing,0.015:level,0.021:city,0.025:country,0.026:social,0.014:policy,0.020:country,0.017:global,0.034:climate_change,0.020:territory,0.019:developed
3,0.016:access,0.012:sustainable,0.017:forest,0.027:mortality,0.014:development,0.012:marine,0.014:record,0.015:access,0.024:school,0.021:growth,0.014:proportion,0.018:child,0.014:manufacturing,0.033:country,0.013:right,0.017:developed_country
4,0.015:management,0.012:global,0.013:specie,0.021:rate,0.013:developing,0.012:fishery,0.013:temperature,0.014:country,0.023:primary,0.021:income,0.013:international,0.017:gender,0.011:sector,0.029:disaster,0.011:institution,0.017:development
5,0.014:service,0.011:access,0.012:resource,0.016:global,0.013:economic,0.011:asia,0.013:issue,0.013:world,0.011:africa,0.019:protection,0.012:including,0.015:woman_girl,0.010:value,0.018:adaptation,0.011:access,0.014:developing_country
6,0.012:resource,0.010:renewable,0.010:sustainable,0.016:africa,0.013:material,0.011:northern_africa,0.011:global_temperature,0.013:health,0.010:secondary,0.017:social_protection,0.012:national,0.014:sexual,0.010:world,0.016:national,0.010:region,0.014:assistance
7,0.012:drinking_water,0.010:level,0.010:loss,0.014:communicable,0.010:global,0.010:income,0.011:global_warming,0.010:slum,0.009:saharan,0.017:region,0.011:public,0.014:violence,0.009:developed,0.015:risk,0.009:human,0.010:world
8,0.012:country,0.009:world,0.010:ecosystem,0.014:child,0.010:including,0.010:state,0.009:major,0.010:area,0.009:learning,0.017:extreme,0.010:institution,0.010:maternal,0.009:developing,0.014:reduction,0.009:period,0.010:donor
9,0.012:water_sanitation,0.009:coastal,0.008:conservation,0.014:saharan,0.009:developing_country,0.010:illegal,0.009:emission,0.009:public,0.008:level,0.014:worker,0.009:developing,0.010:equality,0.009:development,0.013:action,0.008:human_right,0.010:official
