,1.00*SDG6,"0.56*SDG14,0.44*SDG7","0.84*SDG15,0.16*SDG2",1.00*SDG3,"0.44*SDG12,0.32*SDG8,0.23*SDG10","0.38*SDG14,0.28*SDG10,0.17*SDG1,0.17*SDG6","0.51*SDG13,0.19*SDG6,0.17*SDG3,0.13*SDG12","0.80*SDG11,0.20*SDG3","0.81*SDG4,0.19*SDG1","0.52*SDG1,0.28*SDG8,0.20*SDG3","0.39*SDG16,0.25*SDG10,0.19*SDG8,0.17*SDG3","0.65*SDG5,0.23*SDG3,0.12*SDG16","0.58*SDG9,0.42*SDG2","0.79*SDG13,0.21*SDG1","0.55*SDG16,0.16*SDG10,0.15*SDG8,0.13*SDG12","0.43*SDG3,0.39*SDG10,0.18*SDG1"
0,0.089:water,0.036:energy,0.024:biodiversity,0.048:disease,0.028:country,0.027:country,0.029:global,0.029:urban,0.031:education,0.051:poverty,0.017:country,0.063:woman,0.025:country,0.056:climate,0.047:country,0.043:country
1,0.036:sanitation,0.022:ocean,0.021:area,0.047:death,0.023:sustainable,0.013:transfer,0.014:record,0.023:population,0.030:child,0.030:rate,0.015:right,0.031:girl,0.017:global,0.040:change,0.012:right,0.015:developing
2,0.019:drinking,0.020:marine,0.018:land,0.038:health,0.013:development,0.012:state,0.013:issue,0.021:city,0.026:country,0.026:social,0.014:proportion,0.021:child,0.015:food,0.034:country,0.012:developed,0.014:development
3,0.016:access,0.012:sustainable,0.016:forest,0.027:mortality,0.013:developing,0.012:income,0.013:level,0.016:access,0.023:school,0.021:growth,0.014:policy,0.019:country,0.014:manufacturing,0.033:climate_change,0.011:territory,0.011:world
4,0.015:management,0.011:global,0.012:specie,0.021:rate,0.013:economic,0.012:fishing,0.012:temperature,0.014:country,0.023:primary,0.020:protection,0.013:international,0.017:gender,0.010:value,0.029:disaster,0.011:country_territory,0.010:traffic
5,0.014:country,0.011:access,0.011:resource,0.016:global,0.012:consumption,0.012:marine,0.012:warming,0.013:health,0.010:africa,0.018:income,0.012:national,0.014:woman_girl,0.010:sector,0.017:adaptation,0.011:institution,0.009:developing_country
6,0.014:service,0.010:renewable,0.010:sustainable,0.016:africa,0.010:material,0.012:fishery,0.011:global_temperature,0.013:world,0.010:secondary,0.017:social_protection,0.012:including,0.014:sexual,0.010:world,0.016:national,0.011:access,0.009:road
7,0.012:resource,0.010:level,0.010:loss,0.015:communicable,0.010:developing_country,0.011:asia,0.009:emission,0.010:slum,0.009:learning,0.017:extreme,0.011:public,0.013:violence,0.010:developing,0.015:risk,0.011:region,0.009:assistance
8,0.012:drinking_water,0.009:world,0.010:ecosystem,0.014:saharan,0.010:global,0.010:island,0.008:sanitation_facility,0.009:area,0.009:saharan,0.017:region,0.010:institution,0.010:maternal,0.010:development,0.014:reduction,0.010:developed_country,0.009:term
9,0.012:water_sanitation,0.009:coastal,0.009:country,0.014:globally,0.009:including,0.010:developing,0.008:global_warming,0.009:public,0.008:level,0.014:living,0.010:developing,0.010:equality,0.009:developed,0.013:action,0.009:human,0.009:road_traffic
10,0.011:facility,0.008:electricity,0.008:including,0.013:saharan_africa,0.009:developed,0.009:illegal,0.008:major,0.009:living,0.007:saharan_africa,0.013:worker,0.009:promote,0.009:progress,0.008:hunger,0.012:framework,0.008:developing,0.008:increase
11,0.011:basic,0.008:renewable_energy,0.007:conservation,0.013:risk,0.008:resource,0.009:northern_africa,0.007:compared,0.007:urban_population,0.007:access,0.013:world,0.009:developing_country,0.009:marriage,0.008:developed_country,0.012:agreement,0.008:human_right,0.008:service
12,0.011:safely,0.008:clean,0.007:protected,0.013:worldwide,0.008:production,0.009:developed,0.007:previous,0.007:progress,0.007:young,0.012:labour,0.009:ensure,0.008:gender_equality,0.007:added,0.011:disaster_risk,0.007:period,0.008:official
13,0.009:population,0.008:technology,0.007:genetic,0.013:communicable_disease,0.008:growth,0.009:island_developing,0.007:warmest,0.007:pollution,0.007:primary_school,0.012:global,0.008:particular,0.008:globally,0.007:industry,0.011:contribution,0.007:victim,0.007:donor
14,0.009:lack,0.007:area,0.007:development,0.012:tuberculosis,0.007:employment,0.009:unregulated,0.007:greenhouse,0.006:proportion,0.007:primary_secondary,0.012:inequality,0.008:agreement,0.008:care,0.007:economic,0.011:developed,0.007:child,0.007:injury
15,0.008:including,0.007:country,0.006:effort,0.012:estimated,0.007:access,0.009:illegal_unreported,0.007:improved,0.006:global,0.007:quality,0.011:population,0.008:child,0.008:aged,0.007:infrastructure,0.011:convention,0.006:africa,0.006:reduce
16,0.008:target,0.006:pollution,0.006:terrestrial,0.012:child,0.006:sustainable_development,0.009:unregulated_fishing,0.007:decade,0.006:space,0.006:rate,0.011:live,0.008:population,0.007:practice,0.007:increase,0.010:strategy,0.006:financial,0.006:developed
17,0.008:percent,0.006:water,0.005:world,0.012:malaria,0.006:inclusive,0.009:unreported,0.007:continued,0.006:number,0.006:proficiency,0.011:unemployment,0.007:financial,0.007:female,0.007:agriculture,0.010:developed_country,0.006:justice,0.006:social
18,0.007:sector,0.006:fuel,0.005:degradation,0.011:vaccine,0.006:developed_country,0.009:developed_country,0.006:country,0.006:waste,0.006:population,0.010:benefit,0.007:labour,0.007:work,0.007:employment,0.009:united,0.006:number,0.006:free
19,0.007:transboundary,0.006:increase,0.005:extinction,0.010:incidence,0.006:policy,0.009:subsidy,0.006:widespread,0.006:transport,0.006:primary_education,0.010:extreme_poverty,0.007:level,0.007:health,0.006:agricultural,0.009:local,0.006:violence,0.006:duty_free
20,0.006:level,0.006:national,0.005:mountain,0.009:treatment,0.006:ensure,0.008:northern,0.006:continues,0.006:eastern,0.006:worldwide,0.009:poor,0.007:effective,0.006:married,0.006:globally,0.009:paris,0.006:progress,0.006:health
21,0.006:ensure,0.006:ecosystem,0.005:increase,0.009:infectious,0.005:national,0.008:central,0.006:african,0.005:service,0.006:basic,0.009:developed,0.007:strengthen,0.006:right,0.005:investment,0.009:plan,0.006:america,0.006:official_development
22,0.006:hygiene,0.005:proportion,0.005:wildlife,0.009:adolescent,0.005:increase,0.007:increase,0.005:population_improved,0.005:housing,0.006:reading,0.009:coverage,0.007:global,0.006:reproductive,0.005:growth,0.009:nationally,0.005:national,0.006:duty
23,0.006:national,0.005:energy_efficiency,0.005:risk,0.009:infectious_disease,0.005:economic_growth,0.007:central_southern,0.005:previous_month,0.005:asia,0.006:teacher,0.009:economic,0.007:reduce,0.006:asia,0.005:developing_country,0.009:reported,0.005:world,0.006:reform
24,0.006:freshwater,0.005:stock,0.005:plant,0.008:infection,0.005:decent,0.007:based,0.005:practise,0.005:africa,0.006:development,0.008:child,0.006:access,0.006:world,0.005:research,0.009:nationally_contribution,0.005:available,0.005:population
25,0.006:integrated,0.005:cooking,0.005:international,0.008:declined,0.005:reduce,0.007:management,0.005:faecal,0.005:urbanization,0.005:pandemic,0.008:reduce,0.006:number,0.006:legal,0.005:manufacturing_value,0.008:developing,0.005:domestic_material,0.005:treatment
26,0.005:water_scarcity,0.005:goal,0.005:global,0.008:care,0.005:promote,0.007:level,0.005:waste,0.005:saharan,0.005:income,0.007:woman,0.006:trade,0.006:rate,0.005:service,0.008:emission,0.005:remained,0.005:developed_country
27,0.005:resource_management,0.005:consumption,0.005:food,0.007:number,0.005:particular,0.007:western_asia,0.005:persist,0.005:saharan_africa,0.005:adult,0.007:life,0.006:trafficking,0.005:africa,0.005:emission,0.008:resilience,0.005:conflict,0.005:number
28,0.005:scarcity,0.005:efficiency,0.005:benefit,0.007:burden,0.005:environmental,0.007:resource,0.005:fuel,0.005:solid,0.005:skill,0.007:labour_productivity,0.006:human,0.005:region,0.004:population,0.007:mitigation,0.005:trade,0.005:state
29,0.005:related,0.004:developing,0.005:animal,0.007:fell,0.005:domestic,0.007:decline,0.005:reaching,0.005:south,0.005:percentage,0.007:service,0.005:equal,0.005:time,0.004:region,0.007:related,0.005:level,0.004:funding
