,1.00*SDG6,"0.56*SDG14,0.44*SDG7","0.84*SDG15,0.16*SDG2",1.00*SDG3,"0.40*SDG12,0.36*SDG8,0.24*SDG10","0.47*SDG14,0.34*SDG10,0.20*SDG1","0.49*SDG13,0.18*SDG3,0.18*SDG6,0.16*SDG12","0.80*SDG11,0.20*SDG3","0.82*SDG4,0.18*SDG1","0.56*SDG1,0.27*SDG8,0.16*SDG3","0.39*SDG16,0.26*SDG10,0.20*SDG3,0.16*SDG8","0.61*SDG5,0.26*SDG3,0.13*SDG16","0.58*SDG9,0.42*SDG2","0.79*SDG13,0.21*SDG1","0.53*SDG16,0.16*SDG12,0.16*SDG10,0.15*SDG8","0.43*SDG10,0.41*SDG3,0.17*SDG1"
0,0.088:water,0.036:energy,0.024:biodiversity,0.048:disease,0.028:country,0.027:country,0.027:global,0.028:urban,0.031:education,0.055:poverty,0.017:country,0.059:woman,0.025:country,0.057:climate,0.045:country,0.045:country
1,0.035:sanitation,0.022:ocean,0.022:area,0.047:death,0.023:sustainable,0.015:state,0.013:issue,0.023:population,0.030:child,0.028:social,0.014:right,0.029:girl,0.017:global,0.040:change,0.013:right,0.016:developing
2,0.018:drinking,0.020:marine,0.018:land,0.039:health,0.013:economic,0.014:transfer,0.012:level,0.020:city,0.027:country,0.028:rate,0.014:policy,0.025:child,0.015:food,0.034:country,0.012:institution,0.015:development
3,0.016:access,0.013:sustainable,0.017:forest,0.028:mortality,0.013:development,0.014:fishing,0.011:record,0.015:country,0.023:school,0.021:protection,0.013:proportion,0.018:country,0.014:manufacturing,0.034:climate_change,0.012:developed,0.011:world
4,0.015:management,0.011:global,0.012:specie,0.022:rate,0.013:developing,0.013:marine,0.010:temperature,0.015:access,0.023:primary,0.019:growth,0.013:international,0.015:gender,0.010:sector,0.029:disaster,0.011:access,0.010:assistance
5,0.014:resource,0.011:access,0.011:resource,0.016:global,0.011:consumption,0.013:fishery,0.009:global_temperature,0.012:health,0.010:secondary,0.019:social_protection,0.012:national,0.013:violence,0.010:value,0.018:adaptation,0.010:region,0.010:developing_country
6,0.014:country,0.010:renewable,0.010:loss,0.015:communicable,0.010:developing_country,0.012:developed,0.009:emission,0.012:world,0.010:africa,0.018:region,0.011:including,0.013:sexual,0.010:world,0.016:national,0.010:developed_country,0.009:term
7,0.014:service,0.010:level,0.010:ecosystem,0.014:africa,0.010:global,0.012:developing,0.009:warming,0.010:slum,0.009:learning,0.018:extreme,0.011:public,0.013:woman_girl,0.010:developing,0.015:risk,0.009:human,0.008:donor
8,0.012:drinking_water,0.010:world,0.010:sustainable,0.013:globally,0.010:including,0.012:island,0.008:sanitation_facility,0.010:area,0.009:saharan,0.014:living,0.010:developing,0.009:maternal,0.009:development,0.015:reduction,0.009:material,0.008:traffic
9,0.012:basic,0.009:coastal,0.008:country,0.013:saharan,0.010:growth,0.011:island_developing,0.008:global_warming,0.009:public,0.008:level,0.014:worker,0.010:institution,0.009:progress,0.009:developed,0.013:action,0.008:developing,0.008:service
10,0.011:water_sanitation,0.008:electricity,0.008:including,0.013:communicable_disease,0.008:developed,0.011:developed_country,0.007:country,0.009:living,0.008:saharan_africa,0.014:world,0.009:promote,0.009:equality,0.008:hunger,0.012:agreement,0.008:human_right,0.008:official
11,0.011:facility,0.008:renewable_energy,0.007:conservation,0.013:risk,0.008:employment,0.010:illegal,0.007:compared,0.008:progress,0.007:access,0.013:income,0.009:developing_country,0.009:asia,0.008:developed_country,0.012:framework,0.007:period,0.008:increase
12,0.011:safely,0.008:clean,0.007:protected,0.013:tuberculosis,0.008:production,0.010:income,0.007:major,0.007:urban_population,0.007:primary_school,0.012:labour,0.008:ensure,0.008:marriage,0.007:added,0.011:disaster_risk,0.007:territory,0.007:social
13,0.009:population,0.008:technology,0.007:genetic,0.013:worldwide,0.007:resource,0.009:unregulated,0.007:warmest,0.007:pollution,0.007:primary_secondary,0.011:global,0.008:agreement,0.008:aged,0.007:industry,0.011:developed,0.007:country_territory,0.007:developed
14,0.009:lack,0.007:area,0.007:development,0.013:saharan_africa,0.007:access,0.009:unregulated_fishing,0.007:previous,0.006:global,0.007:quality,0.011:benefit,0.008:population,0.008:africa,0.007:increase,0.011:contribution,0.007:victim,0.007:road
15,0.008:target,0.007:country,0.006:terrestrial,0.013:estimated,0.007:material,0.009:unreported,0.007:greenhouse,0.006:proportion,0.007:income,0.011:unemployment,0.008:particular,0.008:globally,0.007:infrastructure,0.011:convention,0.006:justice,0.007:duty_free
