,"0.51*SDG11,0.30*SDG13,0.20*SDG7",1.00*SDG13,"0.39*SDG9,0.34*SDG8,0.28*SDG13","0.57*SDG4,0.43*SDG5",1.00*SDG8,"0.52*SDG7,0.48*SDG2","0.73*SDG6,0.27*SDG14",1.00*SDG3,1.00*SDG14,"0.70*SDG12,0.30*SDG11","0.84*SDG10,0.16*SDG1",1.00*SDG9,"0.73*SDG16,0.27*SDG5","0.85*SDG15,0.15*SDG14",1.00*SDG1
0,0.027:urban,0.047:climate,0.023:country,0.034:education,0.024:growth,0.066:energy,0.076:water,0.029:health,0.022:marine,0.024:policy,0.062:country,0.035:country,0.035:country,0.033:biodiversity,0.045:poverty
1,0.022:city,0.033:country,0.022:sustainable,0.033:woman,0.023:labour,0.027:food,0.022:sanitation,0.024:death,0.013:fishery,0.011:waste,0.031:developing,0.021:developed,0.020:right,0.025:area,0.030:social
2,0.014:population,0.030:change,0.020:development,0.020:girl,0.018:employment,0.013:access,0.020:ocean,0.022:disease,0.010:country,0.011:chapter,0.020:developing_country,0.021:developing,0.014:territory,0.023:land,0.017:protection
3,0.014:emission,0.024:climate_change,0.020:innovation,0.020:school,0.015:rate,0.013:fuel,0.013:country,0.015:rate,0.010:long,0.010:economic,0.016:income,0.020:global,0.013:country_territory,0.019:forest,0.015:social_protection
4,0.011:transport,0.018:disaster,0.015:technology,0.020:gender,0.013:country,0.012:electricity,0.011:access,0.012:mortality,0.009:government,0.010:material,0.015:developed,0.019:manufacturing,0.013:woman,0.017:ecosystem,0.015:child
5,0.011:global,0.016:adaptation,0.013:including,0.018:child,0.011:economic,0.012:technology,0.011:resource,0.012:child,0.009:covid,0.010:resource,0.014:inequality,0.016:value,0.012:violence,0.016:specie,0.014:extreme
6,0.011:world,0.013:national,0.013:policy,0.016:country,0.011:global,0.011:renewable,0.011:drinking,0.011:africa,0.009:fishing,0.009:environmental,0.012:state,0.016:developed_country,0.011:human,0.012:loss,0.013:income
7,0.010:change,0.011:reduction,0.011:impact,0.016:primary,0.010:region,0.010:global,0.010:management,0.010:global,0.008:long_term,0.009:development,0.012:development,0.014:region,0.010:law,0.012:resource,0.012:poor
8,0.009:disaster,0.011:framework,0.010:promote,0.009:equality,0.010:unemployment,0.010:agriculture,0.010:service,0.009:globally,0.008:ocean,0.008:consumption,0.011:national,0.013:wa,0.010:institution,0.010:sustainable,0.011:world
9,0.009:level,0.011:action,0.010:support,0.008:learning,0.009:productivity,0.009:agricultural,0.009:marine,0.009:sub,0.008:impact,0.007:sustainable,0.011:developed_country,0.013:gdp,0.010:access,0.009:conservation,0.011:population
10,0.008:climate,0.011:risk,0.010:job,0.008:level,0.009:worker,0.009:renewable_energy,0.008:level,0.009:care,0.008:term,0.007:challenge,0.010:assistance,0.010:infrastructure,0.010:national,0.009:protected,0.011:benefit
11,0.008:risk,0.011:developed,0.010:paper,0.008:gender_equality,0.009:adult,0.009:world,0.008:coastal,0.009:saharan,0.007:state,0.007:oecd,0.010:including,0.010:added,0.009:child,0.009:degradation,0.010:living
12,0.008:public,0.010:agreement,0.010:digital,0.007:woman_girl,0.009:financial,0.008:hunger,0.008:drinking_water,0.009:wa,0.007:open,0.007:growth,0.010:island,0.009:development,0.009:legal,0.007:wildlife,0.009:woman
13,0.007:slum,0.010:development,0.009:developing,0.007:secondary,0.008:developed,0.008:clean,0.008:water_sanitation,0.009:sub_saharan,0.007:stock,0.007:economy,0.009:international,0.009:industry,0.009:sexual,0.006:terrestrial,0.008:economic
14,0.007:sustainable,0.010:developing,0.009:developing_country,0.007:teacher,0.008:income,0.008:efficiency,0.007:pollution,0.009:country,0.006:crisis,0.006:production,0.009:policy,0.008:developing_region,0.008:victim,0.006:world,0.008:service
15,0.007:air,0.009:strategy,0.008:capacity,0.006:africa,0.007:woman,0.008:energy_efficiency,0.006:sustainable,0.007:live,0.006:national,0.006:framework,0.008:population,0.008:developing_country,0.008:human_right,0.006:extinction,0.008:family
16,0.006:access,0.008:convention,0.008:particular,0.006:marriage,0.007:economic_growth,0.008:sector,0.006:basic,0.007:worldwide,0.006:marine_environment,0.006:need,0.008:island_developing,0.008:world,0.007:proportion,0.006:mountain,0.008:country
17,0.006:climate_change,0.008:local,0.007:sector,0.006:student,0.007:globally,0.008:increase,0.006:asia,0.007:asia,0.006:fish,0.005:government,0.007:transfer,0.008:economic,0.007:justice,0.005:benefit,0.007:vulnerable
