,"0.44*SDG11,0.39*SDG7,0.18*SDG12","0.70*SDG10,0.30*SDG13","0.63*SDG12,0.37*SDG16","0.54*SDG5,0.46*SDG4",1.00*SDG8,"0.60*SDG7,0.24*SDG14,0.17*SDG13",1.00*SDG6,1.00*SDG3,"0.38*SDG2,0.37*SDG14,0.26*SDG16","0.61*SDG12,0.39*SDG11","0.41*SDG10,0.35*SDG16,0.24*SDG1",1.00*SDG9,1.00*SDG16,1.00*SDG15,"0.60*SDG1,0.22*SDG10,0.19*SDG3","0.85*SDG14,0.15*SDG2",1.00*SDG13,1.00*SDG2
0,0.021:urban,0.074:country,0.033:sustainable,0.039:woman,0.023:growth,0.070:energy,0.090:water,0.034:health,0.015:open,0.027:policy,0.018:policy,0.030:country,0.040:country,0.034:biodiversity,0.040:poverty,0.049:ocean,0.045:climate,0.077:food
1,0.017:access,0.043:developing,0.018:development,0.028:education,0.022:labour,0.021:carbon,0.026:sanitation,0.027:death,0.014:country,0.012:chapter,0.015:development,0.025:manufacturing,0.018:territory,0.026:area,0.027:social,0.046:marine,0.038:change,0.023:agriculture
2,0.015:city,0.029:developed,0.017:impact,0.020:country,0.021:rate,0.020:global,0.017:country,0.027:disease,0.013:including,0.009:development,0.015:including,0.020:global,0.017:country_territory,0.023:land,0.022:income,0.020:fishery,0.027:country,0.022:hunger
3,0.015:population,0.026:developing_country,0.014:consumption,0.020:gender,0.018:employment,0.020:emission,0.014:drinking,0.015:rate,0.012:seed,0.009:challenge,0.014:national,0.018:value,0.016:right,0.022:forest,0.015:protection,0.018:sustainable,0.026:climate_change,0.021:agricultural
4,0.013:energy,0.025:developed_country,0.012:sustainable_development,0.019:girl,0.015:global,0.011:efficiency,0.013:access,0.014:mortality,0.011:government,0.009:country,0.012:public,0.018:developed,0.012:child,0.017:specie,0.014:social_protection,0.015:coastal,0.014:adaptation,0.014:child
5,0.011:world,0.018:disaster,0.011:production,0.018:child,0.013:region,0.010:fuel,0.012:management,0.013:child,0.008:state,0.009:resource,0.011:economic,0.014:developed_country,0.012:access,0.014:ecosystem,0.013:population,0.014:level,0.010:action,0.012:production
6,0.010:global,0.016:development,0.010:capacity,0.017:school,0.013:country,0.009:economy,0.011:service,0.011:global,0.008:international,0.008:waste,0.010:proportion,0.013:added,0.011:human,0.014:loss,0.012:extreme,0.013:ecosystem,0.009:contribution,0.011:sector
7,0.010:sustainable,0.012:island,0.010:country,0.014:primary,0.012:adult,0.009:electricity,0.010:drinking_water,0.011:care,0.007:open_government,0.008:economic,0.010:country,0.013:developing,0.011:victim,0.010:degradation,0.012:world,0.010:stock,0.008:framework,0.011:malnutrition
8,0.009:waste,0.011:state,0.009:company,0.008:equality,0.011:wa,0.009:renewable,0.008:resource,0.009:globally,0.007:subsidy,0.008:environmental,0.009:particular,0.012:gdp,0.011:asia,0.009:resource,0.011:country,0.010:fish,0.008:national,0.009:price
9,0.009:consumption,0.009:national,0.008:national,0.008:level,0.010:globally,0.008:energy_efficiency,0.008:water_sanitation,0.009:live,0.007:prevent,0.008:material,0.009:ensure,0.012:development,0.010:africa,0.009:protected,0.010:living,0.009:area,0.008:agreement,0.009:nutrition
10,0.009:air,0.009:increase,0.008:developing,0.007:learning,0.010:productivity,0.008:gas,0.008:basic,0.009:africa,0.006:national,0.008:oecd,0.008:financial,0.012:infrastructure,0.010:violence,0.008:sustainable,0.010:benefit,0.008:marine_environment,0.007:level,0.009:food_security
11,0.008:increase,0.009:island_developing,0.007:including,0.007:woman_girl,0.009:unemployment,0.008:technology,0.008:asia,0.009:sub,0.006:genetic,0.008:paper,0.008:international,0.012:industry,0.010:institution,0.008:wildlife,0.010:inequality,0.008:resource,0.007:paris,0.009:food_production
12,0.007:slum,0.008:assistance,0.007:promote,0.007:gender_equality,0.009:worker,0.008:source,0.007:facility,0.008:saharan,0.006:fishing,0.007:government,0.008:right,0.010:employment,0.009:human_right,0.007:terrestrial,0.009:poor,0.008:fishing,0.007:plan,0.008:wasting
13,0.007:country,0.008:including,0.007:human,0.006:secondary,0.009:developed,0.007:sea,0.007:population,0.008:wa,0.006:contribute,0.007:growth,0.008:sustainable,0.010:economic,0.008:sub,0.007:conservation,0.009:child,0.008:world,0.007:convention,0.008:access
14,0.007:risk,0.007:world,0.006:goal,0.006:teacher,0.009:job,0.007:greenhouse,0.006:safely,0.008:sub_saharan,0.006:illegal,0.006:public,0.008:promote,0.008:sector,0.008:region,0.007:mountain,0.007:vulnerable,0.008:human,0.006:global,0.008:export
15,0.006:technology,0.007:international,0.006:job,0.006:progress,0.009:financial,0.007:greenhouse_gas,0.006:sector,0.008:hiv,0.006:plant,0.006:framework,0.008:disability,0.008:manufacturing_value,0.008:saharan,0.006:extinction,0.007:family,0.007:acidification,0.006:united,0.007:affected
16,0.006:electricity,0.007:product,0.006:migrant,0.005:men,0.008:gdp,0.006:resource,0.006:supply,0.008:risk,0.006:unregulated_fishing,0.006:support,0.008:access,0.008:region,0.008:law,0.006:global,0.006:rate,0.007:overfishing,0.006:reduction,0.007:world
17,0.006:pollution,0.007:support,0.005:subsidy,0.005:world,0.008:economic,0.006:impact,0.006:lack,0.008:maternal,0.006:trade,0.006:need,0.007:strengthen,0.008:research,0.008:sub_saharan,0.006:desertification,0.006:low,0.007:environment,0.005:nationally,0.007:security
18,0.006:level,0.007:disaster_risk,0.005:reporting,0.005:violence,0.008:income,0.006:world,0.006:level,0.007:communicable,0.005:illegal_unreported,0.005:economy,0.007:institution,0.008:growth,0.007:justice,0.006:management,0.006:world_population,0.007:marine_resource,0.005:nationally_contribution,0.007:market
19,0.006:disaster,0.007:reduction,0.005:culture,0.005:work,0.008:youth,0.006:fossil,0.005:transboundary,0.007:progress,0.005:unreported,0.005:transport,0.006:inclusive,0.007:wa,0.007:national,0.006:world,0.006:le,0.006:biodiversity,0.005:inequality,0.007:subsidy
