,"0.50*SDG7,0.50*SDG11","0.68*SDG12,0.32*SDG9","0.78*SDG16,0.22*SDG10","0.71*SDG5,0.29*SDG8","0.77*SDG8,0.23*SDG12","0.61*SDG2,0.39*SDG7",1.00*SDG6,1.00*SDG3,"0.31*SDG2,0.26*SDG4,0.24*SDG16,0.19*SDG8","0.65*SDG12,0.35*SDG11","0.61*SDG10,0.39*SDG9","0.56*SDG9,0.28*SDG10,0.16*SDG8",1.00*SDG16,1.00*SDG15,"0.50*SDG1,0.22*SDG4,0.14*SDG3,0.14*SDG10",1.00*SDG14,1.00*SDG13,1.00*SDG4
0,0.037:energy,0.023:region,0.028:country,0.058:woman,0.016:growth,0.042:food,0.091:water,0.037:death,0.012:open,0.028:policy,0.028:country,0.051:country,0.044:country,0.032:biodiversity,0.037:poverty,0.048:ocean,0.031:climate,0.078:education
1,0.023:urban,0.017:country,0.017:child,0.026:gender,0.015:country,0.042:energy,0.027:sanitation,0.034:health,0.012:government,0.011:resource,0.024:development,0.029:developed,0.028:territory,0.025:area,0.023:social,0.046:marine,0.028:country,0.051:school
2,0.017:access,0.014:material,0.016:income,0.023:girl,0.011:financial,0.018:carbon,0.016:country,0.022:disease,0.011:market,0.011:waste,0.022:including,0.025:developing,0.028:country_territory,0.023:land,0.018:income,0.020:sustainable,0.023:change,0.045:primary
3,0.016:city,0.012:consumption,0.015:victim,0.019:country,0.011:sustainable,0.013:hunger,0.014:access,0.021:mortality,0.010:crisis,0.010:chapter,0.020:sustainable,0.023:developed_country,0.022:right,0.021:forest,0.015:child,0.019:fishery,0.016:climate_change,0.031:child
4,0.015:population,0.012:disaster,0.011:sexual,0.013:men,0.010:aid,0.013:agriculture,0.014:drinking,0.018:rate,0.009:country,0.010:environmental,0.019:developing,0.020:global,0.017:institution,0.016:specie,0.013:protection,0.015:coastal,0.010:adaptation,0.023:learning
5,0.012:world,0.012:developing,0.010:available,0.011:equality,0.010:development,0.013:price,0.012:management,0.017:child,0.009:covid,0.009:development,0.015:developing_country,0.018:manufacturing,0.014:access,0.014:ecosystem,0.012:social_protection,0.014:level,0.009:policy,0.020:secondary
6,0.011:global,0.011:developed_region,0.010:trafficking,0.011:employment,0.010:trade,0.012:emission,0.011:service,0.012:live,0.009:seed,0.009:economic,0.014:policy,0.014:value,0.013:human,0.013:loss,0.012:world,0.011:fishing,0.008:framework,0.019:teacher
7,0.011:electricity,0.010:domestic,0.010:region,0.011:child,0.009:consumption,0.011:sector,0.010:drinking_water,0.011:maternal,0.008:including,0.008:challenge,0.014:particular,0.012:gdp,0.013:law,0.010:resource,0.011:extreme,0.011:ecosystem,0.008:national,0.016:student
8,0.010:renewable,0.010:developing_region,0.009:experienced,0.011:work,0.008:service,0.011:agricultural,0.009:water_sanitation,0.010:care,0.007:contribute,0.008:growth,0.012:ensure,0.012:wa,0.012:national,0.009:degradation,0.011:population,0.010:resource,0.008:risk,0.014:quality
9,0.009:transport,0.008:sustainable,0.008:population,0.009:gender_equality,0.007:economic,0.010:production,0.008:basic,0.009:global,0.007:subsidy,0.008:sustainable,0.011:promote,0.011:developing_country,0.012:human_right,0.009:protected,0.010:country,0.010:sea,0.007:oecd,0.013:country
10,0.008:increase,0.008:waste,0.008:inequality,0.009:rate,0.007:adult,0.009:world,0.008:resource,0.009:globally,0.007:policy,0.008:need,0.010:access,0.011:growth,0.011:justice,0.008:sustainable,0.009:rate,0.010:stock,0.007:action,0.013:primary_secondary
11,0.007:fuel,0.008:developed,0.007:violence,0.009:woman_girl,0.007:job,0.008:global,0.008:asia,0.009:adolescent,0.007:labour,0.008:material,0.010:national,0.010:increase,0.011:level,0.008:wildlife,0.009:living,0.009:fish,0.007:contribution,0.012:primary_school
