,"0.84*SDG7,0.16*SDG13","0.36*SDG10,0.36*SDG9,0.28*SDG13","0.82*SDG16,0.18*SDG12","0.75*SDG5,0.25*SDG8","0.77*SDG8,0.23*SDG3","0.57*SDG7,0.29*SDG2,0.14*SDG12",1.00*SDG6,1.00*SDG3,"0.34*SDG14,0.27*SDG8,0.20*SDG16,0.19*SDG2","0.50*SDG11,0.50*SDG12","0.59*SDG16,0.41*SDG10","0.75*SDG9,0.25*SDG8","0.58*SDG4,0.42*SDG16",1.00*SDG15,"0.74*SDG1,0.26*SDG10","0.73*SDG2,0.27*SDG14","0.73*SDG13,0.27*SDG10","0.77*SDG2,0.23*SDG1","0.87*SDG3,0.13*SDG2","0.76*SDG14,0.24*SDG13"
0,0.053:energy,0.058:country,0.019:violence,0.063:woman,0.015:growth,0.056:energy,0.086:water,0.029:disease,0.019:covid,0.021:urban,0.027:policy,0.034:country,0.033:country,0.032:biodiversity,0.037:poverty,0.019:food,0.030:country,0.075:food,0.034:health,0.030:ocean
1,0.019:access,0.043:developing,0.019:country,0.026:gender,0.014:country,0.017:carbon,0.026:sanitation,0.027:health,0.014:country,0.019:waste,0.018:development,0.023:developed,0.030:education,0.026:area,0.023:social,0.017:agricultural,0.025:climate,0.013:wasting,0.026:death,0.029:marine
2,0.017:electricity,0.026:developed,0.016:victim,0.025:girl,0.013:income,0.017:emission,0.016:country,0.022:death,0.014:government,0.017:city,0.013:chapter,0.021:manufacturing,0.023:school,0.023:land,0.020:income,0.014:hunger,0.020:change,0.012:producer,0.018:maternal,0.018:sustainable
3,0.015:global,0.025:developing_country,0.015:sustainable,0.019:country,0.012:adult,0.012:sector,0.013:access,0.013:rate,0.011:open,0.015:material,0.013:public,0.019:global,0.019:primary,0.022:forest,0.014:protection,0.010:world,0.016:policy,0.011:food_security,0.015:rate,0.017:change
4,0.015:renewable,0.021:developed_country,0.014:human,0.014:men,0.011:financial,0.012:production,0.013:drinking,0.012:mortality,0.011:fishery,0.013:policy,0.011:national,0.016:developed_country,0.017:child,0.017:specie,0.013:population,0.009:level,0.012:climate_change,0.011:security,0.013:child,0.014:global
5,0.012:fuel,0.018:development,0.012:development,0.013:child,0.010:rate,0.010:efficiency,0.012:management,0.012:child,0.010:oecd,0.010:consumption,0.010:including,0.016:value,0.013:territory,0.014:loss,0.013:social_protection,0.009:price,0.011:adaptation,0.009:hunger,0.013:mortality,0.013:climate
6,0.012:technology,0.017:disaster,0.012:sexual,0.011:equality,0.010:percentage,0.010:technology,0.011:service,0.011:risk,0.010:pandemic,0.010:transport,0.010:country,0.015:region,0.013:country_territory,0.011:ecosystem,0.013:country,0.009:malnutrition,0.009:paper,0.009:affected,0.011:progress,0.011:ecosystem
7,0.011:renewable_energy,0.012:including,0.012:child,0.010:work,0.009:region,0.008:economy,0.009:drinking_water,0.010:global,0.010:fishing,0.010:resource,0.009:support,0.014:gdp,0.012:access,0.010:protected,0.012:extreme,0.009:export,0.008:contribution,0.008:nutritious,0.011:globally,0.010:development
8,0.009:increase,0.011:island,0.012:trafficking,0.009:woman_girl,0.009:globally,0.008:environmental,0.009:resource,0.009:hiv,0.009:crisis,0.010:population,0.009:government,0.013:growth,0.010:learning,0.009:resource,0.012:child,0.008:insecurity,0.008:oecd,0.008:fewer,0.010:cause,0.010:climate_change
9,0.009:clean,0.010:state,0.011:right,0.009:gender_equality,0.009:trade,0.008:fuel,0.009:water_sanitation,0.009:care,0.009:policy,0.010:sustainable,0.009:international,0.013:developing,0.009:africa,0.009:degradation,0.012:world,0.008:agriculture,0.007:framework,0.008:nutrition,0.010:sub_saharan,0.010:resource
10,0.008:world,0.010:sustainable,0.011:society,0.009:labour,0.008:wa,0.008:agriculture,0.008:facility,0.009:new,0.009:market,0.008:public,0.008:service,0.011:wa,0.009:level,0.008:wildlife,0.010:inequality,0.008:country,0.007:action,0.008:development,0.010:saharan,0.009:coastal
11,0.008:population,0.010:reduction,0.009:physical,0.008:employment,0.008:point,0.007:economic,0.008:basic,0.008:wa,0.008:digital,0.008:country,0.008:innovation,0.010:added,0.009:right,0.008:sustainable,0.010:poor,0.007:subsidy,0.007:national,0.007:sector,0.010:africa,0.009:level
12,0.007:efficiency,0.010:national,0.009:human_right,0.007:right,0.008:percentage_point,0.007:source,0.008:asia,0.008:globally,0.008:impact,0.007:environmental,0.008:economic,0.010:employment,0.009:secondary,0.007:terrestrial,0.010:living,0.007:biologically,0.006:analysis,0.007:overweight,0.010:disease,0.008:impact
13,0.007:energy_efficiency,0.009:increase,0.009:sustainable_development,0.007:violence,0.008:global,0.007:demand,0.007:sector,0.008:communicable,0.007:risk,0.007:growth,0.007:ensure,0.009:rate,0.009:sub,0.007:conservation,0.009:benefit,0.006:scale,0.006:paris,0.007:according,0.010:cancer,0.008:sea
14,0.007:cooking,0.009:support,0.007:detected,0.007:marriage,0.008:service,0.007:investment,0.006:safely,0.008:tuberculosis,0.007:chapter,0.007:production,0.007:promote,0.009:economic,0.008:teacher,0.007:mountain,0.008:growth,0.006:trend,0.006:inequality,0.007:agriculture,0.010:sub,0.007:world
15,0.007:consumption,0.009:access,0.007:justice,0.007:equal,0.007:access,0.007:policy,0.006:supply,0.008:live,0.007:practice,0.006:management,0.007:inclusive,0.009:development,0.008:sub_saharan,0.006:extinction,0.008:vulnerable,0.006:aid,0.006:agreement,0.007:food_producer,0.010:live,0.007:pollution
