,"0.33*SDG12,0.29*SDG13,0.20*SDG15,0.18*SDG10","0.43*SDG8,0.40*SDG10,0.17*SDG9","0.63*SDG3,0.37*SDG6","0.72*SDG11,0.28*SDG3","0.64*SDG15,0.36*SDG14","0.75*SDG5,0.25*SDG8",1.00*SDG2,"0.48*SDG1,0.19*SDG10,0.19*SDG8,0.13*SDG9","0.76*SDG13,0.24*SDG15","0.78*SDG4,0.22*SDG15","0.60*SDG14,0.40*SDG12","0.41*SDG16,0.31*SDG4,0.28*SDG5","0.44*SDG7,0.20*SDG9,0.18*SDG8,0.18*SDG12","0.30*SDG11,0.30*SDG9,0.21*SDG7,0.19*SDG12",1.00*SDG7,"0.65*SDG16,0.35*SDG9","0.39*SDG13,0.26*SDG16,0.19*SDG12,0.17*SDG14"
0,0.018:waste,0.060:country,0.040:water,0.032:urban,0.031:area,0.056:woman,0.054:food,0.039:poverty,0.051:climate,0.043:education,0.023:sustainable,0.027:policy,0.018:policy,0.019:policy,0.093:energy,0.046:country,0.021:global
1,0.011:risk,0.039:developing,0.020:health,0.024:population,0.028:biodiversity,0.020:girl,0.018:agriculture,0.026:social,0.035:change,0.032:school,0.022:ocean,0.021:development,0.017:digital,0.013:development,0.018:access,0.018:territory,0.018:emission
2,0.008:policy,0.028:developed,0.015:disease,0.022:city,0.019:forest,0.020:gender,0.018:hunger,0.019:income,0.032:country,0.025:primary,0.019:marine,0.010:challenge,0.010:market,0.012:infrastructure,0.017:electricity,0.018:manufacturing,0.012:change
3,0.008:climate,0.024:developing_country,0.015:death,0.018:disaster,0.016:land,0.017:child,0.016:agricultural,0.016:country,0.029:climate_change,0.021:child,0.018:resource,0.009:education,0.009:country,0.010:sector,0.017:fuel,0.018:country_territory,0.011:country
4,0.008:increase,0.021:developed_country,0.013:sanitation,0.010:slum,0.012:specie,0.017:country,0.010:child,0.014:protection,0.016:adaptation,0.019:country,0.012:material,0.009:government,0.009:labour,0.010:chapter,0.016:technology,0.015:right,0.010:temperature
5,0.007:ha,0.017:development,0.012:country,0.010:public,0.011:protected,0.013:men,0.008:ha,0.013:social_protection,0.013:national,0.013:learning,0.012:consumption,0.009:chapter,0.008:innovation,0.010:economic,0.016:carbon,0.012:value,0.009:warming
6,0.007:change,0.015:growth,0.010:rate,0.010:air,0.010:loss,0.009:equality,0.008:malnutrition,0.013:inequality,0.011:action,0.012:secondary,0.011:global,0.008:sustainable,0.008:oecd,0.009:growth,0.016:renewable,0.010:institution,0.009:carbon
7,0.006:country,0.011:economic,0.009:child,0.009:proportion,0.009:fishery,0.009:ha,0.008:market,0.012:population,0.011:disaster,0.011:access,0.009:ecosystem,0.008:goal,0.008:technology,0.009:transport,0.015:global,0.010:region,0.009:dioxide
8,0.006:management,0.011:financial,0.009:access,0.009:number,0.009:sustainable,0.008:woman_girl,0.008:production,0.011:benefit,0.010:reduction,0.011:teacher,0.009:production,0.008:sustainable_development,0.007:including,0.009:country,0.014:efficiency,0.010:america,0.009:carbon_dioxide
9,0.006:desertification,0.009:rate,0.009:ha,0.009:risk,0.009:ecosystem,0.008:violence,0.007:world,0.011:extreme,0.010:agreement,0.009:student,0.008:impact,0.008:different,0.007:support,0.009:environmental,0.013:emission,0.010:wa,0.009:level
