,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15
0,0.039:health,0.016:region,0.046:energy,0.023:right,0.027:climate,0.036:poverty,0.029:urban,0.075:water,0.012:area,0.035:manufacturing,0.028:marine,0.030:education,0.022:child,0.019:marine,0.024:child,0.084:woman
1,0.035:death,0.014:level,0.022:access,0.019:institution,0.021:developing,0.019:material,0.023:city,0.031:sanitation,0.012:growth,0.023:value,0.027:ocean,0.018:poverty,0.015:access,0.018:sustainable,0.018:food,0.046:girl
2,0.032:disease,0.011:unpaid,0.014:renewable,0.016:violence,0.020:change,0.019:social,0.020:population,0.015:drinking,0.012:biodiversity,0.021:developed,0.012:sustainable,0.013:including,0.014:hunger,0.016:ocean,0.018:education,0.027:gender
3,0.020:child,0.011:area,0.011:renewable_energy,0.016:child,0.019:developed,0.017:consumption,0.016:sustainable,0.014:management,0.011:rate,0.020:developing,0.011:area,0.013:child,0.013:globally,0.016:developing,0.016:school,0.024:woman_girl
4,0.019:mortality,0.011:woman,0.011:technology,0.015:victim,0.017:developed_country,0.014:protection,0.011:public,0.013:service,0.010:forest,0.017:added,0.010:world,0.012:basic,0.011:lack,0.012:resource,0.015:primary,0.020:equality
5,0.019:rate,0.009:developed,0.011:electricity,0.014:human,0.015:climate_change,0.014:extreme_poverty,0.011:waste,0.011:drinking_water,0.010:labour,0.017:infrastructure,0.010:ecosystem,0.011:developing,0.010:food,0.009:state,0.010:agricultural,0.017:violence
6,0.012:live,0.008:available,0.010:fuel,0.013:human_right,0.012:developing_country,0.014:social_protection,0.011:access,0.011:water_sanitation,0.010:land,0.016:developed_country,0.010:level,0.010:sustainable,0.010:figure,0.009:developed,0.009:africa,0.016:marriage
7,0.012:globally,0.008:developing_region,0.009:clean,0.013:national,0.011:national,0.014:extreme,0.010:slum,0.011:access,0.008:employment,0.016:industry,0.010:coastal,0.009:live,0.010:time,0.009:provide,0.008:access,0.016:sexual
8,0.012:maternal,0.008:position,0.009:population,0.011:justice,0.010:adaptation,0.013:disaster,0.009:world,0.010:resource,0.008:economic,0.013:economic,0.009:resource,0.009:poor,0.009:population,0.008:pollution,0.008:hunger,0.015:right
9,0.012:africa,0.008:developing,0.009:progress,0.010:public,0.009:income,0.011:living,0.008:transport,0.010:basic,0.008:specie,0.012:manufacturing_value,0.009:water,0.009:access,0.008:malnutrition,0.008:fishery,0.008:saharan,0.015:gender_equality
10,0.011:saharan,0.007:commitment,0.009:rate,0.010:trafficking,0.008:state,0.011:sustainable,0.008:number,0.010:safely,0.008:financial,0.011:region,0.009:change,0.009:poor_vulnerable,0.008:region,0.008:developed_country,0.008:agriculture,0.014:work
11,0.011:woman,0.006:local,0.008:cooking,0.010:access,0.008:disaster,0.009:resource,0.008:urban_population,0.009:population,0.007:sustainable,0.011:employment,0.008:biodiversity,0.008:vulnerable,0.008:progress,0.007:coastal,0.008:world,0.013:practice
12,0.010:saharan_africa,0.006:child,0.007:developing,0.009:level,0.007:contribution,0.009:economic,0.007:area,0.009:facility,0.006:loss,0.009:research,0.008:fishery,0.008:service,0.007:peace,0.007:island_developing,0.007:saharan_africa,0.011:female
13,0.010:communicable,0.006:prevalence,0.007:increase,0.009:sexual,0.007:action,0.009:production,0.007:living,0.009:asia,0.006:including,0.009:emission,0.007:climate,0.008:sustainable_development,0.006:worldwide,0.007:international,0.007:worldwide,0.011:married
14,0.010:tuberculosis,0.005:time,0.007:consumption,0.009:proportion,0.007:need,0.008:benefit,0.006:proportion,0.008:sector,0.006:productivity,0.008:growth,0.007:impact,0.008:proportion,0.006:despite,0.007:management,0.006:including,0.010:care
15,0.009:worldwide,0.005:early,0.006:health,0.008:access_justice,0.007:agreement,0.007:footprint,0.006:including,0.007:level,0.006:promote,0.008:sector,0.006:acidification,0.008:ensure,0.006:southern,0.007:island,0.006:rate,0.010:partner
16,0.009:estimated,0.005:decline,0.006:service,0.008:homicide,0.006:increase,0.007:population,0.006:policy,0.006:lack,0.006:territory,0.007:mobile,0.006:protected,0.008:teacher,0.006:problem,0.007:increase,0.006:learning,0.009:legal
17,0.009:care,0.005:compared,0.006:goal,0.007:information,0.006:nationally,0.007:developing,0.005:disaster,0.006:africa,0.006:country_territory,0.007:technology,0.006:pollution,0.008:gender,0.006:prevalence,0.006:world,0.006:secondary,0.009:mutilation
18,0.009:malaria,0.005:higher,0.006:sustainable,0.007:number,0.006:world,0.007:world,0.005:urbanization,0.006:world,0.006:developed,0.007:developing_country,0.006:fish,0.008:developing_country,0.005:target,0.006:particular,0.006:level,0.009:female_genital
19,0.008:vaccine,0.005:nearly,0.006:improvement,0.007:available,0.006:nationally_contribution,0.007:need,0.005:space,0.006:transboundary,0.006:proportion,0.007:research_development,0.006:environment,0.007:dimension,0.005:asia,0.006:subsidy,0.006:population,0.009:genital
20,0.008:communicable_disease,0.005:norm,0.006:efficiency,0.007:society,0.006:framework,0.007:consumption_production,0.005:management,0.005:hygiene,0.006:trade,0.007:globally,0.006:life,0.007:extreme,0.005:suggest,0.006:implementation,0.005:woman,0.009:child_marriage
21,0.008:adolescent,0.005:quota,0.006:proportion,0.006:income,0.006:emission,0.007:rate,0.005:increase,0.005:integrated,0.006:unemployment,0.007:carbon,0.005:national,0.007:developed,0.005:nearly,0.005:level,0.005:quality,0.008:world
22,0.008:reproductive,0.005:management,0.006:developing_country,0.006:international,0.006:island,0.007:growth,0.005:human,0.005:freshwater,0.006:access,0.007:innovation,0.005:ocean_acidification,0.007:school,0.005:technology,0.005:framework,0.005:primary_school,0.008:progress
23,0.008:coverage,0.005:reduction,0.006:energy_efficiency,0.006:africa,0.006:inequality,0.007:material_footprint,0.005:safe,0.005:progress,0.005:resource,0.007:america,0.005:increase,0.007:right,0.005:southern_asia,0.005:developing_country,0.005:asia,0.008:equal
24,0.008:risk,0.005:childhood,0.006:access_electricity,0.006:woman,0.006:reduction,0.006:poor,0.005:pollution,0.005:resource_management,0.005:increase,0.006:service,0.005:fishing,0.007:primary,0.005:according,0.005:conservation,0.005:ensure,0.007:aged
25,0.008:progress,0.005:single,0.005:world,0.006:crime,0.005:risk,0.006:reported,0.005:growth,0.005:sustainable,0.005:woman,0.006:industrial,0.005:food,0.006:level,0.005:quarter,0.005:including,0.005:globally,0.007:discrimination
26,0.008:declined,0.005:based,0.005:modern,0.006:detected,0.005:goal,0.006:domestic,0.005:national,0.005:wastewater,0.005:globally,0.006:investment,0.005:livelihood,0.006:training,0.004:reported,0.005:tourism,0.005:nearly,0.007:child
27,0.007:incidence,0.005:aged,0.005:tobacco,0.006:conflict,0.005:plan,0.006:convention,0.005:impact,0.005:integrated_water,0.005:policy,0.006:compared,0.005:overfishing,0.006:particular,0.004:death,0.005:research,0.005:market,0.007:parliament
28,0.007:treatment,0.004:education,0.005:affordable,0.005:inclusive,0.005:paris,0.006:national,0.005:housing,0.005:scarcity,0.005:service,0.006:network,0.005:stock,0.006:resource,0.004:trust,0.004:enhance,0.004:reading,0.007:proportion
29,0.007:infection,0.004:point,0.005:suicide,0.005:saharan_africa,0.005:united,0.005:worker,0.005:developing,0.005:proportion,0.005:worker,0.006:sustainable,0.005:climate_change,0.006:quality_education,0.004:fight,0.004:convention,0.004:pandemic,0.007:intimate
