,stopwords
0,shared understanding benefit
1,appraisal critical
2,improving quality outcome
3,grew steadily
4,country world latin
5,landfill operation
6,ha recent
7,improved resilience
8,designed energy
9,supplied consumed region
10,coastal flooding temperature
11,drastic reduction
12,augmented flood storm
13,reported married ratio
14,support innovative enterprise
15,emission trading energy
16,rate implementation need
17,researcher population
18,relative reduction market
19,development envisaged
20,progress young worker
21,primarily intended help
22,proficiency reading african
23,group public institution
24,strategy country legislative
25,undertaking difficult
26,pandemic hitting
27,partner mar
28,major crop
29,resource situation
30,country draft national
31,september reported
32,basel rotterdam
33,behavior support conservation
34,ha grown concentrated
35,mainly change
36,sector industry
37,programme soil health
38,economy large
39,needed conserve sustainably
40,rate influenced
41,recovery including
42,new solution enable
43,reunification
44,woman aged access
45,contraception urgent dental
46,equivalent seized nearly
47,accelerate reduce growing
48,immigrant family
49,return dollar dollar
50,solution cheaper
51,cope learn
52,closure needed
53,proportion untreated wastewater
54,designed comprehensively fiscal
55,house parliament
56,initiative fulfil future
57,better represented decision
58,principle international
59,relevant anchoring poverty
60,obesity contributing factor
61,linked trip
62,urban area provides
63,cropland ha risen
64,reflect proportion job
65,oil exporting country
66,fabricated
67,transfer targeting overall
68,violation event seriously
69,compliance principle guideline
70,state branch
71,whats problem
72,fuelled electricity generation
73,citizen involvement
74,exposing profound
75,benefit value highly
76,analysis summarises context
77,school subsaharan africa
78,legislation policy expert
79,hungry climate induced
80,today world interconnected
81,buy sustainable local
82,desert mountain
83,estonian education
84,population poverty unido
85,disaster threat
86,earththe
87,skill end increasing
88,sector understanding trend
89,fiscal deliver
90,diverse landscape
91,energy security public
92,education matter
93,financing equally matter
94,developing job ilo
95,regulation hiv counselling
96,targeted support
97,review policy country
98,problem child currently
99,burdening
100,reporting measure cooperation
101,insecurity ha
102,poverty oldest democracy
103,inclusive society living
104,spend fund advertisement
105,important order allow
106,population time sub
107,mortality taking
108,woman time job
109,discus pricing tax
110,campaign curb cultural
111,skill improved
112,rate internet access
113,framework look instrument
114,social network
115,care estimate
116,fishery percentage gdp
117,scope social
118,denied
119,waste city overcome
120,characteristic natural
121,sex vaccinating child
122,new developmental challenge
123,target learning
124,apparent country
125,expanded remote
126,exploited stock
127,world need care
128,drive progress create
129,draw additional
130,variety policy
131,ice fell
132,freshwater withdrawal proportion
133,child meet
134,peaceful society identify
135,significant environmental implication
136,vulnerable situation proportion
137,urban ha built
138,training pre service
139,aal rising
140,globally woman medical
141,raise money
142,energy teu
143,processing household
144,inflow
145,policy expert
146,benefit cost ratio
147,population time die
148,target national
149,promoting clean energy
150,future environmental footprint
151,country informal employment
152,group forest dependent
153,illustrated study
154,live hazard exposed
155,cross border competition
156,provide framework address
157,regional hub
158,coal charcoal animal
159,corrupt behaviour
160,policy entail structural
161,available national government
162,woman traditional female
163,help example textile
164,country available child
165,event triple compared
166,country examination
167,resentment
168,tightly coupled process
169,shift standard
170,hourly earnings controlling
171,woman employment covered
172,economic efficiency growth
173,human mangrove
174,foundation peaceful society
175,energy revolution
176,prof possible
177,collected paris
178,programme poverty gender
179,report spend time
180,fragile maritime
181,ajust transition
182,rate decreasing death
183,aged need
184,way nonetheless
185,agreed focus
186,different connected device
187,timeframe
188,prevent illegal transboundary
189,country experienced growth
190,cluster development
191,affordability nutritious
192,including sdg
193,global access electricity
194,transmission different
195,continually happens supply
196,main finding country
197,including land registration
198,chronically undernourished
199,disruption availability
200,vulnerability loss
201,freshwater ecosystem multitude
202,considered degraded degree
203,expected rise nearly
204,efficient policy induce
205,lowering reliance
206,school closure needed
207,represents annual
208,attributed unintentional
209,region respectively compared
210,maternity benefit eradicate
211,degradation higher
212,left patient reported
213,energy measured term
214,complement broader
215,poverty pandemic global
216,proportion child death
217,ha effect country
218,sustainable development report
219,shown possible
220,caribbean kilometer
221,validates intuitive
222,aspiring property ownership
223,provides way articulate
224,oecd support
225,increase occurring
226,negligible compared
227,epr
228,article consultancy
229,level record
230,stove fix issue
231,reporting measure migrant
232,establishes oecd definition
233,planner project
234,measure varies greatly
235,region largest
236,present latest
237,inclusive sustainable development
238,civil society academia
239,schedule
240,generation higher productivity
241,access improved water
242,development contingency
243,city region
244,identified link post
245,similar way government
246,grassland incurring greatest
247,application building
248,producer country africa
249,price shock experienced
250,substance linked
251,governance doe apply
252,universal access justice
253,assessed good protection
254,chapter presented indicate
255,importantly spread
256,future provide
257,typically taxed rule
258,crucial increasing capacity
259,trade flow
260,hydropower wind
261,liveability city report
262,characterized specific
263,men world young
264,price income technology
265,trafficking route
266,planet centre
267,scarcity poor
268,ocean resource sustainably
269,mainstreamed priority
270,city country world
271,avoiding number impact
272,dioxide absorption
273,package place core
274,transparent realistic expenditure
275,territory officially endorsed
276,uncontrolled urbanisation urban
277,indicator refined indicator
278,planet better
279,right violation event
280,short severe malnutrition
281,plus indirect associated
282,ha country taken
283,exception country
284,water sanitation reproductive
285,earth interaction living
286,inequality type vulnerability
287,member provide
288,trade transport storage
289,highest thereof followed
290,indicator characterising
291,targeted mitigation action
292,won meet
293,requires ensuring comprehensive
294,soared need
295,huge gap
296,depression ha
297,identified paper clustered
298,zone decreased ocean
299,drr planning
300,attract tourism
301,goe promoting
302,included lung
303,possible irreversible
304,examines future
305,organisfation anqep portugal
306,impact social
307,challenge lie
308,incur catastrophic
309,foundation healthy economy
310,related need
311,flow considerable relatively
312,biofuels product help
313,maternal mortality worldwide
314,income quartile
315,adolescence ha
316,shape local
317,promoting resource energy
318,allow stakeholder
319,covered corresponding world
320,decade united
321,benefiting measure
322,restriction mobility
323,percent insufficient determine
324,slum dweller prevalent
325,household budget health
326,endangering future
327,worker ha doubled
328,actor advance
329,provident fund
330,significant hydropower
331,child affect education
332,policy entail
333,common risk prolonged
334,income country region
335,reduced substantially
336,tremendously bolder effort
337,exposed inadequate
338,great threat sustainable
339,facing growing challenge
340,question borderland violent
341,cultural norm
342,reduce cost
343,employment income new
344,country volume
345,seven principle
346,significantly reduce incidence
347,economy society direct
348,textbook
349,microplastics marine pollution
350,awareness sensitivity environment
351,health according period
352,regulation effective monitoring
353,reform progressivity transfer
354,focus innovation
355,behaviour paid unpaid
356,compared globally communicable
357,demand indicate magnitude
358,consumed sufficient quantity
359,measure cooperation
360,initiative attempt solve
361,weak link land
362,slowly retreated victim
363,need strengthened decisio
364,cold
365,abundance ozone depleting
366,built pose significant
367,higher time period
368,following exceptionally
369,avoid aggravating disruption
370,project institution
371,ecosystem rise
372,report look icts
373,inclusive classroom
374,progress ha driven
375,agreement monitoring
376,looking contribution oil
377,covid vaccine
378,child attending school
379,rate wa country
380,country territory implemented
381,factor woman serve
382,empirical regularity characterising
383,woman girl prevent
384,net zero rapid
385,require cooperation government
386,sdgs pose challenge
387,impact extreme
388,scale direct indirect
389,stall reverse progress
390,freshwater ecosystem essential
391,spread strategy
392,digitalisation profoundly
393,food price concentrated
394,deliberative body wa
395,world falling
396,care facility lack
397,flood management
398,primary education start
399,energy developing country
400,lesson support
401,proportion living median
402,expensive infrastructure
403,stake
404,wa usd
405,committing
406,childhood overweight weight
407,wa increase period
408,higher emission carbon
409,informs result
410,biodiversity ecosystem proportion
411,concentrated sub saharan
412,risk providing job
413,leave general sense
414,based survey conducted
415,preventable water sanitation
416,loss acceleration global
417,sticky floor related
418,social service region
419,context potential contribute
420,western asia progress
421,child instrument redistributive
422,security target paper
423,school particularly woman
424,sector lack
425,united human settlement
426,grown negligible compared
427,adherence international
428,significant technology policy
429,free allocation
430,offer useful mechanism
431,targeting objective
432,selfemployment increasing accessibility
433,resource including food
434,ha twice
435,role family afford
436,biodiversity loss covid
437,lack wash
438,correct cost
439,sdgs cordoba
440,support training information
441,protected area wa
442,country educational
443,generation attributed
444,classroom teacher training
445,usd time
446,pertinent
447,rose steadily
448,sure suffer
449,position empowering woman
450,effort building smart
451,discipline different
452,undermines equality opportunity
453,injury traffic accident
454,instance zone connected
455,indicate living
456,reducing energy
457,discus reform municipal
458,mortality ha declining
459,employee social security
460,school world working
461,deficiency transport connectivity
462,cost convention biological
463,tap water motivation
464,resilience environmental issue
465,complacency marine
466,safe public transport
467,equipped practise hand
468,challenge sustain
469,participatory oecd
470,increasingly important world
471,remains pervasive nearly
472,type heritage cultural
473,expand alternative individual
474,inefficient implementation
475,short taking action
476,pay send money
477,recycling identifies implementation
478,report identifies access
479,machine adult rose
480,policy instrument stabilise
481,additional challenge rationale
482,according gender
483,policy implementing access
484,preserve marine resource
485,area oceania excluding
486,healthy ecosystem
487,challenge poverty
488,compendium
489,cholera
490,developing country notably
491,growth positive
492,fund education
493,cope negative impact
494,malaria tuberculosis global
495,investment treaty
496,rate attributed health
497,labor ha
498,sluggish income
499,defines
500,cvd
501,river marine
502,phase pandemic focusing
503,motivated sudden
504,web page
505,sdgs low
506,report time higher
507,government capacity deliver
508,increase digital
509,monitoring progress ensuring
510,aim address
511,ha reduced income
512,linkage manufacturing
513,risk reduced
514,expand coverage contributory
515,greatest value
516,scarcity country reported
517,choice shape mass
518,tie growing
519,variation level discrimination
520,child killed
521,child poverty fall
522,sdg stand goal
523,hardest pandemic forecasted
524,creating employment
525,outside ocean
526,single sex basic
527,storm maintaining
528,regional resource
529,territory articulating quantified
530,generation recycling
531,negatively affected counterpart
532,recovered food
533,country determinant almp
534,nature variability including
535,better future
536,considerable budgetary
537,managing securing
538,conservation sustainable restoration
539,underpin digital
540,diarrhoea burden
541,allow quality job
542,structural retrofitting
543,woman indoor
544,constitution country important
545,proportion agricultural
546,wealth opportunity
547,invested range wildlife
548,requirement entry point
549,pollution ghost gear
550,overall national country
551,agriculture divided sector
552,paid holiday security
553,development community increase
554,examination
555,desert locust
556,child failed achieve
557,level february
558,soil fertility
559,asking advertiser
560,undermine security development
561,alters
562,wireless technology intended
563,affected counterpart
564,investment decision needed
565,redouble effort
566,biodiversity cbd
567,action achievement sdgs
568,benefit refugee
569,discrimination woman general
570,enforced disappearance human
571,ha violence
572,value chain intervention
573,lowest prevalence bribery
574,including social
575,natural water
576,technological governance trend
577,topic chapter
578,economic activity statistical
579,paris agreement world
580,number study
581,evidence current situation
582,depth analysis priority
583,mining renewable
584,animal environmental health
585,risk extinction sufficient
586,policy prevent
587,economic impact caused
588,societal immediate
589,open innovation
590,growth trend wa
591,feeding programme
592,origin greater
593,source earned
594,education level
595,present progress
596,investment managing
597,action taken covid
598,narrow
599,burning residential fuel
600,related level
601,tourism industry proportion
602,unpaid work home
603,charity act justiceand
604,netherlands gender gap
605,deliver sdgs paper
606,finn earn money
607,sanitation sound
608,strongly affect
609,describes number important
610,having experienced violence
611,pollution good service
612,sanitation electrical
613,pandemic city rising
614,labour right freedom
615,local fishing
616,paper highlight need
617,ha trafficking victim
618,motherhood penalty account
619,ecosystem biodiversity state
620,electricity lcoe
621,community island developing
622,goal sdg united
623,spending investment
624,requiring global
625,supply sanitation present
626,current global economic
627,focused eliminating
628,accelerate slow pace
629,oecd survey dsip
630,child engaged child
631,thereof wa
632,environmental policy paper
633,individual organisational
634,practice targeted
635,personal income tax
636,include unemployment
637,overall goal project
638,pedestrian bicycle
639,promoting health education
640,youth employment woman
641,asia australia
642,effort illicit wildlife
643,protection extreme income
644,better question
645,infrastructure provision inadequate
646,proportion unchanged
647,level street design
648,potential draw
649,gender equality energy
650,significant alteration
651,end increase slightly
652,cop paris
653,imf finally
654,organisational set division
655,toolkits reduce
656,dioxide emission country
657,culture product tourism
658,relationship energy
659,present particular challenge
660,constitution housing
661,climate negative change
662,area new
663,regulation budget
664,disaster related
665,enabling environment order
666,importance increasing
667,migrant education education
668,food right agriculture
669,market prolonged
670,focus chile urban
671,shock experienced
672,change published
673,disposal excreta
674,heating energy dominant
675,management based
676,detention sentencing ha
677,analysis korean
678,require significant
679,pressure business
680,dimension considers readiness
681,vulnerable climate related
682,flexible policy option
683,country turn
684,insecurity increase owing
685,february number
686,transport provide benefit
687,effectively political
688,society academia private
689,consume le nutritious
690,substance ocean
691,facilitate open access
692,healthcare fair
693,cycle seven
694,recovered pre
695,need change
696,source vulnerability loss
697,sustainable resilient resource
698,heard
699,usda conservation
700,household influence impact
701,innovative sophisticated reform
702,term preserving diverse
703,income grow slightly
704,closure school slow
705,respect prosperity
706,nearly quarter showing
707,included community
708,behaviour investment
709,progress including reaching
710,education service increasingly
711,analysis india published
712,fall level reaching
713,shattered
714,simultaneously relate
715,country taken action
716,financial support developed
717,risk plastic
718,cause risk averse
719,remains overdue country
720,particularly effective compared
721,remains region highest
722,century global water
723,time develop ability
724,ha significant environmental
725,commitment colombia
726,limit impact
727,level health education
728,representative household
729,ha far cut
730,africa united
731,enabling participate local
732,hazard identifies
733,return dollar
734,health damage
735,heating past
736,natural disaster concentration
737,inequality sustained
738,rapidly latin america
739,receive dtp
740,deficiency specific policy
741,developing country asia
742,reduce maternal
743,right law woman
744,electricity health centre
745,global demand material
746,food assistance food
747,cc ambitious new
748,addressing investment
749,support education provide
750,landscape technology feedstock
751,promote economic opportunity
752,respectively rate overweight
753,need protect vast
754,quality affordable medicine
755,term overall dispersion
756,adherence climate commitment
757,drinking water improve
758,development exacerbate
759,market policy measure
760,privileged
761,region manufacturing activity
762,water reduced
763,sector service
764,select relevant
765,steady green
766,majority energy production
767,colombia origin return
768,production trend unsustainable
769,transformative change greater
770,similarly woman
771,proximity
772,map
773,job doesnt
774,wheat provide
775,establish sustainable
776,woman girl older
777,undermining efficient
778,majority oecd
779,entirely partially sea
780,hazard prone country
781,complex potentially
782,living metre walking
783,legal policy
784,engaging service user
785,car dependency
786,ethiopia goe promoting
787,indicator food price
788,school help
789,practice reduce asymmetry
790,scheme energy
791,victim violence previous
792,developing country child
793,developed targeted
794,pandemic building
795,cooking education
796,environment projected
797,gender equality southern
798,improve openness
799,vulnerability natural
800,implication donor
801,drive digital
802,economic sector experienced
803,strategy better
804,baltic sea country
805,hiv infection uninfected
806,death etal child
807,analysis demonstrates
808,justice mean conflict
809,wind multiple renewable
810,secondary tertiary
811,strategy sustainable economic
812,region researcher observed
813,woman employment
814,education younger
815,research harm occurs
816,response indicator given
817,subsectors originate water
818,sector gdp fell
819,girl viewed
820,firm effectively minimising
821,earmarked
822,aid available
823,contrast wealthier household
824,farming practice
825,annual investment needed
826,integrity vision ecuador
827,surveyed household
828,criterion helpful addressing
829,insurance social assistance
830,promoting health
831,challenge faced time
832,protected area relation
833,providing employment characterized
834,economic damage
835,state approach task
836,lack equality major
837,exerting pressure
838,according latest available
839,adaptation international financial
840,population century conversion
841,examination trend
842,discus way help
843,yield increase level
844,disease disaster particularly
845,targeting overall redistribution
846,united state address
847,tax markedly
848,forum including recent
849,falling poverty
850,predicted living extreme
851,increasing access water
852,lifestyle providing
853,similar proportion population
854,accelerated population ha
855,water scarcity change
856,financing climate
857,woman access
858,wastewater substantially increasing
859,favourable government
860,transportation describing
861,renewables present
862,africa social protection
863,proficiency functional literacy
864,management globally living
865,sprawl include inter
866,ois better promote
867,performance critical order
868,disaster impoverishment
869,level specie
870,time world agreed
871,pollution france united
872,modifier quality effective
873,tax design support
874,proportion population ha
875,increasing sub
876,actual delivery mechanism
877,borderland violent growing
878,analysis meaning
879,housing housing
880,ha actively
881,pricing instrument affect
882,planning offer interesting
883,offset ha huge
884,undertaken major
885,way reducing
886,continue global warming
887,foster open
888,including reaching millennium
889,torture child proportion
890,encompassed countriesa
891,energy established
892,iii environmentally
893,floor explain major
894,examination trend absolute
895,imported pollution
896,implicated
897,ha global occurrence
898,worry
899,extreme region
900,inflation adjusted
901,authority knowledge
902,entail
903,poverty fragile
904,oecd ha developed
905,region slowed attributed
906,access adequate reliable
907,review participation sdgs
908,increase intense
909,second cross country
910,tanzania ha score
911,men despite
912,protection goal conserve
913,number objective respectively
914,burden accessing public
915,action promoting
916,men declined
917,public investment management
918,compare indicator
919,integrity related function
920,clean coal technology
921,world bank showed
922,productivity sustainable material
923,knowledge diffusion
924,suggest strain continue
925,tlaxcala contributing
926,infrastructure competing
927,systematic ordinated manner
928,aspect establishing
929,older relatively
930,forest nature
931,climate change pose
932,public life proportion
933,young firm
