,"0.51*SDG9,0.49*SDG11",1.00*SDG7,1.00*SDG6,"0.84*SDG6,0.16*SDG3",1.00*SDG3,1.00*SDG5,1.00*SDG4,1.00*SDG13,1.00*SDG9,"0.81*SDG1,0.19*SDG10",1.00*SDG15,1.00*SDG11,1.00*SDG12,1.00*SDG16,1.00*SDG2,1.00*SDG8,1.00*SDG14,1.00*SDG10
0,1.516:policy,1.416:energy,1.374:water,0.880:sanitation,0.305:africa,0.860:woman,0.658:education,0.883:climate,0.740:manufacturing,0.774:poverty,0.508:biodiversity,0.718:urban,0.579:material,0.355:right,0.700:food,0.328:labour,0.878:ocean,0.529:country
1,0.860:chapter,0.298:renewable,0.264:water resource,0.755:water,0.300:saharan,0.514:girl,0.590:school,0.640:climate change,0.393:value added,0.363:social,0.450:forest,0.578:city,0.552:consumption,0.274:victim,0.328:hunger,0.299:employment,0.671:marine,0.496:developing
2,0.769:paper,0.275:electricity,0.227:management,0.477:drinking,0.300:sub saharan,0.507:gender,0.488:primary,0.607:change,0.390:added,0.315:social protection,0.392:area,0.290:slum,0.353:production,0.271:violence,0.241:agricultural,0.260:growth,0.262:coastal,0.394:developed country
3,0.728:government,0.257:renewable energy,0.210:resource,0.470:drinking water,0.299:sub,0.326:woman girl,0.294:child,0.330:adaptation,0.358:value,0.305:extreme,0.337:land,0.262:transport,0.332:consumption production,0.266:country,0.228:agriculture,0.190:unemployment,0.194:ecosystem,0.376:developed
4,0.719:oecd,0.254:energy efficiency,0.174:water resource management,0.334:access,0.296:sub saharan africa,0.304:equality,0.259:secondary,0.326:disaster,0.312:manufacturing value,0.301:extreme poverty,0.256:specie,0.228:population,0.281:sustainable,0.262:institution,0.150:insecurity,0.188:worker,0.190:fishery,0.364:developing country
5,0.675:innovation,0.237:efficiency,0.167:resource management,0.308:safely,0.296:saharan africa,0.283:gender equality,0.256:learning,0.231:emission,0.312:manufacturing value added,0.286:protection,0.236:loss,0.188:urban population,0.254:resource,0.246:human right,0.138:malnutrition,0.186:rate,0.185:marine environment,0.234:island
6,0.628:development,0.214:fuel,0.163:scarcity,0.295:water sanitation,0.276:hiv,0.193:violence,0.251:teacher,0.220:paris agreement,0.259:gdp,0.170:income,0.191:ecosystem,0.175:space,0.247:sustainable consumption,0.218:human,0.138:food insecurity,0.170:labour productivity,0.181:sea,0.228:island developing
7,0.613:digital,0.198:technology,0.149:supply,0.286:basic,0.235:rate,0.182:marriage,0.188:primary school,0.219:action,0.233:industry,0.168:living,0.187:protected,0.172:public,0.244:material consumption,0.209:child,0.127:export,0.169:productivity,0.164:sustainable,0.228:island developing state
8,0.501:support,0.193:clean,0.147:water scarcity,0.277:facility,0.210:adolescent,0.176:female,0.183:student,0.218:paris,0.195:global,0.149:benefit,0.175:terrestrial,0.172:housing,0.239:sustainable consumption production,0.194:law,0.121:production,0.163:job,0.156:resource,0.228:developing state
9,0.498:challenge,0.161:emission,0.139:water related,0.276:service,0.200:asia,0.165:work,0.177:primary secondary,0.214:agreement,0.190:developed,0.142:poor,0.173:degradation,0.157:air,0.237:footprint,0.192:justice,0.118:nutrition,0.138:youth,0.151:acidification,0.213:state
10,0.472:public,0.159:access,0.131:water quality,0.222:sanitation service,0.196:child,0.153:men,0.176:secondary education,0.207:risk,0.182:country,0.130:inequality,0.161:mountain,0.154:disaster,0.228:material footprint,0.170:territory,0.117:wasting,0.127:unemployment rate,0.141:marine resource,0.185:duty
11,0.464:environmental,0.143:carbon,0.123:sector,0.212:hygiene,0.189:death,0.147:sexual,0.163:primary education,0.194:nationally contribution,0.165:emission,0.127:worker,0.157:protected area,0.140:settlement,0.191:domestic material,0.168:country territory,0.112:child,0.126:global,0.137:fish,0.177:country island
12,0.447:approach,0.114:global,0.121:transboundary,0.199:water service,0.155:incidence,0.146:legal,0.153:quality,0.184:contribution,0.162:employment,0.114:population,0.143:biodiversity area,0.133:public transport,0.191:domestic material consumption,0.162:sexual,0.112:food security,0.123:adult,0.135:environment,0.173:country island developing
13,0.429:business,0.112:energy consumption,0.121:water supply,0.193:defecation,0.149:new,0.145:right,0.152:proficiency,0.179:nationally,0.159:developed country,0.112:world,0.136:desertification,0.130:urbanization,0.151:pattern,0.150:access justice,0.110:breed,0.121:growth rate,0.128:pollution,0.155:duty free
14,0.412:report,0.109:cooking,0.120:sanitation,0.193:open defecation,0.146:infection,0.144:discrimination,0.145:reading,0.173:reduction,0.149:infrastructure,0.108:world population,0.121:biodiversity loss,0.125:living,0.150:natural resource,0.144:trafficking,0.106:nutritious,0.118:economic growth,0.125:stock,0.141:income
15,0.411:initiative,0.108:fossil,0.118:water efficiency,0.190:lack,0.139:globally,0.133:female genital mutilation,0.116:mathematics,0.171:country,0.139:network,0.106:disaster,0.118:extinction,0.123:public space,0.148:consumption production pattern,0.138:homicide,0.103:food production,0.116:economic,0.120:fishing,0.140:developed country island
16,0.390:role,0.107:power,0.114:integrated water,0.164:open,0.137:tuberculosis,0.133:female genital,0.113:quality education,0.169:framework convention,0.137:global manufacturing,0.104:child,0.115:land degradation,0.114:resident,0.147:environmental,0.125:national,0.103:sector,0.115:informal,0.117:ocean sea,0.133:development
