,"0.52*SDG9,0.48*SDG11",1.00*SDG7,1.00*SDG6,"0.84*SDG6,0.16*SDG3",1.00*SDG14,1.00*SDG5,1.00*SDG3,1.00*SDG4,1.00*SDG13,"0.79*SDG1,0.21*SDG10",1.00*SDG15,1.00*SDG12,1.00*SDG11,"0.74*SDG9,0.26*SDG10","0.85*SDG16,0.15*SDG10",1.00*SDG2,"0.65*SDG3,0.35*SDG11",1.00*SDG8,"0.86*SDG12,0.14*SDG11"
0,1.522:policy,1.365:energy,1.468:water,0.740:sanitation,1.504:ocean,1.074:woman,0.329:africa,0.684:education,0.689:climate,0.817:poverty,0.539:biodiversity,0.715:material,0.673:urban,0.539:manufacturing,0.329:right,0.713:food,0.486:model,0.325:labour,0.804:waste
1,0.826:chapter,0.287:renewable,0.297:water resource,0.620:water,1.178:marine,0.631:gender,0.321:saharan,0.599:school,0.488:climate change,0.389:social,0.495:forest,0.692:consumption,0.626:city,0.408:country,0.301:country,0.319:hunger,0.372:learning,0.300:employment,0.254:recycling
2,0.778:innovation,0.265:electricity,0.251:management,0.399:drinking,0.442:coastal,0.622:girl,0.321:sub saharan,0.484:primary,0.457:change,0.331:social protection,0.436:area,0.433:production,0.321:transport,0.352:developing,0.246:victim,0.244:agricultural,0.333:technique,0.264:growth,0.204:generation
3,0.744:government,0.247:renewable energy,0.235:resource,0.393:drinking water,0.344:fishery,0.395:woman girl,0.319:sub,0.302:child,0.259:adaptation,0.312:extreme poverty,0.350:land,0.412:consumption production,0.269:slum,0.331:developed country,0.241:institution,0.235:agriculture,0.315:method,0.194:worker,0.177:waste management
4,0.701:development,0.243:energy efficiency,0.179:water resource management,0.291:access,0.330:ecosystem,0.364:equality,0.317:sub saharan africa,0.259:secondary,0.244:disaster,0.312:extreme,0.258:specie,0.362:sustainable,0.211:population,0.331:developed,0.239:violence,0.148:insecurity,0.309:network,0.190:rate,0.169:waste generation
5,0.692:digital,0.226:efficiency,0.166:resource management,0.257:safely,0.315:marine environment,0.342:gender equality,0.317:saharan africa,0.256:teacher,0.173:country,0.299:protection,0.243:loss,0.308:resource,0.173:urban population,0.286:value added,0.223:human right,0.136:food insecurity,0.248:artificial,0.184:unemployment,0.169:circular
6,0.677:oecd,0.207:fuel,0.163:scarcity,0.250:water sanitation,0.307:sea,0.241:violence,0.256:hiv,0.234:learning,0.166:emission,0.191:income,0.208:ecosystem,0.305:sustainable consumption,0.166:public,0.283:added,0.203:human,0.136:malnutrition,0.246:study,0.178:job,0.168:chapter
7,0.620:paper,0.185:clean,0.151:supply,0.241:service,0.290:sustainable,0.218:marriage,0.239:rate,0.201:student,0.162:paris agreement,0.175:living,0.206:protected,0.302:material consumption,0.162:space,0.272:value,0.187:law,0.134:export,0.232:algorithm,0.172:productivity,0.165:circular economy
8,0.529:challenge,0.174:technology,0.147:water scarcity,0.238:basic,0.270:resource,0.213:female,0.219:asia,0.188:primary school,0.161:paris,0.153:benefit,0.181:terrestrial,0.298:footprint,0.161:housing,0.250:developing country,0.183:child,0.125:production,0.221:decision,0.165:labour productivity,0.137:management
9,0.499:environmental,0.160:emission,0.143:water related,0.229:facility,0.257:acidification,0.194:men,0.206:child,0.177:secondary education,0.161:agreement,0.147:poor,0.175:degradation,0.295:sustainable consumption production,0.145:air,0.221:manufacturing value added,0.171:justice,0.118:food security,0.219:based,0.133:youth,0.137:material
