,"0.51*SDG9,0.49*SDG11",1.00*SDG7,1.00*SDG6,"0.84*SDG6,0.16*SDG3",1.00*SDG3,1.00*SDG5,1.00*SDG4,1.00*SDG13,1.00*SDG10,"0.80*SDG1,0.20*SDG10","0.62*SDG14,0.38*SDG15",1.00*SDG11,1.00*SDG12,1.00*SDG16,1.00*SDG2,1.00*SDG8,1.00*SDG9,"0.39*SDG1,0.35*SDG13,0.26*SDG11"
0,1.582:policy,1.433:energy,1.393:water,0.895:sanitation,0.326:africa,0.878:woman,0.664:education,0.953:climate,0.550:country,0.796:poverty,0.621:ocean,0.746:urban,0.977:waste,0.382:right,0.701:food,0.347:labour,0.821:manufacturing,0.685:disaster
1,0.906:chapter,0.301:renewable,0.267:water resource,0.768:water,0.321:sub saharan,0.525:girl,0.596:school,0.709:climate change,0.514:developing,0.368:social,0.513:marine,0.587:city,0.315:recycling,0.295:victim,0.327:hunger,0.317:employment,0.436:value added,0.341:risk
2,0.800:paper,0.278:electricity,0.229:management,0.485:drinking,0.321:saharan,0.518:gender,0.493:primary,0.681:change,0.413:developed country,0.320:social protection,0.359:biodiversity,0.296:slum,0.255:generation,0.292:violence,0.247:agricultural,0.275:growth,0.434:added,0.304:disaster risk
3,0.759:government,0.259:renewable energy,0.215:resource,0.478:drinking water,0.320:sub,0.332:woman girl,0.297:child,0.329:adaptation,0.394:developed,0.310:extreme,0.277:area,0.276:transport,0.220:waste management,0.285:country,0.238:agriculture,0.203:unemployment,0.397:value,0.214:risk reduction
4,0.758:oecd,0.257:energy efficiency,0.176:water resource management,0.340:access,0.317:saharan africa,0.310:equality,0.262:secondary,0.268:emission,0.373:developing country,0.309:extreme poverty,0.258:ecosystem,0.240:population,0.209:waste generation,0.283:institution,0.148:insecurity,0.200:worker,0.346:manufacturing value added,0.209:disaster risk reduction
5,0.708:innovation,0.241:efficiency,0.169:resource management,0.313:safely,0.317:sub saharan africa,0.289:gender equality,0.258:learning,0.250:paris agreement,0.247:island,0.290:protection,0.223:forest,0.196:urban population,0.209:circular,0.265:human right,0.139:malnutrition,0.199:rate,0.346:manufacturing value,0.178:reduction
6,0.647:digital,0.215:fuel,0.165:scarcity,0.300:water sanitation,0.296:hiv,0.197:violence,0.253:teacher,0.250:paris,0.241:island developing state,0.173:living,0.192:coastal,0.177:space,0.203:circular economy,0.233:human,0.137:food insecurity,0.180:labour productivity,0.287:gdp,0.159:reported
7,0.622:development,0.200:technology,0.150:supply,0.291:basic,0.253:rate,0.186:marriage,0.190:primary school,0.245:action,0.241:island developing,0.161:income,0.191:land,0.176:public,0.198:chapter,0.226:child,0.130:export,0.180:productivity,0.259:industry,0.148:loss
8,0.520:support,0.195:clean,0.149:water scarcity,0.280:facility,0.225:adolescent,0.179:female,0.185:student,0.244:agreement,0.241:developing state,0.145:benefit,0.174:specie,0.175:housing,0.173:management,0.209:law,0.120:genetic,0.171:job,0.215:global,0.132:local
9,0.515:challenge,0.161:access,0.141:water related,0.280:service,0.212:asia,0.168:work,0.178:primary secondary,0.209:nationally contribution,0.226:state,0.141:poor,0.172:protected,0.163:air,0.165:instrument,0.208:justice,0.117:nutrition,0.146:youth,0.210:developed,0.131:resilience
10,0.479:public,0.157:emission,0.132:water quality,0.226:sanitation service,0.211:child,0.156:men,0.178:secondary education,0.203:contribution,0.194:duty,0.134:inequality,0.157:sustainable,0.138:public transport,0.162:material,0.180:territory,0.117:wasting,0.135:unemployment rate,0.202:country,0.122:economic loss
11,0.471:environmental,0.142:carbon,0.124:sector,0.215:hygiene,0.204:death,0.150:sexual,0.164:primary education,0.193:nationally,0.186:country island,0.132:worker,0.156:resource,0.136:land,0.159:economy,0.178:country territory,0.117:breed,0.134:global,0.180:employment,0.121:strategy
12,0.468:approach,0.113:energy consumption,0.123:transboundary,0.202:water service,0.167:incidence,0.149:legal,0.154:quality,0.187:convention,0.182:country island developing,0.120:world,0.156:protected area,0.136:urbanization,0.146:policy,0.174:sexual,0.116:production,0.130:adult,0.180:emission,0.116:risk reduction strategy
13,0.435:business,0.113:global,0.122:water supply,0.196:defecation,0.159:new,0.147:right,0.153:proficiency,0.184:framework convention,0.163:duty free,0.119:population,0.151:fishery,0.127:living,0.119:hazardous,0.162:access justice,0.113:food security,0.128:growth rate,0.177:developed country,0.113:reduction strategy
