,"0.51*SDG9,0.49*SDG11",1.00*SDG7,1.00*SDG6,"0.84*SDG6,0.16*SDG3",1.00*SDG3,1.00*SDG5,1.00*SDG4,1.00*SDG13,1.00*SDG9,"0.81*SDG1,0.19*SDG10",1.00*SDG15,1.00*SDG11,1.00*SDG12,1.00*SDG16,"0.79*SDG10,0.21*SDG9",1.00*SDG2,1.00*SDG8,1.00*SDG14,"0.39*SDG1,0.35*SDG13,0.26*SDG11"
0,1.657:policy,1.459:energy,1.415:water,0.909:sanitation,0.331:africa,0.899:woman,0.666:education,1.002:climate,0.750:manufacturing,0.800:poverty,0.519:biodiversity,0.749:urban,0.972:waste,0.355:victim,0.512:country,0.712:food,0.346:labour,1.047:ocean,0.720:disaster
1,0.950:chapter,0.307:renewable,0.272:water resource,0.781:water,0.326:saharan,0.547:gender,0.595:school,0.746:climate change,0.398:value added,0.370:social,0.460:forest,0.590:city,0.313:recycling,0.317:violence,0.484:developing,0.334:hunger,0.317:employment,0.802:marine,0.352:risk
2,0.847:paper,0.282:electricity,0.232:management,0.493:drinking,0.326:sub saharan,0.525:girl,0.494:primary,0.718:change,0.396:added,0.322:social protection,0.400:area,0.298:slum,0.253:generation,0.287:child,0.388:developed country,0.241:agricultural,0.275:growth,0.313:coastal,0.319:disaster risk
3,0.798:oecd,0.264:renewable energy,0.215:resource,0.486:drinking water,0.325:sub,0.334:woman girl,0.292:child,0.347:adaptation,0.363:value,0.312:extreme,0.345:land,0.278:transport,0.218:waste management,0.242:sexual,0.370:developed,0.231:agriculture,0.202:unemployment,0.231:ecosystem,0.225:risk reduction
4,0.792:government,0.262:energy efficiency,0.179:water resource management,0.345:access,0.322:saharan africa,0.325:equality,0.262:secondary,0.281:emission,0.316:manufacturing value,0.311:extreme poverty,0.261:specie,0.240:population,0.209:circular,0.200:trafficking,0.353:developing country,0.153:insecurity,0.199:worker,0.227:fishery,0.220:disaster risk reduction
5,0.753:innovation,0.244:efficiency,0.172:resource management,0.318:safely,0.322:sub saharan africa,0.303:gender equality,0.259:learning,0.264:paris agreement,0.316:manufacturing value added,0.292:protection,0.239:loss,0.197:urban population,0.208:waste generation,0.182:sexual violence,0.230:island,0.141:malnutrition,0.197:rate,0.221:marine environment,0.186:reduction
6,0.684:digital,0.220:fuel,0.167:scarcity,0.305:water sanitation,0.307:hiv,0.188:marriage,0.254:teacher,0.261:paris,0.262:gdp,0.174:living,0.196:ecosystem,0.178:public,0.203:circular economy,0.157:income,0.224:island developing,0.141:food insecurity,0.181:labour productivity,0.214:sea,0.167:reported
7,0.677:development,0.204:technology,0.153:supply,0.296:basic,0.257:rate,0.183:female,0.190:primary school,0.259:action,0.236:industry,0.156:income,0.191:protected,0.178:space,0.198:chapter,0.153:punishment,0.224:developing state,0.129:export,0.179:productivity,0.194:sustainable,0.141:loss
8,0.556:support,0.198:clean,0.151:water scarcity,0.285:facility,0.232:adolescent,0.177:violence,0.185:student,0.256:agreement,0.197:global,0.146:benefit,0.179:terrestrial,0.176:housing,0.172:management,0.152:psychological,0.224:island developing state,0.121:production,0.172:job,0.186:resource,0.139:resilience
9,0.537:challenge,0.163:access,0.143:water related,0.284:service,0.218:asia,0.177:work,0.179:primary secondary,0.221:nationally contribution,0.191:developed,0.142:poor,0.177:degradation,0.164:air,0.167:material,0.149:aggression,0.206:state,0.120:nutrition,0.147:youth,0.180:acidification,0.137:local
