,"0.51*SDG9,0.49*SDG11",1.00*SDG7,1.00*SDG6,"0.82*SDG6,0.18*SDG3",1.00*SDG3,1.00*SDG5,1.00*SDG4,1.00*SDG13,1.00*SDG9,"0.81*SDG1,0.19*SDG10",1.00*SDG15,1.00*SDG11,1.00*SDG12,1.00*SDG16,1.00*SDG2,1.00*SDG8,1.00*SDG14,1.00*SDG10
0,1.438:policy,1.408:energy,1.362:water,0.852:sanitation,0.498:death,0.858:woman,0.636:education,0.856:climate,0.732:manufacturing,0.752:poverty,0.508:biodiversity,0.708:urban,0.570:material,0.335:right,0.707:food,0.326:labour,0.867:ocean,0.545:country
1,0.809:chapter,0.297:renewable,0.262:water resource,0.726:water,0.475:disease,0.514:girl,0.580:school,0.620:climate change,0.388:value added,0.352:social,0.450:forest,0.570:city,0.543:consumption,0.283:victim,0.337:hunger,0.295:employment,0.663:marine,0.506:developing
2,0.728:paper,0.275:electricity,0.226:management,0.458:drinking,0.466:health,0.499:gender,0.488:primary,0.588:change,0.386:added,0.307:social protection,0.392:area,0.288:slum,0.347:production,0.263:violence,0.242:agricultural,0.259:growth,0.259:coastal,0.403:developed country
3,0.690:government,0.255:renewable energy,0.208:resource,0.452:drinking water,0.386:mortality,0.322:woman girl,0.316:child,0.320:adaptation,0.354:value,0.297:extreme,0.337:land,0.257:transport,0.326:consumption production,0.263:country,0.230:agriculture,0.198:rate,0.192:ecosystem,0.383:developed
4,0.682:oecd,0.252:energy efficiency,0.173:water resource management,0.328:access,0.234:rate,0.300:equality,0.261:secondary,0.319:disaster,0.309:manufacturing value,0.293:extreme poverty,0.256:specie,0.229:population,0.275:sustainable,0.243:institution,0.154:insecurity,0.194:unemployment,0.188:fishery,0.375:developing country
5,0.631:innovation,0.235:efficiency,0.166:resource management,0.294:safely,0.224:maternal,0.279:gender equality,0.247:learning,0.224:emission,0.309:manufacturing value added,0.278:protection,0.236:loss,0.186:urban population,0.250:resource,0.234:human right,0.143:food insecurity,0.191:worker,0.182:marine environment,0.238:island
6,0.612:development,0.214:fuel,0.161:scarcity,0.287:water sanitation,0.203:communicable,0.191:violence,0.243:teacher,0.213:paris agreement,0.258:gdp,0.166:income,0.191:ecosystem,0.174:space,0.242:sustainable consumption,0.231:child,0.142:malnutrition,0.172:labour productivity,0.179:sea,0.232:developing state
7,0.574:digital,0.197:technology,0.147:supply,0.278:basic,0.198:child,0.186:marriage,0.186:primary school,0.212:action,0.230:industry,0.165:living,0.187:protected,0.169:public,0.240:material consumption,0.208:human,0.129:wasting,0.170:productivity,0.162:sustainable,0.232:island developing state
8,0.480:support,0.192:clean,0.145:water scarcity,0.275:service,0.197:live,0.175:female,0.182:primary secondary,0.211:paris,0.196:global,0.146:benefit,0.175:terrestrial,0.169:housing,0.235:sustainable consumption production,0.180:justice,0.128:export,0.160:job,0.154:resource,0.232:island developing
9,0.476:challenge,0.160:emission,0.138:water related,0.268:facility,0.191:hiv,0.163:work,0.174:student,0.207:agreement,0.188:developed,0.138:poor,0.173:degradation,0.157:air,0.233:footprint,0.179:law,0.127:child,0.137:youth,0.149:acidification,0.217:state
10,0.458:public,0.158:access,0.129:water quality,0.213:sanitation service,0.184:communicable disease,0.151:men,0.173:secondary education,0.202:risk,0.176:country,0.128:inequality,0.161:mountain,0.151:disaster,0.224:material footprint,0.177:territory,0.122:production,0.128:global,0.140:marine resource,0.186:duty
11,0.439:environmental,0.142:carbon,0.122:sector,0.209:hygiene,0.181:mortality rate,0.146:sexual,0.161:primary education,0.188:nationally contribution,0.163:emission,0.125:worker,0.157:protected area,0.138:settlement,0.188:domestic material,0.175:country territory,0.119:nutrition,0.128:unemployment rate,0.135:fish,0.181:country island
12,0.425:approach,0.114:global,0.121:transboundary,0.190:water service,0.172:death live,0.144:legal,0.154:proficiency,0.179:contribution,0.159:employment,0.113:population,0.143:biodiversity area,0.132:public transport,0.188:domestic material consumption,0.163:sexual,0.111:food security,0.127:adult,0.133:environment,0.176:country island developing
13,0.404:business,0.112:energy consumption,0.120:water supply,0.185:open defecation,0.170:care,0.143:discrimination,0.147:quality,0.173:nationally,0.157:developed country,0.111:world,0.136:desertification,0.129:urbanization,0.148:pattern,0.144:trafficking,0.110:breed,0.121:growth rate,0.127:pollution,0.156:duty free
14,0.389:report,0.110:cooking,0.119:sanitation,0.185:defecation,0.168:tuberculosis,0.143:right,0.146:reading,0.168:reduction,0.147:infrastructure,0.107:child,0.121:biodiversity loss,0.125:living,0.147:natural resource,0.141:access justice,0.107:nutritious,0.116:economic growth,0.123:stock,0.143:development
15,0.387:initiative,0.107:fossil,0.117:water efficiency,0.185:lack,0.156:malaria,0.132:mutilation,0.118:mathematics,0.168:country,0.137:network,0.106:world population,0.118:extinction,0.123:public space,0.145:consumption production pattern,0.139:homicide,0.107:food production,0.115:informal,0.119:fishing,0.143:developed country island
16,0.369:role,0.107:power,0.113:integrated water resource,0.157:population,0.138:saharan,0.132:female genital mutilation,0.117:saharan,0.164:framework convention,0.136:global manufacturing,0.105:disaster,0.115:land degradation,0.113:resident,0.144:environmental,0.123:africa,0.102:sector,0.113:economic,0.116:ocean sea,0.140:income
17,0.355:need,0.106:sector,0.113:integrated water,0.156:lacked,0.138:sub saharan,0.132:female genital,0.117:sub saharan,0.163:convention,0.133:developing,0.095:vulnerable,0.113:forest area,0.110:land,0.143:production pattern,0.119:sexual violence,0.102:price,0.113:financial,0.114:eutrophication,0.131:free
18,0.350:market,0.100:energy energy,0.107:efficiency,0.156:open,0.137:cancer,0.132:genital mutilation,0.114:sub,0.140:disaster risk,0.126:dioxide,0.088:le,0.113:freshwater,0.107:urban resident,0.143:metric,0.117:access,0.102:subsidy,0.112:young,0.109:ocean acidification,0.124:assistance
