,"0.51*SDG9,0.49*SDG11",1.00*SDG7,1.00*SDG6,1.00*SDG3,1.00*SDG5,1.00*SDG4,1.00*SDG13,"0.75*SDG9,0.25*SDG10","0.79*SDG1,0.21*SDG10","0.62*SDG14,0.38*SDG15",1.00*SDG11,1.00*SDG12,"0.85*SDG16,0.15*SDG10",1.00*SDG2,1.00*SDG8
0,1796.828:policy,3097.462:energy,2881.002:water,1385.806:health,1768.834:woman,1390.903:education,1494.533:climate,1029.700:manufacturing,1708.374:poverty,1393.637:ocean,1425.604:urban,905.264:material,664.224:right,1282.218:food,695.945:labour
1,1056.660:chapter,653.961:renewable,1101.263:sanitation,1221.492:disease,1061.321:girl,1246.288:school,1082.033:climate change,717.268:country,803.454:social,1154.917:marine,1146.131:city,868.061:consumption,572.519:country,592.618:hunger,631.533:employment
2,904.944:paper,603.906:electricity,539.796:drinking,976.439:death,1039.550:gender,1022.328:primary,1022.348:change,652.155:developing,694.939:social protection,791.331:biodiversity,575.379:slum,551.752:production,501.166:institution,477.667:agricultural,559.914:growth
3,856.187:government,563.553:renewable energy,519.579:drinking water,754.444:mortality,672.645:woman girl,614.474:child,593.766:adaptation,645.037:developed,669.828:extreme,608.694:area,524.429:transport,520.204:consumption production,476.059:victim,446.779:agriculture,398.170:rate
4,845.325:oecd,555.725:energy efficiency,443.786:water sanitation,575.301:communicable,623.580:equality,541.466:secondary,548.174:disaster,614.424:developed country,660.175:extreme poverty,578.816:ecosystem,461.694:population,445.100:sustainable,469.006:violence,267.115:insecurity,396.604:unemployment
5,785.657:innovation,519.111:efficiency,400.620:management,545.920:maternal,580.620:gender equality,540.137:learning,380.295:country,561.391:value added,631.027:protection,487.155:forest,372.391:urban population,407.007:resource,452.453:human right,258.076:export,392.849:worker
6,736.209:development,470.415:fuel,399.296:safely,518.402:communicable disease,404.561:violence,530.837:teacher,373.641:emission,557.874:added,401.598:income,431.853:coastal,348.392:space,386.646:sustainable consumption,394.329:human,253.159:malnutrition,357.310:labour productivity
7,705.119:digital,436.947:technology,374.036:access,487.008:care,374.096:marriage,398.390:primary school,370.522:action,530.934:value,371.791:living,414.219:land,343.835:public,380.630:material consumption,362.774:law,245.722:food insecurity,356.806:productivity
8,620.106:challenge,425.584:clean,371.005:water resource,417.481:cancer,360.363:female,385.459:student,369.462:paris agreement,455.971:developing country,330.851:benefit,381.429:specie,341.249:housing,374.222:sustainable consumption production,348.895:justice,231.790:genetic,351.568:job
9,584.760:support,359.492:access,344.649:service,346.301:vaccine,339.163:work,368.952:primary secondary,367.455:agreement,434.593:manufacturing value added,317.738:inequality,379.927:protected,314.184:disaster,369.680:footprint,348.828:child,226.239:production,291.760:youth
10,555.244:environmental,359.116:emission,284.457:sanitation service,340.233:mental,315.596:men,367.742:secondary education,365.381:paris,434.593:manufacturing value,313.842:poor,366.178:sustainable,311.853:air,356.015:material footprint,330.418:territory,219.057:breed,268.600:global
11,547.059:public,315.594:carbon,280.965:scarcity,325.819:health care,306.745:sexual,339.493:primary education,348.509:risk,373.932:gdp,275.977:worker,358.953:resource,279.904:settlement,298.446:domestic material consumption,326.965:country territory,213.053:nutrition,264.765:unemployment rate
12,525.904:approach,253.567:global,279.124:basic,303.695:live,299.444:legal,316.981:proficiency,330.994:nationally contribution,352.266:industry,262.674:population,345.670:protected area,271.509:land,298.446:domestic material,278.077:sexual,208.727:wasting,263.107:growth rate
13,493.789:business,245.154:energy consumption,276.844:supply,299.096:coverage,297.129:right,314.248:quality,320.505:contribution,299.371:infrastructure,251.737:world,344.127:fishery,264.191:public transport,236.586:natural resource,272.098:access justice,206.624:food security,260.718:adult
14,482.081:report,239.859:cooking,275.807:resource,294.106:mental health,295.677:discrimination,302.998:reading,305.605:nationally,259.679:global,240.638:world population,302.791:marine environment,260.096:urbanization,235.899:pattern,258.151:national,195.303:sector,251.318:economic growth
15,480.772:initiative,236.933:fossil,265.183:water service,281.963:malaria,273.009:mutilation,243.596:mathematics,297.239:reduction,258.199:development,236.460:country,290.735:sea,248.899:living,231.905:environmental,253.815:trafficking,193.392:subsidy,251.055:financial
16,460.345:role,233.610:power,262.032:water supply,261.008:suicide,273.009:genital,239.254:quality education,290.967:framework convention,239.655:research,232.931:disaster,268.022:loss,244.584:public space,231.306:consumption production pattern,243.483:homicide,191.884:child,249.507:economic
17,458.334:sector,233.179:sector,256.072:facility,252.182:risk,273.009:genital mutilation,233.148:training,287.561:convention,239.458:island,222.117:child,262.405:conservation,235.864:area,228.619:production pattern,236.840:access,191.812:nutritious,240.457:informal
18,434.261:need,223.646:clean energy,253.357:water scarcity,251.024:traffic,273.009:female genital,232.027:primary secondary education,271.000:national,235.209:developing state,216.666:vulnerable,241.902:fish,225.682:resident,226.497:metric,229.268:income,190.824:food production,237.409:income
19,431.462:market,220.387:energy energy,241.558:water resource management,250.809:tobacco,273.009:female genital mutilation,221.965:skill,259.659:national adaptation,235.209:island developing,197.207:le,240.035:acidification,212.042:urban resident,210.123:natural,222.173:human right institution,187.312:export subsidy,233.680:gdp
20,425.306:economic,219.324:energy sector,235.973:lack,248.579:hepatitis,267.056:parliament,209.314:country,246.857:disaster risk,235.209:island developing state,189.621:family,230.038:marine resource,211.054:safe,208.403:domestic,222.173:right institution,184.898:price,232.333:informal employment
21,417.065:transport,216.920:access clean,233.912:hygiene,244.855:mortality rate,260.868:equal,189.347:access,243.165:framework,223.399:employment,183.955:poverty rate,226.491:environment,210.565:living slum,185.616:company,222.173:national human,176.262:world,232.125:young
