,1.00*SDG10,1.00*SDG3,1.00*SDG15,1.00*SDG7,1.00*SDG6,1.00*SDG5,1.00*SDG1,1.00*SDG13,1.00*SDG4,1.00*SDG14,1.00*SDG11,1.00*SDG2,1.00*SDG8,1.00*SDG9,1.00*SDG12,1.00*SDG16
0,country,health,forest,energy,water,woman,poverty,climate,education,marine,urban,food,labour,manufacturing,material,right
1,developing,death,biodiversity,renewable,sanitation,girl,extreme poverty,climate change,primary,ocean,city,hunger,growth,value added,consumption,institution
2,developing country,disease,area,renewable energy,drinking,woman girl,extreme,change,school,coastal,slum,agricultural,unemployment,added,consumption production,victim
3,developed country,mortality,land,electricity,drinking water,gender,social protection,adaptation,child,fishery,population,agriculture,rate,value,production,country
4,developed,maternal,specie,clean,water sanitation,marriage,social,disaster,secondary,acidification,urban population,malnutrition,labour productivity,manufacturing value,material consumption,violence
5,duty,communicable,loss,technology,safely,equality,protection,nationally contribution,learning,ecosystem,waste,export,employment,industry,footprint,justice
6,inequality,rate,terrestrial,fuel,management,violence,living,contribution,reading,ocean acidification,transport,breed,unemployment rate,country,sustainable,human right
7,duty free,live,mountain,energy consumption,water resource,sexual,disaster,nationally,primary secondary,eutrophication,public,subsidy,productivity,developed,material footprint,child
8,income,mortality rate,wildlife,energy efficiency,facility,gender equality,poor,country,teacher,fish,space,child,growth rate,infrastructure,domestic material,homicide
9,island,communicable disease,protected,access,basic,married,vulnerable,agreement,proficiency,sustainable,urbanization,export subsidy,adult,global,waste,human
10,island developing,death live,ecosystem,cooking,transboundary,female,worker,paris agreement,primary school,stock,solid waste,wasting,worker,developed country,resource,access justice
11,developing state,child,biodiversity area,efficiency,service,work,living extreme,paris,secondary education,overfishing,solid,market,youth,developing,sustainable consumption,trafficking
12,free,reproductive,conservation,access electricity,wastewater,mutilation,benefit,framework convention,mathematics,fishing,housing,genetic,annual growth,mobile,convention,sexual
13,state,tuberculosis,extinction,fuel technology,sanitation service,female genital,world population,national adaptation,primary education,pollution,public transport,price,financial,emission,domestic,detected
14,product,malaria,degradation,energy energy,water scarcity,genital,population,action,saharan,fish stock,disaster,insecurity,annual,global manufacturing,natural resource,public
15,international,vaccine,protected area,modern,country,genital mutilation,poor vulnerable,convention,quality,marine resource,urban resident,producer,young,research,natural,national human
16,development,mental,freshwater,consumption,scarcity,country,poverty rate,national,skill,resource,public space,food insecurity,global,employment,policy,right institution
17,assistance,care,forest area,access clean,integrated water,legal,world,framework,africa,level,living,undernourished,region,research development,company,punishment
18,country island,adolescent,desertification,improvement,resource management,practice,worker living,convention climate,trained,biologically sustainable,resident,production,informal employment,northern america,metric,psychological
19,export,neonatal,hectare,solar,resource,child marriage,income,adaptation plan,quality education,biologically,sprawl,food production,economic growth,network,hazardous,aggression
20,money,incidence,genetic resource,global,defecation,unpaid,live extreme,emission,reading mathematics,area,world,food producer,informal,europe,taking,national
21,tariff,coverage,poaching,rate improvement,open defecation,partner,economic,reduction,saharan africa,coastal eutrophication,living slum,overweight,developed,region,pattern,access
22,cost,saharan,poaching trafficking,wind,freshwater,right,lived,disaster risk,country,protected,pollution,stunting,financial service,economic,production pattern,physical punishment
23,financial,saharan africa,covered,clean energy,water service,parliament,live,united framework,basic,marine environment,safe,food price,economic,carbon,chemical,psychological aggression
24,flow,suicide,land degradation,global energy,integrated,intimate,lived extreme,plan,child adolescent,protected area,settlement,government,working,europe northern,impact,country territory
25,development assistance,mental health,resource,reliable,asia,intimate partner,pension,mitigation,literacy,biodiversity,open public,world,global unemployment,transport,framework,territory
26,free treatment,globally,sharing,affordable reliable,hygiene,empowerment,living poverty,strategy,scholarship,marine ecosystem,convenient access,stunted,access financial,america,hazardous waste,information
27,donor,tobacco,biodiversity loss,population access,access,aged,global poverty,greenhouse,school teacher,sustainable level,convenient,plant,woman,researcher,environmental,conflict
28,treatment,africa,genetic,clean fuel,water source,care,poverty dimension,risk reduction,training,water,area,productivity,trade,development,pollutant,registration
29,country developing,hepatitis,land area,power,sanitation facility,girl woman,rate,united,development,acidity,urban sprawl,investment,grew,reached,accordance,available
