,1.00*SDG2,1.00*SDG5,1.00*SDG7,1.00*SDG6,"0.63*SDG3,0.37*SDG11",1.00*SDG3,1.00*SDG15,1.00*SDG13,"0.85*SDG1,0.15*SDG10",1.00*SDG4,1.00*SDG14,1.00*SDG11,1.00*SDG9,1.00*SDG10,1.00*SDG16,1.00*SDG12,1.00*SDG8
0,food,woman,energy,water,model,death,forest,climate,poverty,education,ocean,city,manufacturing,country,right,material,labour
1,hunger,girl,renewable,sanitation,learning,disease,biodiversity,climate change,social,primary,marine,urban,value added,developing,country,consumption,employment
2,agricultural,woman girl,renewable energy,drinking,technique,health,area,change,extreme poverty,school,coastal,slum,added,developed country,victim,consumption production,growth
3,agriculture,gender,electricity,drinking water,network,mortality,land,adaptation,extreme,child,fishery,population,value,developing country,institution,production,rate
4,malnutrition,equality,clean,safely,method,maternal,specie,disaster,social protection,secondary,sustainable,urban population,manufacturing value added,developed,violence,sustainable,unemployment
5,insecurity,violence,access,management,study,rate,loss,paris agreement,protection,primary school,acidification,transport,manufacturing value,island,child,material consumption,worker
6,export,gender equality,fuel,water sanitation,artificial,communicable,protected,paris,living,primary secondary,resource,public,industry,developing state,human right,footprint,labour productivity
7,wasting,marriage,technology,facility,approach,live,ecosystem,agreement,poor,learning,fish,space,global,island developing,human,sustainable consumption,productivity
8,food insecurity,sexual,energy efficiency,service,paper,child,terrestrial,nationally contribution,worker,secondary education,stock,urbanization,country,island developing state,country territory,sustainable consumption production,youth
9,child,female,cooking,basic,based,communicable disease,mountain,contribution,benefit,primary education,marine environment,housing,emission,state,territory,material footprint,global
10,price,married,energy consumption,water resource,decision,mortality rate,protected area,country,poverty rate,proficiency,pollution,living,developed,income,justice,domestic material,unemployment rate
11,breed,mutilation,access clean,sanitation service,algorithm,death live,conservation,nationally,income,reading,eutrophication,disaster,employment,duty,sexual,domestic material consumption,adult
12,subsidy,genital mutilation,efficiency,access,process,tuberculosis,biodiversity area,action,world,teacher,fishing,public space,infrastructure,development,trafficking,resource,economic
13,food production,genital,access electricity,water service,research,malaria,degradation,emission,world population,quality,ecosystem,waste,developed country,country island,homicide,waste,financial
14,export subsidy,female genital,fuel technology,transboundary,result,incidence,freshwater,framework convention,vulnerable,mathematics,ocean acidification,public transport,global manufacturing,country island developing,access justice,metric,growth rate
