,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15
0,0.053:climate,0.054:marine,0.054:food,0.042:biodiversity,0.060:water,0.036:countries,0.054:poverty,0.037:countries,0.038:health,0.037:growth,0.032:sustainable,0.061:countries,0.035:countries,0.057:education,0.078:energy,0.055:urban
1,0.038:countries,0.026:oceans,0.024:hunger,0.029:land,0.049:women,0.030:global,0.025:consumption,0.020:violence,0.030:deaths,0.031:labour,0.020:goal,0.027:income,0.031:sustainable,0.044:children,0.043:countries,0.039:cities
2,0.037:change,0.026:ocean,0.024:agricultural,0.028:species,0.030:countries,0.024:regions,0.025:extreme,0.020:rights,0.023:diseases,0.028:rate,0.019:progress,0.021:persons,0.031:including,0.042:primary,0.031:access,0.024:population
3,0.020:parties,0.020:coastal,0.020:children,0.024:areas,0.027:girls,0.020:asia,0.023:social,0.018:human,0.019:mortality,0.028:employment,0.018:development,0.018:population,0.027:development,0.031:school,0.028:developing,0.018:air
4,0.019:adaptation,0.017:sustainable,0.020:agriculture,0.020:loss,0.024:sanitation,0.018:territories,0.023:material,0.017:children,0.017:rate,0.018:global,0.016:world,0.018:proportion,0.026:developing,0.022:countries,0.022:renewable,0.017:public
5,0.019:national,0.016:fisheries,0.012:world,0.020:forest,0.017:gender,0.017:developing,0.019:protection,0.017:institutions,0.016:births,0.017:countries,0.014:access,0.014:social,0.016:access,0.017:secondary,0.020:developed,0.017:waste
6,0.016:agreement,0.015:resources,0.011:malnutrition,0.017:forests,0.012:equality,0.016:developed,0.017:capita,0.017:victims,0.013:children,0.016:unemployment,0.011:increasing,0.013:national,0.015:particular,0.017:learning,0.017:global,0.017:living
7,0.015:framework,0.015:pollution,0.011:globally,0.015:area,0.011:drinking,0.016:manufacturing,0.016:living,0.014:access,0.012:live,0.014:productivity,0.010:change,0.013:sex,0.014:developed,0.016:sub,0.017:electricity,0.015:world
8,0.014:global,0.013:ecosystems,0.010:aid,0.014:protected,0.011:management,0.015:pandemic,0.015:poor,0.013:years,0.011:women,0.014:women,0.010:percent,0.013:assistance,0.014:ensure,0.016:saharan,0.016:increase,0.015:transport
9,0.013:convention,0.012:areas,0.010:export,0.013:wildlife,0.009:work,0.014:africa,0.013:production,0.012:public,0.011:maternal,0.014:financial,0.009:need,0.012:inequality,0.013:promote,0.015:africa,0.014:clean,0.013:areas
10,0.011:developed,0.012:levels,0.010:years,0.013:ecosystems,0.009:marriage,0.011:gdp,0.012:resources,0.011:justice,0.011:years,0.013:gdp,0.009:target,0.012:disabilities,0.013:international,0.012:quality,0.013:fuels,0.013:slums
