,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14
0,0.053:food,0.040:poverty,0.041:biodiversity,0.076:water,0.023:sustainable,0.051:countries,0.038:countries,0.023:growth,0.043:urban,0.044:health,0.051:marine,0.057:territories,0.058:countries,0.053:climate,0.055:women
1,0.028:agricultural,0.025:social,0.029:land,0.056:energy,0.019:goal,0.033:developing,0.028:africa,0.023:consumption,0.030:cities,0.033:deaths,0.026:ocean,0.048:pandemic,0.040:education,0.039:countries,0.029:countries
2,0.027:hunger,0.020:protection,0.027:species,0.029:sanitation,0.013:percent,0.029:manufacturing,0.022:saharan,0.020:labour,0.026:public,0.025:diseases,0.025:oceans,0.037:global,0.030:developing,0.035:change,0.028:girls
3,0.020:agriculture,0.018:extreme,0.021:areas,0.027:access,0.013:world,0.026:developed,0.021:asia,0.019:capita,0.021:population,0.021:mortality,0.022:sustainable,0.033:countries,0.028:primary,0.020:national,0.023:violence
4,0.019:children,0.016:population,0.019:forest,0.018:renewable,0.012:progress,0.023:global,0.021:regions,0.018:sustainable,0.021:access,0.018:births,0.019:coastal,0.022:covid,0.024:children,0.018:parties,0.017:gender
5,0.013:world,0.016:including,0.018:loss,0.015:global,0.011:need,0.021:development,0.021:sub,0.017:countries,0.019:countries,0.013:rate,0.018:resources,0.013:increase,0.021:school,0.018:adaptation,0.017:rights
6,0.012:export,0.015:economic,0.017:forests,0.014:management,0.009:life,0.021:infrastructure,0.017:rate,0.016:employment,0.013:air,0.012:women,0.015:fisheries,0.013:affected,0.018:developed,0.016:framework,0.016:sexual
7,0.012:malnutrition,0.015:proportion,0.014:area,0.014:drinking,0.009:increasing,0.020:value,0.016:globally,0.016:material,0.013:human,0.012:maternal,0.013:areas,0.012:reported,0.017:development,0.015:developed,0.012:victims
8,0.011:production,0.015:persons,0.013:wildlife,0.013:electricity,0.009:economic,0.018:gdp,0.015:progress,0.015:global,0.011:national,0.012:live,0.013:pollution,0.011:measures,0.013:access,0.015:agreement,0.011:years
9,0.010:insecurity,0.014:reduce,0.012:ecosystems,0.013:population,0.008:target,0.015:added,0.015:worldwide,0.013:production,0.011:proportion,0.012:hiv,0.012:ecosystems,0.010:crisis,0.012:secondary,0.013:convention,0.010:equality
10,0.010:aid,0.014:ensure,0.012:protected,0.012:clean,0.008:worlds,0.015:economic,0.013:income,0.013:rate,0.011:number,0.012:children,0.011:levels,0.010:level,0.011:learning,0.012:developing,0.009:legal
11,0.009:access,0.013:particular,0.012:degradation,0.011:services,0.008:change,0.014:technology,0.012:estimated,0.012:economic,0.011:waste,0.011:global,0.010:acidification,0.010:implementation,0.010:quality,0.011:united,0.009:children
12,0.009:wasting,0.012:vulnerable,0.011:conservation,0.011:countries,0.008:cost,0.013:sustainable,0.010:global,0.011:developed,0.011:living,0.011:communicable,0.010:fishing,0.009:international,0.009:states,0.011:action,0.009:marriage
13,0.008:including,0.012:living,0.011:terrestrial,0.010:resources,0.008:achieve,0.013:research,0.010:period,0.011:unemployment,0.011:sustainable,0.011:disease,0.010:fish,0.009:reporting,0.008:proficiency,0.011:support,0.009:human
14,0.008:genetic,0.011:international,0.011:resources,0.009:increase,0.007:poor,0.010:access,0.009:world,0.010:gdp,0.011:transport,0.010:care,0.009:biodiversity,0.009:workers,0.008:assistance,0.010:emissions,0.008:trafficking
15,0.008:breeds,0.010:women,0.010:extinction,0.009:safely,0.007:needs,0.010:employment,0.009:compared,0.009:financial,0.010:slums,0.010:tuberculosis,0.009:protected,0.009:young,0.008:basic,0.010:plans,0.008:child
16,0.008:subsidies,0.010:poor,0.009:sustainable,0.009:efficiency,0.007:human,0.010:sectors,0.008:low,0.009:productivity,0.010:rights,0.009:malaria,0.009:world,0.008:risk,0.008:reading,0.010:reduction,0.008:justice
17,0.007:overweight,0.010:income,0.009:mountain,0.009:consumption,0.007:lives,0.010:innovation,0.008:population,0.009:developing,0.009:institutions,0.009:years,0.009:stocks,0.007:period,0.008:schools,0.009:nationally,0.008:forms
18,0.007:productivity,0.009:policies,0.008:management,0.008:technologies,0.007:live,0.010:industries,0.008:highest,0.008:development,0.009:development,0.009:services,0.008:overfishing,0.007:decade,0.008:skills,0.009:paris,0.008:work
19,0.007:markets,0.009:sex,0.008:desertification,0.008:cooking,0.007:education,0.009:growth,0.008:developed,0.008:domestic,0.008:safe,0.009:reproductive,0.008:global,0.007:years,0.008:free,0.009:global,0.007:physical
20,0.007:increase,0.009:access,0.008:freshwater,0.008:fuels,0.007:sdg,0.009:services,0.007:reported,0.008:youth,0.008:inclusive,0.008:globally,0.008:management,0.007:loans,0.007:including,0.009:development,0.007:national
21,0.007:capacity,0.009:inequality,0.007:genetic,0.008:basic,0.007:better,0.008:emissions,0.007:years,0.008:adults,0.008:pollution,0.008:worldwide,0.007:eutrophication,0.007:caused,0.006:levels,0.009:capacity,0.007:female
22,0.007:undernourished,0.009:financial,0.007:increase,0.007:facilities,0.007:development,0.008:mobile,0.007:southern,0.008:trade,0.007:spaces,0.008:incidence,0.007:national,0.006:systems,0.006:teachers,0.009:contributions,0.007:proportion
23,0.007:years,0.009:strengthen,0.007:sharing,0.007:proportion,0.007:planet,0.008:carbon,0.007:decline,0.007:footprint,0.007:world,0.008:coverage,0.006:sea,0.006:policy,0.006:international,0.008:strategies,0.007:aged
24,0.007:producers,0.008:services,0.007:trafficking,0.007:supply,0.006:help,0.007:support,0.007:result,0.007:increase,0.007:policies,0.008:treatment,0.006:increase,0.006:experienced,0.006:increase,0.008:local,0.007:men
25,0.006:nearly,0.008:end,0.007:countries,0.007:sector,0.006:social,0.007:increase,0.007:declined,0.007:child,0.007:housing,0.007:estimated,0.006:waters,0.006:past,0.006:mathematics,0.008:states,0.007:laws
26,0.006:fell,0.008:national,0.007:covered,0.006:sources,0.006:environment,0.007:financial,0.007:remained,0.007:tons,0.007:areas,0.007:number,0.006:biologically,0.006:poorest,0.006:flows,0.008:nations,0.006:access
27,0.006:stunting,0.008:disasters,0.006:efforts,0.006:including,0.006:millions,0.007:transport,0.006:children,0.006:account,0.007:levels,0.007:cases,0.006:scale,0.006:threat,0.006:island,0.008:disasters,0.006:levels
28,0.006:prices,0.008:disaster,0.006:degraded,0.006:modern,0.006:poverty,0.007:promote,0.006:northern,0.006:men,0.007:urbanization,0.007:adolescent,0.005:based,0.006:compared,0.006:ensure,0.008:risk,0.006:care
29,0.006:sector,0.008:benefits,0.006:support,0.006:sustainable,0.006:goals,0.007:industrial,0.006:percentage,0.006:jobs,0.006:information,0.007:risk,0.005:climate,0.006:resulting,0.006:duty,0.008:related,0.006:law
