,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16
0,0.042:health,0.036:countries,0.084:women,0.062:poverty,0.054:climate,0.043:countries,0.040:marine,0.043:biodiversity,0.031:sustainable,0.057:food,0.061:education,0.037:including,0.051:countries,0.080:countries,0.037:growth,0.066:energy,0.131:water
1,0.034:deaths,0.024:children,0.044:girls,0.040:social,0.039:change,0.023:africa,0.020:sustainable,0.029:land,0.021:goal,0.027:agricultural,0.044:primary,0.033:countries,0.035:manufacturing,0.037:developing,0.032:labour,0.037:urban,0.054:sanitation
2,0.027:diseases,0.023:rights,0.029:countries,0.028:extreme,0.037:countries,0.020:asia,0.019:ocean,0.027:species,0.017:progress,0.027:hunger,0.041:children,0.027:sustainable,0.028:developing,0.026:developed,0.026:employment,0.028:cities,0.026:countries
3,0.022:mortality,0.020:institutions,0.027:gender,0.025:protection,0.021:parties,0.020:regions,0.019:oceans,0.024:areas,0.017:development,0.022:agriculture,0.032:school,0.025:development,0.027:developed,0.019:income,0.025:rate,0.022:population,0.025:drinking
4,0.018:births,0.020:violence,0.017:equality,0.025:living,0.019:adaptation,0.020:progress,0.019:consumption,0.020:forest,0.016:access,0.021:children,0.019:countries,0.020:proportion,0.026:value,0.018:international,0.023:global,0.021:access,0.024:management
5,0.015:rate,0.018:victims,0.017:violence,0.019:economic,0.019:national,0.017:global,0.018:material,0.019:loss,0.012:world,0.013:production,0.019:secondary,0.020:developing,0.025:global,0.015:states,0.017:unemployment,0.019:renewable,0.020:services
6,0.015:children,0.016:human,0.016:sexual,0.018:disasters,0.017:global,0.016:saharan,0.015:resources,0.017:forests,0.011:percent,0.012:world,0.017:learning,0.019:ensure,0.024:infrastructure,0.014:development,0.015:youth,0.015:electricity,0.017:basic
7,0.013:live,0.013:national,0.015:marriage,0.018:population,0.017:agreement,0.015:territories,0.014:coastal,0.016:area,0.011:need,0.012:malnutrition,0.014:sub,0.018:access,0.022:gdp,0.013:inequality,0.014:economic,0.015:air,0.017:resources
8,0.013:maternal,0.013:justice,0.012:legal,0.017:poor,0.014:framework,0.015:sub,0.012:fisheries,0.015:ecosystems,0.008:increasing,0.011:export,0.013:proficiency,0.015:international,0.019:economic,0.011:population,0.014:productivity,0.013:waste,0.016:safely
9,0.012:hiv,0.012:access,0.012:female,0.014:vulnerable,0.013:convention,0.014:rate,0.010:pollution,0.014:protected,0.008:health,0.009:aid,0.013:quality,0.014:particular,0.018:added,0.011:island,0.014:gdp,0.013:public,0.014:population
10,0.012:global,0.011:trafficking,0.011:child,0.012:income,0.013:united,0.014:globally,0.010:production,0.013:wildlife,0.008:needs,0.009:insecurity,0.013:reading,0.014:number,0.017:development,0.011:products,0.013:women,0.012:consumption,0.013:access
11,0.011:communicable,0.011:years,0.011:work,0.011:disaster,0.013:developed,0.013:pandemic,0.010:capita,0.012:terrestrial,0.008:human,0.009:genetic,0.013:africa,0.013:reduce,0.011:industries,0.011:world,0.013:financial,0.012:transport,0.013:facilities
12,0.011:years,0.011:public,0.010:care,0.011:children,0.012:developing,0.012:worldwide,0.009:areas,0.012:conservation,0.008:change,0.009:productivity,0.012:saharan,0.012:provide,0.011:growth,0.010:national,0.013:countries,0.011:clean,0.012:asia
13,0.011:women,0.010:sexual,0.010:years,0.011:live,0.011:emissions,0.012:proportion,0.009:national,0.011:degradation,0.008:goals,0.009:markets,0.012:schools,0.011:national,0.011:regions,0.010:assistance,0.012:workers,0.010:global,0.010:transboundary
14,0.011:disease,0.009:available,0.009:married,0.011:risk,0.011:plans,0.010:increase,0.009:ecosystems,0.011:resources,0.007:achieve,0.009:subsidies,0.011:access,0.011:promote,0.010:innovation,0.010:inequalities,0.012:young,0.010:growth,0.009:freshwater
