,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17
0,0.037:countries,0.040:growth,0.045:women,0.049:countries,0.054:marine,0.047:consumption,0.054:energy,0.060:climate,0.049:territories,0.044:poverty,0.061:food,0.046:health,0.039:agricultural,0.041:biodiversity,0.061:urban,0.132:water,0.047:countries,0.076:countries
1,0.036:including,0.034:labour,0.032:countries,0.032:africa,0.026:oceans,0.035:sustainable,0.042:education,0.040:change,0.042:pandemic,0.026:social,0.034:hunger,0.034:deaths,0.024:agriculture,0.029:land,0.043:cities,0.053:sanitation,0.033:manufacturing,0.040:developing
2,0.026:development,0.030:employment,0.024:girls,0.024:asia,0.026:ocean,0.033:material,0.034:primary,0.038:countries,0.037:global,0.018:extreme,0.029:children,0.026:diseases,0.022:food,0.028:species,0.026:population,0.025:drinking,0.029:global,0.028:developed
3,0.022:developing,0.025:rate,0.020:violence,0.024:regions,0.019:coastal,0.025:production,0.029:children,0.020:adaptation,0.021:countries,0.017:protection,0.017:world,0.022:mortality,0.020:export,0.023:areas,0.018:public,0.022:management,0.025:developing,0.023:income
4,0.021:sustainable,0.020:global,0.019:rights,0.021:sub,0.018:sustainable,0.024:capita,0.027:access,0.020:parties,0.019:covid,0.015:economic,0.015:malnutrition,0.019:births,0.018:aid,0.020:forest,0.018:air,0.016:services,0.024:infrastructure,0.014:international
5,0.021:proportion,0.017:economic,0.014:gender,0.020:globally,0.016:fisheries,0.016:tons,0.022:school,0.017:national,0.016:increase,0.013:goal,0.013:production,0.016:rate,0.016:genetic,0.018:loss,0.018:transport,0.016:countries,0.023:value,0.013:inequality
6,0.017:access,0.017:gdp,0.013:sexual,0.019:saharan,0.015:resources,0.015:footprint,0.018:renewable,0.014:convention,0.013:rate,0.013:population,0.012:agriculture,0.013:maternal,0.016:subsidies,0.017:forests,0.017:waste,0.015:basic,0.022:developed,0.012:development
7,0.016:ensure,0.017:unemployment,0.012:children,0.015:proportion,0.013:pollution,0.014:waste,0.017:electricity,0.014:global,0.013:latin,0.013:poor,0.012:systems,0.012:women,0.014:countries,0.014:area,0.015:access,0.015:resources,0.021:gdp,0.012:free
8,0.016:international,0.016:financial,0.011:years,0.014:rate,0.012:ecosystems,0.012:resources,0.013:secondary,0.014:agreement,0.011:caribbean,0.013:living,0.012:insecurity,0.012:live,0.014:breeds,0.014:ecosystems,0.015:slums,0.015:safely,0.017:added,0.011:population
9,0.016:particular,0.015:women,0.011:human,0.014:progress,0.011:levels,0.011:impacts,0.013:learning,0.013:developed,0.011:number,0.011:progress,0.011:nearly,0.012:hiv,0.014:fell,0.014:wildlife,0.014:living,0.014:facilities,0.017:development,0.011:access
10,0.015:national,0.015:productivity,0.010:victims,0.014:worldwide,0.011:areas,0.011:natural,0.011:clean,0.013:framework,0.010:reported,0.010:world,0.011:wasting,0.012:children,0.014:world,0.013:protected,0.013:world,0.013:population,0.016:growth,0.010:assistance
11,0.014:promote,0.014:youth,0.010:institutions,0.013:developing,0.011:biodiversity,0.011:practices,0.011:countries,0.012:developing,0.010:current,0.010:need,0.011:affected,0.012:global,0.012:prices,0.012:conservation,0.013:areas,0.012:access,0.014:economic,0.010:world
12,0.014:number,0.013:men,0.010:national,0.012:estimated,0.010:fishing,0.010:resource,0.009:proficiency,0.011:nationally,0.009:measures,0.009:sustainable,0.010:estimated,0.011:communicable,0.011:government,0.012:degradation,0.012:pollution,0.012:hygiene,0.013:energy,0.009:states
