,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18
0,0.041:including,0.040:biodiversity,0.053:marine,0.070:health,0.041:growth,0.061:food,0.038:africa,0.034:children,0.111:energy,0.045:poverty,0.051:countries,0.136:water,0.056:climate,0.032:diseases,0.043:countries,0.077:women,0.042:consumption,0.085:countries,0.060:urban
1,0.032:countries,0.030:land,0.026:oceans,0.042:deaths,0.033:labour,0.027:agricultural,0.036:asia,0.031:education,0.036:access,0.028:social,0.036:manufacturing,0.052:sanitation,0.038:change,0.025:hiv,0.028:territories,0.042:girls,0.033:sustainable,0.037:developing,0.042:cities
2,0.025:proportion,0.026:species,0.026:ocean,0.028:births,0.026:rate,0.027:hunger,0.032:countries,0.030:countries,0.031:renewable,0.017:extreme,0.030:developed,0.026:drinking,0.038:countries,0.022:tuberculosis,0.026:progress,0.029:countries,0.031:material,0.026:developed,0.023:population
3,0.024:developing,0.023:areas,0.020:sustainable,0.027:mortality,0.026:employment,0.022:children,0.031:regions,0.024:primary,0.026:global,0.016:protection,0.026:global,0.025:management,0.020:parties,0.019:new,0.024:pandemic,0.026:gender,0.024:production,0.020:income,0.020:public
4,0.022:sustainable,0.019:forest,0.019:coastal,0.021:maternal,0.020:global,0.022:agriculture,0.029:saharan,0.017:school,0.025:electricity,0.014:economic,0.024:developing,0.018:services,0.019:adaptation,0.018:treatment,0.018:global,0.017:violence,0.023:capita,0.018:international,0.017:air
5,0.020:ensure,0.018:loss,0.016:fisheries,0.021:live,0.018:unemployment,0.014:world,0.028:sub,0.013:rights,0.022:clean,0.014:living,0.024:value,0.018:countries,0.018:national,0.018:cases,0.016:world,0.017:equality,0.015:footprint,0.015:national,0.016:waste
6,0.019:access,0.017:forests,0.014:resources,0.017:diseases,0.014:productivity,0.013:production,0.020:worldwide,0.012:access,0.017:fuels,0.014:poor,0.023:infrastructure,0.017:resources,0.016:agreement,0.017:malaria,0.012:reported,0.016:sexual,0.014:resources,0.013:development,0.015:transport
7,0.018:development,0.015:area,0.013:pollution,0.016:rate,0.014:financial,0.012:malnutrition,0.019:rate,0.012:violence,0.016:cooking,0.011:population,0.021:development,0.016:basic,0.014:framework,0.017:disease,0.012:increase,0.015:marriage,0.014:tons,0.012:world,0.014:slums
8,0.016:international,0.014:ecosystems,0.013:ecosystems,0.015:children,0.014:gdp,0.011:export,0.017:globally,0.012:institutions,0.015:technologies,0.010:goal,0.021:gdp,0.016:safely,0.014:convention,0.016:incidence,0.011:covid,0.013:work,0.013:global,0.012:assistance,0.014:access
9,0.016:promote,0.013:wildlife,0.011:areas,0.014:reproductive,0.014:youth,0.010:insecurity,0.015:developed,0.010:years,0.015:consumption,0.009:children,0.019:added,0.014:facilities,0.013:global,0.016:deaths,0.010:period,0.013:rights,0.011:natural,0.011:states,0.013:world
