,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20
0,0.083:women,0.061:climate,0.048:countries,0.058:food,0.045:growth,0.029:sustainable,0.131:water,0.042:biodiversity,0.041:manufacturing,0.095:countries,0.045:health,0.031:proportion,0.064:education,0.056:marine,0.038:countries,0.068:poverty,0.121:energy,0.037:africa,0.045:consumption,0.059:countries,0.065:urban
1,0.045:girls,0.040:change,0.039:territories,0.028:hunger,0.034:labour,0.021:goal,0.050:sanitation,0.030:land,0.041:countries,0.041:developing,0.034:deaths,0.028:ensure,0.046:primary,0.028:ocean,0.026:children,0.035:social,0.036:access,0.037:countries,0.036:material,0.035:development,0.048:cities
2,0.032:countries,0.032:countries,0.033:pandemic,0.028:agricultural,0.026:employment,0.013:development,0.024:management,0.028:species,0.029:global,0.027:developed,0.024:diseases,0.026:women,0.042:children,0.028:oceans,0.023:rights,0.028:extreme,0.035:renewable,0.030:regions,0.028:production,0.034:including,0.027:population
3,0.029:gender,0.022:parties,0.028:global,0.022:agriculture,0.025:rate,0.013:percent,0.023:drinking,0.024:areas,0.027:value,0.022:income,0.021:mortality,0.025:including,0.035:school,0.021:coastal,0.021:victims,0.024:protection,0.029:global,0.029:asia,0.026:capita,0.034:sustainable,0.019:air
4,0.020:violence,0.022:adaptation,0.018:progress,0.022:children,0.019:unemployment,0.011:world,0.019:countries,0.020:forest,0.026:developed,0.020:development,0.018:births,0.019:sex,0.020:secondary,0.017:fisheries,0.020:violence,0.021:living,0.028:electricity,0.029:saharan,0.020:sustainable,0.032:developing,0.018:public
5,0.019:equality,0.017:national,0.017:world,0.015:world,0.017:economic,0.011:need,0.019:resources,0.019:loss,0.023:infrastructure,0.015:assistance,0.015:children,0.018:equal,0.018:learning,0.015:resources,0.018:human,0.018:poor,0.022:clean,0.028:sub,0.017:tons,0.016:support,0.017:waste
6,0.017:sexual,0.015:global,0.016:increase,0.013:production,0.017:global,0.011:progress,0.016:basic,0.017:forests,0.023:gdp,0.015:international,0.015:rate,0.018:forms,0.018:countries,0.014:sustainable,0.018:institutions,0.018:economic,0.020:fuels,0.016:proportion,0.017:footprint,0.016:number,0.016:transport
7,0.016:marriage,0.015:agreement,0.015:covid,0.012:malnutrition,0.016:productivity,0.010:change,0.016:safely,0.017:area,0.022:developing,0.013:inequality,0.013:maternal,0.017:levels,0.014:proficiency,0.014:areas,0.014:access,0.017:disaster,0.019:consumption,0.016:rate,0.013:resources,0.015:particular,0.016:slums
8,0.014:work,0.015:convention,0.015:low,0.011:export,0.016:gdp,0.008:human,0.015:services,0.014:ecosystems,0.021:added,0.012:products,0.012:live,0.016:national,0.013:access,0.012:pollution,0.014:justice,0.016:disasters,0.018:cooking,0.015:worldwide,0.012:waste,0.015:capacity,0.015:access
9,0.014:years,0.014:framework,0.014:levels,0.010:insecurity,0.015:financial,0.008:increasing,0.015:access,0.014:wildlife,0.018:economic,0.012:free,0.012:hiv,0.016:policies,0.013:reading,0.012:ecosystems,0.014:years,0.014:reduction,0.017:technologies,0.015:developed,0.011:domestic,0.014:international,0.013:living
