,1.00*SDG3,1.00*SDG16,1.00*SDG9,1.00*SDG10,1.00*SDG8,1.00*SDG12,1.00*SDG4,1.00*SDG15,1.00*SDG2,1.00*SDG5,1.00*SDG14,1.00*SDG6,1.00*SDG13,1.00*SDG7,1.00*SDG11,1.00*SDG1
0,0.746:diseases,0.791:justice,0.832:manufacturing,0.734:remittances,0.732:unemployment,0.761:footprint,0.817:secondary,0.799:biodiversity,0.757:food,0.755:married,0.843:marine,0.801:sanitation,0.811:adaptation,0.850:renewable,0.842:cities,0.773:extreme
1,0.724:communicable,0.705:victims,0.762:broadband,0.693:remittance,0.709:labour,0.740:countrya,0.817:reading,0.792:mountain,0.735:wasting,0.752:marriage,0.824:overfishing,0.795:water,0.803:climate,0.801:energy,0.813:urban,0.732:poverty
2,0.707:mortality,0.697:victimization,0.723:dominate,0.690:transaction,0.698:category,0.727:material,0.804:mathematics,0.769:poaching,0.721:agriculture,0.751:parliament,0.814:ocean,0.782:wastewater,0.785:mobilizing,0.783:solar,0.792:slums,0.688:protection
3,0.707:deaths,0.696:punishment,0.720:industrialized,0.664:sending,0.682:earnings,0.712:scp,0.804:proficiency,0.763:thwart,0.720:stunting,0.738:girla,0.794:acidification,0.765:scarcity,0.785:communicated,0.776:wind,0.788:housing,0.648:floors
4,0.696:dying,0.679:crime,0.717:researchers,0.648:duty,0.681:employment,0.681:metallic,0.797:literacy,0.755:terrestrial,0.715:overweight,0.735:intimate,0.782:coastal,0.753:defecation,0.784:jointly,0.766:modestly,0.764:urbanization,0.640:cash
5,0.681:health,0.677:aggravate,0.710:tech,0.635:corridors,0.665:hourly,0.674:minerals,0.790:education,0.745:forests,0.715:hunger,0.728:women,0.777:acidity,0.739:safely,0.766:completed,0.747:clean,0.761:municipalities,0.631:hurricanes
6,0.675:underscored,0.673:aggression,0.706:unconnected,0.620:migrant,0.644:pay,0.669:tons,0.789:learning,0.739:articulates,0.712:undernutrition,0.719:womens,0.764:oceans,0.732:drinking,0.764:submitted,0.740:cooking,0.723:sprawl,0.626:social
7,0.674:dental,0.666:violations,0.697:shifting,0.616:complementing,0.642:working,0.656:wastes,0.788:school,0.736:threatened,0.708:undernourished,0.719:genital,0.750:fish,0.723:drinkingwater,0.763:thanks,0.727:stove,0.716:settlements,0.616:maternity
8,0.665:tuberculosis,0.665:plague,0.692:volumes,0.610:fees,0.633:occupation,0.655:pointing,0.774:teachers,0.733:forest,0.702:stunted,0.701:marrying,0.737:fisheries,0.720:soap,0.759:secretariat,0.726:fuels,0.713:urbanizationa,0.615:poor
9,0.653:infectious,0.664:registration,0.679:added,0.609:provisional,0.632:engaged,0.654:pollutants,0.766:primary,0.716:desertification,0.696:height,0.696:partnered,0.733:stocks,0.708:stress,0.758:iteration,0.724:hydropower,0.709:municipal,0.599:earthquakes
10,0.637:narcotic,0.663:overdue,0.675:barely,0.607:vote,0.629:banking,0.653:resour,0.751:numeracy,0.713:deforestation,0.695:yearsfrom,0.694:girls,0.712:suite,0.707:practise,0.734:mitigation,0.721:solved,0.706:confronting,0.594:subsist
11,0.634:contraception,0.661:outnumbering,0.673:allowing,0.605:send,0.627:atms,0.651:ces,0.746:stagnated,0.705:upland,0.694:aspect,0.689:unpaid,0.702:eutrophication,0.706:arrangement,0.730:perspective,0.714:combinations,0.702:drains,0.593:families
12,0.630:neglected,0.660:rights,0.672:reallocated,0.604:receipts,0.623:labourers,0.645:revenue,0.745:schools,0.691:species,0.691:malnutrition,0.689:depriving,0.702:miles,0.697:facility,0.711:warming,0.713:efficiencies,0.698:exerting,0.592:wildfires
13,0.629:diabetes,0.658:retreated,0.666:evolution,0.604:bottom,0.621:economists,0.644:metric,0.745:groupare,0.687:shrubland,0.681:coalition,0.684:mutilation,0.701:stations,0.692:recharge,0.707:april,0.695:applications,0.697:comply,0.591:centmore
14,0.624:grows,0.656:violence,0.662:pharmaceutical,0.600:contraction,0.616:youth,0.639:kpmg,0.729:trained,0.681:decimating,0.681:restriction,0.678:parliaments,0.700:kbas,0.692:practised,0.701:submit,0.694:electricity,0.694:unplanned,0.588:schemes
15,0.624:died,0.655:murder,0.660:freight,0.599:voices,0.614:pact,0.632:sectoral,0.721:classroom,0.681:halt,0.681:producers,0.674:vigorous,0.700:fishing,0.692:premises,0.691:revised,0.691:geothermal,0.691:spaces,0.585:vulnerability
16,0.617:suicide,0.654:bribery,0.658:industrys,0.599:transferring,0.612:young,0.631:transnational,0.720:scholarships,0.678:wildlife,0.681:agricultural,0.671:empowerment,0.698:shore,0.677:management,0.687:staggering,0.690:kerosene,0.690:slum,0.585:vulnerable
17,0.616:exponentially,0.653:journalists,0.657:industries,0.598:remitted,0.609:stands,0.631:frozen,0.719:worldwidea,0.675:eartha,0.675:yearsa,0.671:houses,0.698:decembera,0.668:jmp,0.686:communicate,0.690:came,0.687:uncollected,0.582:dimensions
18,0.615:tobacco,0.648:torture,0.650:automotive,0.597:exports,0.605:occupational,0.630:drinkable,0.714:groupa,0.673:grave,0.661:nutritious,0.669:perpetrated,0.698:increasedfrom,0.659:withdrawal,0.686:mobilized,0.684:dipping,0.684:served,0.580:definitions
19,0.612:aids,0.646:discipline,0.647:moved,0.595:exported,0.602:disbursed,0.624:ozone,0.713:illiterate,0.667:flood,0.655:farm,0.666:attitudes,0.697:shorewere,0.659:operational,0.684:contributions,0.683:renewables,0.669:blocks,0.576:disaster
20,0.608:malaria,0.644:feel,0.643:networks,0.594:race,0.599:envisioned,0.623:rotterdam,0.709:subsaharan,0.666:conservation,0.652:donorsa,0.665:leadership,0.696:sampling,0.657:balancing,0.676:ipcc,0.677:energies,0.668:fine,0.572:mitigated
21,0.601:pregnancy,0.638:institutions,0.643:unequally,0.592:monetary,0.599:branches,0.621:deplete,0.706:developmentally,0.665:assault,0.642:agriculturea,0.664:female,0.692:nautical,0.647:menstruation,0.672:approval,0.677:sun,0.666:sewage,0.566:living
