,"0.45*SDG7,0.28*SDG11,0.27*SDG12",1.00*SDG3,1.00*SDG14,1.00*SDG4,1.00*SDG8,1.00*SDG5,1.00*SDG16,1.00*SDG15,1.00*SDG13,1.00*SDG6,1.00*SDG9,1.00*SDG2,1.00*SDG11,1.00*SDG10,1.00*SDG12,1.00*SDG1,1.00*SDG7
0,0.761:paper,0.909:dying,0.865:overfishing,0.903:secondary,0.778:engaged,0.914:marriage,0.844:punishment,0.909:terrestrial,0.857:climate,0.873:safely,0.902:added,0.844:stunting,0.908:slum,0.818:race,0.815:environmentally,0.837:missing,0.871:renewable
1,0.751:approach,0.873:communicable,0.855:acidification,0.888:proficiency,0.766:machine,0.858:genital,0.821:rule,0.866:thwart,0.834:completed,0.858:defecation,0.876:manufacturing,0.804:undernutrition,0.881:urban,0.804:sending,0.815:rotterdam,0.806:exacerbated,0.848:hydropower
2,0.751:discus,0.862:malaria,0.837:destructive,0.879:reading,0.727:banking,0.851:married,0.817:aggression,0.853:forest,0.822:iteration,0.849:sanitation,0.843:broadband,0.788:restraining,0.850:urbanization,0.784:exported,0.806:basel,0.791:escape,0.826:cooking
3,0.735:evaluation,0.858:mortality,0.835:coastal,0.850:school,0.720:unemployment,0.850:marrying,0.815:underreporting,0.847:poaching,0.819:submitted,0.832:drinking,0.840:tech,0.783:insecurity,0.834:breathing,0.760:benefitted,0.773:pollutant,0.775:entrenched,0.790:electricity
4,0.719:analysis,0.840:disease,0.833:marine,0.848:learning,0.716:worker,0.844:girl,0.813:violation,0.846:specie,0.799:mobilizing,0.797:soap,0.824:researcher,0.781:hunger,0.802:city,0.747:religion,0.742:kpmg,0.766:extreme,0.775:geothermal
5,0.718:policy,0.817:diabetes,0.830:fish,0.837:completion,0.697:employment,0.830:mutilation,0.807:torture,0.835:curtail,0.792:successive,0.787:wastewater,0.801:dominate,0.776:round,0.795:settlement,0.743:duty,0.733:organic,0.749:nowcast,0.774:polluting
6,0.711:explores,0.816:infectious,0.825:ocean,0.834:mathematics,0.696:labour,0.823:woman,0.807:discipline,0.822:red,0.779:secretariat,0.786:toilet,0.760:cellular,0.772:overweight,0.779:unplanned,0.719:tariff,0.729:footprint,0.735:decelerating,0.774:electrification
7,0.711:examines,0.813:era,0.821:anthropogenic,0.826:enrolment,0.693:employed,0.818:chore,0.790:childrens,0.820:mountain,0.778:meteorological,0.784:practise,0.757:kilogram,0.771:undernourished,0.776:sprawl,0.716:receipt,0.719:material,0.734:foot,0.760:solar
8,0.705:chapter,0.811:skilled,0.807:mile,0.803:developmentally,0.686:teller,0.810:position,0.783:disturbing,0.818:grassland,0.774:nationally,0.753:latrine,0.757:inhabitant,0.767:allocable,0.758:space,0.716:soundness,0.714:metric,0.711:poverty,0.754:wind
9,0.704:strategic,0.811:tuberculosis,0.806:acidity,0.802:education,0.684:unemployed,0.802:unpaid,0.777:psychological,0.817:biodiversity,0.759:mitigation,0.752:hygiene,0.739:technologically,0.766:wasting,0.745:ingenuity,0.704:irrespective,0.714:retail,0.679:struggling,0.750:came
10,0.696:effectiveness,0.808:prevented,0.791:precious,0.793:numeracy,0.669:adult,0.799:partnered,0.776:unsettling,0.811:hectare,0.749:celsius,0.750:lacked,0.732:gdp,0.763:nutritional,0.743:distance,0.693:orderly,0.709:scp,0.636:deceleration,0.744:clean
11,0.690:highlight,0.805:hepatitis,0.787:oxygen,0.788:literacy,0.666:fatal,0.797:patriarchal,0.775:detention,0.807:facet,0.749:centigrade,0.737:water,0.726:slowdown,0.759:prolonged,0.736:particulate,0.682:origin,0.708:mineral,0.632:mobilization,0.731:energy
