,"0.67*SDG16,0.33*SDG10",1.00*SDG3,"0.84*SDG13,0.16*SDG1","0.57*SDG8,0.43*SDG1",1.00*SDG5,"0.87*SDG9,0.13*SDG8",1.00*SDG2,1.00*SDG15,1.00*SDG4,1.00*SDG11,1.00*SDG14,1.00*SDG7,1.00*SDG6,1.00*SDG12
0,0.890:institution,0.918:death,0.911:completed,0.867:unemployment,0.909:married,0.908:manufacturing,0.890:nutritious,0.945:terrestrial,0.932:secondary,0.927:city,0.938:acidification,0.914:cooking,0.900:safely,0.904:footprint
1,0.881:rule,0.915:mortality,0.903:submitted,0.850:working,0.904:leadership,0.903:broadband,0.886:hunger,0.931:deforestation,0.925:learning,0.926:slum,0.921:overfishing,0.908:solar,0.899:user,0.884:mineral
2,0.869:justice,0.910:dying,0.901:climate,0.836:employed,0.899:marriage,0.873:kilogram,0.884:wasting,0.924:preserving,0.922:school,0.905:urbanization,0.919:fish,0.906:renewable,0.898:defecation,0.880:metallic
3,0.859:unionist,0.901:preventable,0.890:greenhouse,0.816:earnings,0.886:mutilation,0.873:added,0.882:allocable,0.918:curtail,0.906:proficiency,0.888:housing,0.918:marine,0.900:wind,0.884:water,0.879:metric
4,0.846:registration,0.901:neonatal,0.886:secretariat,0.815:hourly,0.885:position,0.867:tech,0.869:ministerial,0.916:poaching,0.904:classroom,0.884:urban,0.915:precious,0.894:electricity,0.875:balancing,0.874:basel
5,0.845:enforced,0.899:neglected,0.883:warming,0.815:difference,0.879:marrying,0.847:industry,0.866:malnutrition,0.909:thwart,0.904:adjusted,0.856:breathing,0.914:stock,0.891:came,0.875:wastewater,0.873:rotterdam
6,0.839:independent,0.894:disease,0.878:iteration,0.807:unemployed,0.871:norm,0.845:dominate,0.862:food,0.907:threatened,0.903:mathematics,0.844:unplanned,0.903:jurisdiction,0.884:hydropower,0.872:competing,0.855:construction
7,0.831:freedom,0.886:tuberculosis,0.877:mitigation,0.775:impoverished,0.870:genital,0.831:industrialized,0.856:restraining,0.906:list,0.903:scholarship,0.837:boundary,0.902:mile,0.880:power,0.852:practise,0.855:toxic
8,0.826:disappearance,0.883:tropical,0.872:centigrade,0.774:decelerating,0.866:parliament,0.821:researcher,0.854:overweight,0.904:desertification,0.900:education,0.833:dweller,0.899:nautical,0.877:energy,0.851:drinking,0.851:transformation
9,0.823:fear,0.879:maternal,0.869:planetary,0.770:pervasive,0.860:woman,0.820:inhabitant,0.850:round,0.902:specie,0.897:reading,0.828:space,0.899:acidity,0.869:clean,0.851:sanitation,0.850:material
10,0.818:journalist,0.877:infectious,0.863:adaptation,0.755:prime,0.858:gender,0.819:transborder,0.844:stunting,0.899:forest,0.893:equity,0.827:convenient,0.899:biologically,0.848:ambition,0.837:soap,0.846:extraction
11,0.815:feel,0.875:died,0.863:change,0.754:engaged,0.856:empowerment,0.816:cellular,0.839:agricultural,0.898:degraded,0.890:enrolment,0.824:distance,0.898:ultimately,0.845:reveals,0.834:operational,0.824:pollutant
