,nTopics,nTopWords,multigram,excludedSDGs,OverallScore
0,15,25,"(1, 1)","[10, 16]",48.81516588
1,15,25,"(1, 2)","[16, 17]",50
2,15,25,"(1, 3)","[16, 17]",51.38888889
3,17,25,"(1, 1)",[17],45.57522124
4,17,25,"(1, 2)",[],47.4137931
5,17,25,"(1, 3)",[17],45.57522124
6,19,25,"(1, 1)",[],40.94827586
7,19,25,"(1, 2)",[17],50
8,19,25,"(1, 3)",[17],44.69026549
9,21,25,"(1, 1)",[],42.67241379
10,21,25,"(1, 2)",[],45.68965517
11,21,25,"(1, 3)",[],46.12068966
12,23,25,"(1, 1)",[],41.37931034
13,23,25,"(1, 2)",[],43.96551724
14,23,25,"(1, 3)",[],44.82758621
