,texts,track
0,"b'Kopi Luwak coffee is the rarest and the most expensive type of coffee in the world, and is processed from feces of the Asian Palm Civet (Paradoxurus hermaphroditus). As the coffee berries are digested, bitter components of the coffee bean are broken down. Later, the beans are cleaned, roasted, and brewed to make the Kopi Luwak coffee. The problem with the procedure today is that farming industries keeps tens of thousands of civets living in battery cages, and force-feeds them only coffee berries. As a result of the treatment, the Asian Palm Civet population is declining. We propose to make this process humane, efficient, and sanitary by instead using bacteria to produce the coffee. We will accomplish this by genetically engineering E. coli with genes for various digestive enzymes, thus simulating the digestive process of the civets with coffee berries so we can finally save the Asian Palm Civets.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
1,"b'The Arizona State iGEM team aims to produce biodiesel in a new and efficient way using Escherichia coli. Using a wax esterase, fatty acids and ethanol, both naturally produced by E. coli, can be combined to form biodiesel. However, E. coli uses the same intermediate products to produce both fatty acids and ethanol, which reduces the efficiency of this process. This problem can be avoided by engineering two different strains of E. coli to work in tandem. One strain will be engineered to produce free fatty acids (FFA) through expression of enzymes including as TesA and acc. The other strain will be engineered to produce ethanol through expression of enzymes including pdc and adhB. These two products will be combined in one of the two cells using a waxy esterase, producing the final biodiesel product. Cooperative production will hopefully produce more ethanol than current single strain methods using E. coli.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
2,"b'The supply with electricity is facing three major problems: the storage of electricity, the increasing amount of atmospheric carbon dioxide and the development of alternative energy sources. Therefore we want to implement a proof of concept for the production of the biofuel isobutanol from carbon dioxide. A bacterial microcompartment originated from cyanobacteria, called carboxysome, is used to realize the fixation of carbon dioxide in Escherichia coli. Within this microcompartment the carbon dioxide fixation is enabled under aerobic conditions. The needed energy for this process is provided by electricity. The electrons are transferred with a mediator into the cells and its uptake is empowered by different modifications of E. coli, like over-expression of the fumarate reductase. This concept is realized in a self-constructed bioreactor. Finally the production of isobutanol is established by hetereologous expression of various enzymes from different species.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
3,"b'Humans rely on carbon resources for nutrition and energy. Biofuels derived from corn-based ethanol and the microbial degradation of cellulose are not fully sustainable, due to the competition of food supply and expense of input energy. Cyanbacteria are bacteria with similar features as microalge in the sense that they are known to fix carbon dioxide into alkanes through the collective processes of photosynthesis, glycolysis, and fatty acid biosynthesis. The CAPS iGEM Team 2014 continues metabolic engineering of these pathways by expressing yeast-derived pyruvate kinase, known to be a key regulator of glycolysis, within the cyanobacteria Synechocystis PCC 6803 in an effort to increase alkane production. Assays for the production of pyruvate, fatty acids, and alkanes will be used to characterize our system. In addition, we will be determining various environmental conditions that increase the effectiveness of alkane production such as CO2 and O2 limitation.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
4,"b'Our project aims to use synthetic biology to develop a V. cholerae sensor using a new technique. Instead of trying to detect the cholerae toxin, specific sequences of nucleic acid, or antigens, we propose detecting V. cholerae Autoinducer 1 (CAI-1), the bacterias species-specific quorum sensing molecule. If we rewire V. choleraes own quorum sensing mechanism used in nature to gauge population levels and regulate pathogenicity in a harmless E. coli chassis, we can build a cheap and easy-to-use biosensor that gives a color output when it senses the pathogen. This prototype can serve as a proof-of-concept for future quorum sensing-based pathogen biosensors.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
5,"b'Were seeking to create microbial fuel cells to experiment with genetic engineering and produce a clean source of energy and water. In order to fashion a more effective microbial fuel cell, we need to monitor the viability of bacteria within the fuel cell. Microbial fuel cells produce electricity and water when metal-breathing bacteria respire via an anode placed within an anaerobic compartment of the fuel cell. In order to monitor the health of these power-generating anaerobes, we designed an operon that will cause the microbes to fluoresce when growing in the oxygen-depleted anode chamber. Our operon consists of an oxygen-sensitive promoter, which activates gene expression in the absence of oxygen, and an open reading frame, which encodes a protein that fluoresces without the need for oxygen. This simple reporter system will allow us to determine when anaerobic conditions inside the fuel cell are optimal for bacteria growth and power generation.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
6,"b'Photosynthesis is a key biological pathway that uses the energy from sunlight to convert water and carbon dioxide into ATP, glucose and oxygen. Chlorophyll is a green pigment that facilitates energy production in photosynthetic organisms. Our goal is to engineer 13 genes of the chlorophyll biosynthetic pathway (CBP) from Chlamydomonas reinhardtii to be expressed in E. coli. Although the CBP has been well characterised by biologists there has been no success in reproducing the process in a non-photosynthetic host. Successful production of chlorophyll in a bacterial host is the first step towards the synthetic construction of Photosystem II leading to industrial production of Hydrogen gas for energy production.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
7,"b'Obesity is a growing problem in todays society. Our project aims to engineer a novel treatment for obesity. By modifying the natural CRP pathway, we will turn the commensal bacterium Escherichia E.coli Nissle 1917 into a sugar sponge that will absorb excess carbohydrates before they can be taken up in the human intestines. Our engineered bacteria is aimed at obese people who have tried other approaches to weight loss, but have failed to see any results. Other uses could include patients who need to lose weight before surgery. The bacteria would be delivered in the form of a pill or yogurt drink. Our project will include an in-depth sociological analysis of modern attitudes to obesity based on research and data collected from surveys, exploring public opinion regarding body weight as well as synthetic biology and genetic modification. We have used the results to direct our engineering strategies.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
8,"b' Microbial enhanced oil recovery (MEOR) is a popular method that relies on microorganisms and their metabolic products to mobilize residual oil. Rhamnolipid, a widely-used biosurfactant produced by Pseudomonas aeruginosa under aerobic conditions, is helpful in reducing oil-water interfacial tension, which makes it easier to remove oil. However, because of the anaerobic environment in oil reservoirs, rhamnolipid has to be produced ex situ, and then injected into the oil reservoirs. Our project is to build a bacterial strain that is able to utilize oil as its carbon resource as well as producing rhamnolipid in anaerobic environment. We start with a Pseudomonas stutzeri strain that lives in the oil reservoirs, clone and make it express the rhamnosyltransferase operon genes rhlABRI from Pseudomonas aeruginosa so that it can produce and excrete rhamnolipid into the oil constantly. With all the strengths enhancing the oil recovery, we name our engineered bacterium ""Super Petroleum Magician"".'","['Food & Energy', 'Food & Nutrition', 'Energy']"
9,"b'Fatty acid(FFA) plays an essential role in many aspects of modern society, such as food industry, rubber industry, fuel, etc. Relied on animal grease or plant oil currently, the FFA production, however, is highly restricted by seasonal, regional factors and the expensive manufacturing cost. Therefore, we strive to transform E.coli into a biological factory that produces more FFAs of different length of carbon chain and saturation levels in both an efficient and a controlled manner. To achieve that, we will introduce FFA desaturase and various thioesterase, key enzymes for unsaturated FFA production and FFA synthesis respectively, and different operon structure into the engineering E.coli. Also, we design a fluorescence system composed of Transcriptional Regulatory Protein FadR to monitor the FFA producing status in E.coli. In this case, we can produce different FFAs by applying different signals to operons in E.coli and detect the real time production status by fluorescence report.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
