,Topic # 01,Topic # 02,Topic # 03,Topic # 04,Topic # 05,Topic # 06,Topic # 07,Topic # 08,Topic # 09,Topic # 10,Topic # 11,Topic # 12,Topic # 13,Topic # 14,Topic # 15,Topic # 16,Topic # 17
0,cent,energy,marine,electricity,woman,health,water,education,climate,forest,city,country,material,food,manufacturing,institution,poverty
1,country,renewable,ocean,energy,girl,disease,sanitation,school,change,biodiversity,urban,developing,consumption,hunger,added,violence,extreme
2,region,technology,coastal,access,gender,death,drinking,primary,party,land,slum,development,production,agricultural,value,right,social
3,rate,clean,fishery,fuel,equality,mortality,safely,child,adaptation,specie,population,developed,footprint,agriculture,infrastructure,victim,protection
4,billion,consumption,sea,people,marriage,birth,management,secondary,disaster,area,air,sustainable,caput,million,industry,justice,living
5,growth,intensity,fishing,cooking,violence,maternal,facility,teacher,paris,ecosystem,disaster,partnership,sustainable,malnutrition,employment,child,disaster
6,data,efficiency,pollution,clean,sexual,million,people,learning,determined,loss,urbanization,including,waste,undernourished,gdp,law,poor
7,developed,modern,acidification,billion,female,people,managed,proficiency,action,wildlife,housing,policy,convention,people,mobile,trafficking,day
8,average,fuel,ecosystem,need,work,child,scarcity,reading,contribution,terrestrial,waste,technology,ton,child,country,form,economic
9,labour,improvement,resource,business,genital,hiv,wastewater,quality,country,mountain,public,support,domestic,market,innovation,proportion,people
10,oda,share,fish,renewable,mutilation,communicable,stress,skill,agreement,degradation,transport,enhance,hazardous,price,cent,human,live
11,income,reliable,eutrophication,coal,practice,age,defecation,minimum,nationally,conservation,space,export,resource,production,developed,homicide,vulnerable
12,real,final,overfishing,sustainable,married,malaria,access,mathematics,convention,desertification,living,south,party,wasting,economic,sexual,child
13,total,cent,biodiversity,goal,age,live,service,sub,april,protected,safe,capacity,company,genetic,global,public,inequality
14,compared,infrastructure,sustainable,improve,empowerment,vaccine,basic,saharan,emission,animal,people,state,natural,producer,emission,birth,world
