,SDG1 : 0 - No poverty,SDG2 : 0 - Zero hunger,SDG3 : 0 - Good health and well being,SDG4 : 0 - Quality education,SDG5 : 0 - Gender equality,SDG6 : 0 - Clean water and sanitation,SDG7 : 0 - Affordable and clean energy,SDG8 : 0 - Decent work and economic growth,"SDG9 : 0 - Industry, innovation and infrastructure",SDG10 : 0 - Reduced inequalities,SDG11 : 0 - Sustainable cities and communities,SDG12 : 0 - Responsible consumption and production,SDG13 : 0 - Climate action,SDG14 : 0 - Life below water,SDG15 : 0 - Life on land,"SDG16 : 0 - Peace, justice and strong institutions",SDG17:xx - Partnership for the goals
0,poverty,food,disease,education,woman,water,energy,labour,manufacturing,country,urban,material,climate,ocean,forest,right,0
1,extreme,hunger,death,school,girl,sanitation,renewable,growth,added,developing,city,consumption,change,marine,biodiversity,institution,0
2,social,agriculture,health,primary,gender,drinking,electricity,rate,value,developed,slum,footprint,adaptation,coastal,land,victim,0
3,protection,agricultural,mortality,child,marriage,safely,clean,employment,industry,development,population,production,contribution,fishery,specie,child,0
4,disaster,malnutrition,maternal,secondary,equality,management,fuel,unemployment,gdp,export,air,convention,nationally,acidification,area,violence,0
5,living,child,hiv,learning,violence,facility,access,adult,infrastructure,income,waste,resource,disaster,ecosystem,loss,country,0
6,poor,breed,rate,reading,sexual,basic,cooking,productivity,country,duty,public,sustainable,agreement,fish,wildlife,justice,0
7,benefit,wasting,communicable,proficiency,married,transboundary,technology,youth,employment,tariff,transport,waste,country,fishing,terrestrial,human,0
8,world,undernourished,child,teacher,work,service,efficiency,worker,global,inequality,space,metric,paris,eutrophication,ecosystem,trafficking,0
9,worker,subsidy,malaria,mathematics,female,wastewater,consumption,financial,developed,national,urbanization,company,action,stock,mountain,law,0
10,vulnerable,insecurity,tuberculosis,quality,legal,scarcity,modern,gdp,mobile,partnership,housing,domestic,convention,sea,protected,detected,0
11,population,price,live,saharan,mutilation,freshwater,improvement,young,emission,flow,solid,hazardous,framework,sustainable,conservation,homicide,0
12,economic,producer,incidence,sub,genital,defecation,global,annual,network,assistance,pollution,natural,national,pollution,extinction,sexual,0
13,income,export,vaccine,africa,country,resource,wind,informal,developing,free,living,policy,emission,resource,degradation,public,0
14,pension,aid,adolescent,skill,unpaid,asia,reliable,men,carbon,statistical,sprawl,pollutant,gas,overfishing,desertification,information,0
15,lived,overweight,reproductive,trained,practice,integrated,affordable,global,research,international,resident,chemical,greenhouse,protected,hectare,proportion,0
16,live,market,infection,basic,partner,country,solar,pay,economic,registration,disaster,practice,plan,area,freshwater,punishment,0
17,loss,genetic,care,adolescent,men,access,progress,working,transport,policy,world,developing,reduction,level,genetic,national,0
18,reduction,production,infectious,literacy,right,supply,power,economic,europe,statistic,convenient,rotterdam,record,biologically,poaching,killed,0
19,disability,stunting,globally,level,parliament,hygiene,polluting,job,dioxide,island,safe,basel,mitigation,biodiversity,sharing,psychological,0
20,risk,stunted,sub,scholarship,intimate,sector,absolute,region,america,region,settlement,sustainability,united,jurisdiction,resource,aggression,0
21,reduce,fell,africa,country,care,open,sustainable,work,innovation,state,dweller,pattern,global,water,covered,access,0
22,family,government,saharan,worldwide,empowerment,improved,electrification,grew,cellular,product,proportion,fossil,strategy,scale,degraded,freedom,0
23,child,investment,hepatitis,development,aged,lack,population,decent,reached,including,area,mineral,fund,acidity,list,available,0
24,maternity,world,new,enrolment,discrimination,lacked,increase,trade,development,support,land,metallic,green,conserve,red,crime,0
