,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13
0,developing countries,poverty reduction,neonatal mortality,trafficking victims,primary education,biodiversity loss,agriculture,gender equality,marine ecosystems,sanitation management,urbanization,climate change,renewable energy,sustainable use
1,economic development,income countries,preventable diseases,human trafficking,schooling,biodiversity,resilient agricultural,gender inequality,fisheries,sanitation,urban populations,climate finance,energy efficiency,sustainable consumption
2,global economy,developing countries,maternal mortality,human rights,education,key biodiversity,agricultural sector,gender pay,marine pollution,sanitation services,rapid urbanization,global warming,energy consumption,sustainability
3,economic growth,extreme poverty,mortality rates,international law,secondary education,conservation efforts,agricultures,reproductive health,marine environment,sanitation facilities,urban population,climate related,modern renewable,sustainable
4,gdp,ending poverty,mortality rate,trafficking,primary schools,deforestation,agricultural,sexual violence,coastal ecosystems,improved sanitation,urban sprawl,climate,renewables,sustainable development
5,income countries,poverty,premature mortality,detainees,developing countries,reforestation,agricultural productivity,sexual exploitation,ocean acidification,water scarcity,urban areas,sustainable development,sustainable use,waste generation
6,global unemployment,economic development,mortality,rights institutions,quality education,ecosystem,nutrition,gender,coastal eutrophication,basic sanitation,urbanized,greenhouse gas,clean energy,material consumption
7,developed countries,poverty line,reproductive health,developing countries,literacy,forest management,malnutrition,inclusive societies,fishery,water resources,human settlements,environmental impact,sustainable consumption,environmental impact
8,economies,disadvantaged,premature deaths,crimes,educational,ecological,crops,females,marine resources,water sector,environmental degradation,developing countries,renewable,environmental degradation
9,labour productivity,per capita,malaria control,prison population,poverty reduction,land degradation,food production,female genital,oceans seas,wastewater,sanitation facilities,green climate,sustainable,environmentally
10,growth rates,social protection,maternal deaths,inclusive societies,school age,conservation,food security,discriminatory laws,marine fish,integrated water,sustainable development,greenhouse gases,sustainable development,consumption
11,real gdp,livelihoods,infectious diseases,african countries,primary school,wildlife,food insecurity,discriminated,fisheries subsidies,irrigation,unplanned urban,sustainability,sustainability,hazardous wastes
12,growth rate,global unemployment,universal health,violence against,schools,ecosystems,agriculturea,gender sensitive,coastal waters,sustainable use,improved sanitation,national policies,modern energy,biologically sustainable
13,product gdp,developed countries,diseases,rights violations,learning outcomes,natural resource,agricultural products,equal rights,oceans,environmental degradation,urban dwellers,global temperature,clean fuels,pollution
14,economy,low income,covid pandemic,safeguarding,disadvantaged,forestry,undernutrition,human rights,unregulated fishing,hydrological,urban residents,conservation efforts,emissions,recycling
15,economically,global economy,health care,discriminated,teacher training,natural resources,hunger,patriarchal,ecosystem,handwashing facilities,sanitation management,disaster risk,global economy,emissions
16,labour market,sustainable development,malaria,crime,trained teachers,natural habitats,dietary,womena,seawater,desalination,environmental impact,warming,energy,natural resource
17,industrializing,welfare,under mortality,detention,development assistance,forests wetlands,poverty reduction,poverty reduction,fish stocks,sustainable development,sanitation,sustainable,resource efficiency,polluting
18,sustainable development,livelihood,health,sexual violence,schoolchildren,vegetation,agricultural markets,young women,aquaculture,drinking water,waste generation,national adaptation,waste generation,waste generated
19,economic,gdp,hiv,refugees,poverty,wildlife products,end hunger,child marriage,freshwater ecosystems,fresh water,pollution,policy frameworks,consumption,global economy
20,per capita,resilient agricultural,healthcare,sexual exploitation,early childhood,biologically sustainable,developing countries,discrimination against,overfishing,waste generation,sustainable use,environmental degradation,greenhouse gas,natural resources
21,agricultural productivity,income inequality,communicable diseases,discriminatory laws,inclusive societies,extinction,farmers,discriminatory,ecological,developing countries,public transport,sustainable use,environmental impact,renewables
22,developed country,development assistance,illnesses,unrest,extreme poverty,forests,ending poverty,child labour,oceanographic,freshwater,local governments,paris agreement,developing countries,environmental
23,industrialized,economically,hiv aids,governance,ending poverty,mountain ecosystems,nutritional,women,biodiversity loss,freshwater ecosystems,land degradation,mitigation,fossil fuels,eco
24,globalization,african countries,developing countries,individual rights,learners,environmental impact,agricultural export,womens,environmental impact,sustainability,sustainable,emissions,environmentally,conserve
25,developing regions,impoverished,aids,violence,teachers,forest loss,income countries,sexual relations,eutrophication,environmental impact,cities,conserve,efficiencies,energy consumption
26,direct economic,incomes,vaccinations,social protection,developing regions,environmental degradation,food producers,marriages,biologically sustainable,drought,scarcity,co emissions,fuels,sustainable tourism
