,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16
0,herzegovina,environmental externalities,income inequality,oecd averages,teacher appraisal,health system,tertiary education,untied oda,skills mismatches,poverty eradication,innovation sti,gender inequality,labour productivity,urban sprawl,groundwater management,private finance,overfishing
1,policy responses,environmentally,economic growth,oecd countries,school evaluation,health care,education system,oda gni,literacy skills,ending poverty,eco innovation,gender inequalities,labour market,urban residents,water governance,finance ministers,fishery
2,uninsured,ecological,earnings inequality,oecd,teacher education,health coverage,educational attainment,oda,literacy proficiency,deaths worldwide,innovation,gender gap,youth unemployment,rural urban,groundwater,financing,capture fisheries
3,following six,environmentally friendly,economists,oecd average,student assessment,healthcare,compulsory education,oda excluding,skill proficiency,per capita,innovations,gender mainstreaming,child labour,urban dwellers,water management,climate finance,unregulated fishing
4,describes how,environmental footprint,rising inequality,www oecd,pedagogy,universal health,tertiary educated,total oda,skills piaac,reduce poverty,innovating,gender parity,labour organization,urban,rainwater,blended finance,marine biodiversity
5,discusses how,renewables,wage inequality,oecd recommendation,literacy numeracy,health status,higher education,assistance oda,literacy numeracy,child poverty,www oecd,gender equality,labour,urbanization,wastewater,finance,iuu fishing
6,danube,environmental goods,income redistribution,chapter examines,literacy proficiency,health systems,better educated,bilateral oda,skills shortages,relative poverty,innovate,gender wage,labour force,urban planning,manage water,financing gap,bluefin
7,sendai framework,environmental considerations,rising inequalities,lays,educational attainment,health focussing,education,net oda,skill mismatches,billion people,digital divide,equal pay,labour markets,urban green,transboundary waters,funding,fisheries management
8,preceding,environmental sustainability,income households,oecd member,compulsory education,health check,teacher education,development assistance,numeracy skills,extreme poverty,periphery,gender gaps,forced labour,urbanisation,water supplies,financed,fisheries
9,indicator examines,clean energy,economist,agricultural sector,pedagogical knowledge,uninsured,literacy numeracy,oda disbursements,skills mismatch,developed countries,preceding,gender differences,unemployed,urban areas,water scarcity,finances,ocean acidification
10,groundwater management,environmentally sound,labour productivity,chapter discusses,education system,www oecd,oecd average,oda figures,skills imbalances,people died,nanotechnology,against women,female labour,unplanned urban,waters,infrastructure projects,coastal eutrophication
11,chapter describes,environmentally harmful,reduce poverty,latest oecd,teaching,oecd average,highly educated,sustainable development,numeracy proficiency,million deaths,above pre,egalitarian,employed workers,rapid urbanization,water supply,financing arrangements,marine ecosystems
12,mekong river,variable renewables,gdp per,economist,educators,hospital care,secondary education,underdeveloped,basic competencies,mortality rates,abstraction,female genital,unemployment rates,metropolitan area,water resources,financial flows,biodiversity considerations
