,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13
0,developing countries,renewable energy,urbanization,agriculture,global unemployment,neonatal mortality,primary education,gender equality,sanitation management,climate change,marine ecosystems,biodiversity loss,trafficking victims,sustainable use
1,poverty reduction,energy efficiency,urban populations,resilient agricultural,developing countries,maternal mortality,schooling,gender inequality,sanitation,global warming,marine pollution,key biodiversity,human trafficking,sustainable consumption
2,global economy,energy consumption,rapid urbanization,agricultural sector,youth employment,preventable diseases,education,gender gap,sanitation services,climate related,ocean acidification,biodiversity,human rights,sustainability
3,developed countries,modern renewable,urban population,agricultures,labour productivity,child health,secondary education,gender pay,sanitation facilities,climate,marine environment,conservation efforts,trafficking,sustainable
4,sustainable development,renewables,urban sprawl,agricultural,global economy,reproductive health,primary schools,reproductive health,improved sanitation,sustainable development,coastal ecosystems,deforestation,poverty eradication,sustainable development
5,gdp,sustainable use,urban areas,nutrition,gdp,premature mortality,developing countries,sexual violence,basic sanitation,environmental impact,coastal eutrophication,forest management,international law,waste generation
6,poverty eradication,sustainable consumption,urbanized,malnutrition,economic growth,mortality rates,quality education,sexual exploitation,water scarcity,greenhouse gas,fisheries,reforestation,violence against,material consumption
7,millennium development,clean energy,human settlements,crops,labour market,premature deaths,literacy,gender,water resources,green climate,marine resources,ecosystem,crimes,environmental impact
8,advanced economies,renewable,unplanned urban,agricultural productivity,real gdp,mortality rate,educational,inclusive societies,wastewater,greenhouse gases,oceans seas,land degradation,detainees,environmental degradation
9,economic growth,sustainable,environmental degradation,food security,child labourers,maternal deaths,poverty reduction,females,integrated water,developing countries,fishery,ecological,developing countries,environmentally
10,per capita,sustainability,urban dwellers,food production,child labour,mortality,school age,female genital,water supply,sustainability,marine fish,conservation,sexual violence,consumption
11,economically,sustainable development,urban residents,hunger,unemployment rate,malaria control,schools,discriminatory laws,sustainable use,global temperature,coastal waters,wildlife,prison population,biologically sustainable
12,extreme poverty,clean fuels,sanitation facilities,poverty eradication,growth rates,infectious diseases,primary school,equal rights,handwashing facilities,disaster risk,oceans,ecosystems,rights institutions,hazardous wastes
13,poverty,modern energy,improved sanitation,food insecurity,advanced economies,universal health,poverty eradication,gender sensitive,environmental degradation,warming,fisheries subsidies,forestry,inclusive societies,pollution
14,global unemployment,emissions,sustainable development,agriculturea,labour,health care,learning outcomes,discriminated,irrigation,global partnership,seawater,natural resource,accountability,emissions
15,ending poverty,energy,sanitation management,end hunger,productive employment,diseases,development assistance,human rights,waste generation,national policies,ecosystem,forests wetlands,violence,natural resource
16,developing regions,waste generation,environmental impact,undernutrition,economy,covid pandemic,schoolchildren,patriarchal,desalination,conservation efforts,eutrophication,natural resources,safeguarding,recycling
17,globalization,resource efficiency,sanitation,poverty reduction,millennium development,developing countries,teacher training,poverty reduction,fresh water,sustainable,aquaculture,vegetation,sexual exploitation,natural resources
18,economies,global economy,waste generation,agricultural products,employment,healthcare,trained teachers,poverty eradication,drinking water,environmental degradation,biodiversity loss,natural habitats,rights violations,polluting
19,developed country,consumption,pollution,dietary,economies,malaria,disadvantaged,womena,sustainable development,policymaking,biologically sustainable,forests,crime,global economy
20,product gdp,fossil fuels,poverty eradication,ending poverty,per capita,health,poverty,discrimination against,hydrological,policy frameworks,oceanographic,mountain ecosystems,african countries,waste generated
21,african countries,greenhouse gas,cities,developing countries,labour organization,under mortality,early childhood,discriminatory,sustainability,natural disasters,freshwater ecosystems,biologically sustainable,discriminated,renewables
22,real gdp,environmental impact,sustainable use,agricultural markets,informal employment,hiv,inclusive societies,child marriage,poverty eradication,sustainable use,ecological,forest loss,unrest,energy consumption
