,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15
0,developed country,ending poverty,labour productivity,renewable energy,wastewater,malnutrition,mortality rate,primary education,female genital,developed country,urban populations,climate change,ocean acidification,biodiversity loss,human trafficking,sustainable consumption
1,developed countries,poverty eradication,global unemployment,renewables,sanitation facilities,malnourished,preventable diseases,literacy,fgm,global economy,urban population,green climate,marine ecosystems,forests wetlands,internationally reported,environmentally
2,developing countries,extreme poverty,productive employment,clean energy,sanitation management,resilient agricultural,mortality rates,education,gender inequality,global unemployment,urban sprawl,global warming,coastal eutrophication,biodiversity,violence against,ecological
3,oda gni,poverty,child labour,energy consumption,sanitation services,agricultural export,maternal deaths,secondary education,equal rights,developed countries,urban residents,ipcc,coastal ecosystems,deforestation,unreported,sustainably
4,total oda,poverty reduction,agricultural productivity,energy efficiency,basic sanitation,agricultural products,neonatal mortality,primary school,gender equality,per capita,urban dwellers,anthropogenic,marine pollution,ecosystem,human rights,sustainable development
5,per capita,poverty line,worlda workers,fossil fuels,sanitation,ending hunger,people died,quality education,gender gap,developing countries,urbanization,global temperature,corals,endangered,prison population,per capita
6,oda disbursements,impoverished,economic growth,energy intensity,drinking water,end hunger,premature deaths,primary schools,women aged,product gdp,slum dwellers,greenhouse gases,marine environment,forests,sexual violence,sustainable use
7,least developed,poorest,labour organization,energy,desalination,agricultural productivity,mortality,illiterate,gender pay,gdp,slum,ecological,marine fish,forest loss,developed country,sustainably use
8,gini,malnutrition,unemployment rate,final energy,improved sanitation,poverty eradication,maternal mortality,educational,pay gap,labour productivity,unplanned urban,climate,oceans seas,ecological,trafficking victims,sustainable
9,bilateral oda,slums,poverty eradication,electricity,water scarcity,agricultural,malaria control,children under,patriarchal,industrialized,slums,climate related,reefs,key biodiversity,per capita,environmental impact
10,ldcs,working poor,migrant workers,without electricity,water supply,agriculture,deaths occurred,teaching,unreported,globalization,urban,environmental impact,freshwater ecosystems,ecosystems,poverty eradication,sustainability
11,development assistance,global unemployment,labour,renewable,water resources,food production,premature mortality,basic handwashing,human rights,billion people,million inhabitants,paris agreement,seawater,coastal ecosystems,developed countries,material consumption
12,oda,social protection,unemployed,geothermal,rainwater,ending poverty,under mortality,schooling,inclusive societies,textiles,rapid urbanization,warming,marine resources,wildlife,children under,environmental degradation
13,each country,population living,unreported,underserved,aquifers,agricultural sector,malaria,trained teachers,inequalities,industries,population living,environmentally,ecological,wetlands,people everywhere,biologically sustainable
