,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15
0,developed country,ending poverty,global unemployment,renewable energy,wastewater,climate change,malnutrition,mortality rate,primary education,female genital,global economy,urban populations,ocean acidification,biodiversity loss,human trafficking,sustainable consumption
1,developed countries,poverty eradication,labour productivity,renewables,sanitation facilities,green climate,malnourished,preventable diseases,literacy,fgm,global unemployment,urban population,marine ecosystems,forests wetlands,internationally reported,environmentally
2,developing countries,extreme poverty,productive employment,clean energy,sanitation management,global warming,resilient agricultural,mortality rates,education,gender inequality,developed country,urban sprawl,coastal eutrophication,biodiversity,violence against,ecological
3,oda gni,poverty,child labour,energy consumption,sanitation services,ipcc,agricultural export,maternal deaths,secondary education,equal rights,per capita,urban residents,coastal ecosystems,deforestation,unreported,sustainably
4,total oda,poverty reduction,agricultural productivity,energy efficiency,basic sanitation,anthropogenic,agricultural products,neonatal mortality,primary school,gender equality,developed countries,urban dwellers,marine pollution,ecosystem,human rights,sustainable development
5,per capita,poverty line,worlda workers,fossil fuels,sanitation,global temperature,ending hunger,people died,quality education,gender gap,product gdp,urbanization,corals,endangered,prison population,per capita
6,oda disbursements,impoverished,economic growth,energy intensity,drinking water,greenhouse gases,end hunger,premature deaths,primary schools,women aged,developing countries,slum dwellers,marine environment,forests,sexual violence,sustainable use
7,least developed,poorest,labour organization,energy,desalination,ecological,agricultural productivity,mortality,illiterate,gender pay,industries,slum,marine fish,forest loss,developed country,sustainably use
8,ldcs,working poor,poverty eradication,final energy,improved sanitation,climate,poverty eradication,maternal mortality,educational,pay gap,manufacturing,unplanned urban,oceans seas,ecological,trafficking victims,sustainable
9,bilateral oda,malnutrition,unemployment rate,electricity,water scarcity,climate related,agricultural,malaria control,children under,patriarchal,labour productivity,slums,reefs,key biodiversity,per capita,environmental impact
10,development assistance,slums,migrant workers,without electricity,water supply,environmental impact,agriculture,deaths occurred,teaching,unreported,manufacturing value,urban,freshwater ecosystems,ecosystems,poverty eradication,sustainability
11,gini,global unemployment,unemployed,renewable,water resources,paris agreement,food production,premature mortality,basic handwashing,human rights,globalization,million inhabitants,seawater,coastal ecosystems,developed countries,material consumption
12,oda,social protection,gini,geothermal,rainwater,warming,ending poverty,under mortality,schooling,inclusive societies,billion people,rapid urbanization,marine resources,wildlife,children under,environmental degradation
13,each country,income inequality,ending poverty,underserved,aquifers,environmentally,agricultural sector,malaria,trained teachers,inequalities,industrialized,population living,ecological,wetlands,people everywhere,biologically sustainable
14,assistance oda,population living,global economy,fossil fuel,potable,inaction,zero hunger,preventable,developed country,reduce inequalities,textiles,urban areas,acidification,extinction,illegal unreported,environmentally sound
15,landlocked developing,disadvantaged,unreported,modern energy,transboundary waters,polluting,agricultural markets,communicable diseases,secondary school,non discriminatory,gdp,population using,overfishing,combat desertification,all levels,polluting
16,net oda,gini,labour,hydropower,water borne,greenhouse gas,undernourished,poverty eradication,schoolchildren,discrimination against,industrial revolution,per capita,coastal waters,illicit wildlife,victims detected,recycle
17,ending poverty,slum,labour market,environmentally,total oda,acidification,hunger,malaria cases,inclusion,inequality within,globally,poverty eradication,reef,desertification,each country,energy consumption
