,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16
0,enzyme activity,preventable diseases,trafficking victims,reduce poverty,global unemployment,urbanization,primary education,developing countries,agriculture,biodiversity loss,gender equality,marine ecosystems,water sanitation,climate change,renewable energy,sustainable use,developing countries
1,biochemical,mortality rates,human trafficking,poverty reduction,economic development,urban populations,schooling,economic infrastructure,resilient agricultural,biodiversity,gender inequality,fisheries,sanitation management,climate finance,energy efficiency,sustainable consumption,income countries
2,phosphoglyceric acid,mortality rate,human rights,extreme poverty,developing countries,rapid urbanization,education,economic development,agricultural sector,key biodiversity,gender pay,marine pollution,managed sanitation,global warming,energy consumption,sustainability,economic development
3,enzymes,neonatal mortality,international law,ending poverty,income countries,urban population,secondary education,global economy,agricultures,conservation efforts,reproductive health,marine biodiversity,sanitation,climate related,modern renewable,sustainable,developed countries
4,amino acid,premature mortality,trafficking,poverty,global economy,urban sprawl,primary schools,economic growth,agricultural,deforestation,inclusive societies,marine environment,sanitation services,climate,renewables,sustainable development,global economy
5,enzyme,maternal mortality,detainees,poverty line,youth employment,urban areas,developing countries,developed countries,agricultural productivity,reforestation,sexual exploitation,coastal ecosystems,sanitation facilities,sustainable development,sustainable use,waste generation,remittances
6,amino acids,mortality,rights institutions,disadvantaged,gdp,human settlements,quality education,economies,nutrition,ecosystem,sexual violence,ocean acidification,improved sanitation,global carbon,clean energy,material consumption,gdp
7,dehydrogenase,health coverage,developing countries,developing countries,labour market,unplanned urban,literacy,gdp,malnutrition,forest management,gender,coastal eutrophication,water scarcity,greenhouse gas,sustainable consumption,reliable sustainable,poverty reduction
8,chromatography,public health,crimes,income countries,labour productivity,sustainable development,educational,product gdp,crops,ecological,females,marine resources,basic sanitation,environmental impact,renewable,environmental impact,remittance
9,cytochromes,child health,prison population,social protection,economic growth,sanitation facilities,poverty reduction,sustainable development,food production,land degradation,female genital,oceans seas,water resources,developing countries,sustainable,environmental degradation,tariff
