,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14
0,enzyme activity,preventable diseases,developing countries,poverty reduction,human trafficking,primary education,urbanization,agriculture,biodiversity loss,gender equality,marine ecosystems,water sanitation,climate change,renewable energy,sustainable use
1,biochemical,mortality rates,economic development,reduce poverty,trafficking victims,schooling,urban populations,resilient agricultural,biodiversity,gender inequality,fisheries,sanitation management,climate finance,energy efficiency,sustainable consumption
2,biochemistry,mortality rate,global economy,income countries,human rights,education,rapid urbanization,agricultural sector,key biodiversity,gender pay,marine pollution,managed sanitation,global warming,energy consumption,sustainability
3,phosphoglyceric acid,neonatal mortality,economic growth,developing countries,international law,secondary education,urban population,agricultures,conservation efforts,reproductive health,marine biodiversity,sanitation,climate related,modern renewable,sustainable
4,enzymes,premature mortality,gdp,extreme poverty,developing countries,primary schools,urban sprawl,agricultural,deforestation,sexual violence,marine environment,sanitation services,climate,renewables,sustainable development
5,amino acid,maternal mortality,income countries,ending poverty,trafficking,developing countries,urban areas,agricultural productivity,reforestation,sexual exploitation,coastal ecosystems,sanitation facilities,sustainable development,sustainable use,waste generation
6,pharmacological,mortality,global unemployment,poverty,rights institutions,quality education,urbanized,nutrition,ecosystem,gender,ocean acidification,improved sanitation,global carbon,clean energy,material consumption
7,enzyme,health coverage,developed countries,economic development,detainees,literacy,human settlements,malnutrition,forest management,inclusive societies,coastal eutrophication,water scarcity,greenhouse gas,sustainable consumption,reliable sustainable
8,amino acids,public health,economies,poverty line,crimes,educational,unplanned urban,crops,ecological,females,fishery,basic sanitation,environmental impact,renewable,environmental impact
9,aminoacylation,child health,labour productivity,disadvantaged,prison population,poverty reduction,sustainable development,food production,land degradation,female genital,marine resources,water resources,developing countries,sustainable,environmental degradation
10,dehydrogenase,premature deaths,economic infrastructure,per capita,inclusive societies,reduce poverty,sanitation facilities,food security,conservation,discriminatory laws,oceans seas,water sector,green climate,sustainable development,environmentally
11,phosphatase,universal health,growth rates,social protection,african countries,school age,environmental degradation,agriculturea,ecosystem services,discriminated,marine fish,wastewater,greenhouse gases,sustainability,consumption
12,proteinases,reproductive health,real gdp,livelihoods,violence against,primary school,improved sanitation,food insecurity,wildlife,gender sensitive,fisheries subsidies,integrated water,sustainability,modern energy,hazardous wastes
13,chromatography,health care,growth rate,global unemployment,rights violations,schools,urban dwellers,agricultural products,ecosystems,equal rights,coastal waters,water supply,national policies,clean fuels,biologically sustainable
14,cytochromes,health,product gdp,low income,countries landlocked,learning outcomes,urban residents,undernutrition,natural resource,human rights,oceans,irrigation,conservation efforts,reliable sustainable,pollution
15,ph values,health systems,economy,global economy,safeguarding,schoolchildren,sanitation management,dietary,forestry,patriarchal,unregulated fishing,sustainable use,disaster risk,emissions,recycling
16,adenylate cyclase,diseases,economically,developed countries,discriminated,disadvantaged,environmental impact,hunger,natural resources,womena,ecosystem,environmental degradation,warming,global economy,global carbon
17,metabolites,malaria control,labour market,welfare,detention,development assistance,sanitation,reduce poverty,natural habitats,sexes,seawater,water sources,sustainable,energy,emissions
18,metabolism,health services,industrializing,sustainable development,refugees,teacher training,waste generation,agricultural markets,forests wetlands,poverty reduction,fish stocks,hydrological,reliable sustainable,resource efficiency,natural resource
19,nadphcytochrome,maternal deaths,sustainable development,livelihood,crime,trained teachers,public transport,poverty reduction,vegetation,young women,ecosystem services,handwashing facilities,national adaptation,global carbon,polluting
20,pyruvate,covid pandemic,economic,gdp,sexual violence,early childhood,pollution,end hunger,wildlife products,child marriage,marine technology,desalination,policy frameworks,waste generation,waste generated
21,acidity,healthcare,global population,global population,governance,poverty,managed sanitation,developing countries,biologically sustainable,discrimination against,aquaculture,sustainable development,environmental degradation,consumption,global economy
22,biosynthesis,infectious diseases,per capita,resilient agricultural,unrest,inclusive societies,sustainable use,farmers,extinctions,discriminatory,freshwater ecosystems,drinking water,sustainable use,greenhouse gas,natural resources
23,proteinase,under mortality,agricultural productivity,income inequality,sexual exploitation,extreme poverty,local governments,ending poverty,extinction,child labour,overfishing,fresh water,paris agreement,environmental impact,renewables
24,peptides,illnesses,developed country,development assistance,discriminatory laws,ending poverty,sustainable,nutritional,forests,women,ecological,waste generation,mitigation,developing countries,environmental
25,metabolic,healthy lives,industrialized,economically,individual rights,learners,cities,agricultural export,mountain ecosystems,national legislation,oceanographic,developing countries,emissions,fossil fuels,eco
26,cytochrome,communicable diseases,globalization,african countries,social protection,teachers,land degradation,income countries,environmental impact,womens,biodiversity loss,freshwater,conserve,environmentally,conserve
27,glutamate,essential health,developing regions,impoverished,internationally reported,developing regions,scarcity,livestock,forest loss,sexual relations,environmental impact,freshwater ecosystems,co emissions,efficiencies,energy consumption
28,acids,developing countries,direct economic,incomes,governments,development goals,sustainability,food producers,environmental degradation,marriages,eutrophication,sustainability,natural disasters,fuels,sustainable tourism
29,atp,prevention,productive employment,inclusive societies,violence,economic development,urban,livelihoods,endangered,discrimination,biologically sustainable,environmental impact,international cooperation,global warming,renewable
30,aminotyrosine,pandemic has,growth,working poor,victims detected,youth aged,million inhabitants,ending hunger,marine biodiversity,empowerment,ecosystems,drought,dioxide emissions,efficiency,sustainably use
31,biogeochemical,skilled health,youth employment,national policies,international community,socioeconomic,sanitation services,extreme poverty,conserve,reduce poverty,environmental degradation,ecosystem services,development goals,co emissions,dioxide emissions
32,acidosis,through prevention,productivity,economic growth,corruption,graders,air pollution,farming,resilient agricultural,female,reef,environmentally,international agreements,use efficiency,clean fuels
33,cyproheptadine,malaria,employment opportunities,socioeconomic,global population,students,poverty reduction,feeding,illicit wildlife,developing countries,key biodiversity,sustainable,developing regions,conserve,developing countries
34,phospholipids,hiv,efficiencies,refugees,national policies,million children,water scarcity,poverty,fauna,disadvantaged,ocean,conservation efforts,national legislation,biofuels,renewable energy
35,phospholipid,health organization,socioeconomic,globalization,sub saharan,children aged,disaster risk,malnourished,grassland,minorities,seas,disposal,risk reduction,dioxide emissions,product gdp
