,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16
0,enzyme activity,preventable diseases,trafficking victims,reduce poverty,developing countries,global unemployment,urbanization,primary education,agriculture,biodiversity loss,gender equality,marine ecosystems,water sanitation,climate change,renewable energy,income countries,sustainable use
1,biochemical,mortality rates,human trafficking,poverty reduction,economic infrastructure,economic development,urban populations,schooling,resilient agricultural,biodiversity,gender inequality,fisheries,sanitation management,climate finance,energy efficiency,developing countries,sustainable consumption
2,biochemistry,mortality rate,human rights,extreme poverty,economic development,developing countries,rapid urbanization,education,agricultural sector,key biodiversity,gender pay,marine pollution,managed sanitation,global warming,energy consumption,economic development,sustainability
3,phosphoglyceric acid,neonatal mortality,international law,ending poverty,global economy,income countries,urban population,secondary education,agricultures,conservation efforts,reproductive health,marine biodiversity,sanitation,climate related,modern renewable,developed countries,sustainable
4,enzymes,premature mortality,trafficking,poverty,economic growth,youth employment,urban sprawl,primary schools,agricultural,deforestation,inclusive societies,marine environment,sanitation services,climate,renewables,global economy,sustainable development
5,amino acid,maternal mortality,detainees,poverty line,developed countries,global economy,urban areas,developing countries,agricultural productivity,reforestation,sexual exploitation,coastal ecosystems,sanitation facilities,sustainable development,sustainable use,gdp,waste generation
6,pharmacological,mortality,rights institutions,disadvantaged,economies,gdp,urbanized,quality education,nutrition,ecosystem,sexual violence,ocean acidification,improved sanitation,global carbon,clean energy,remittances,material consumption
7,enzyme,health coverage,developing countries,developing countries,gdp,labour market,human settlements,literacy,malnutrition,forest management,gender,coastal eutrophication,water scarcity,greenhouse gas,sustainable consumption,poverty reduction,reliable sustainable
8,amino acids,public health,crimes,income countries,industrializing,labour productivity,unplanned urban,educational,crops,ecological,females,fishery,basic sanitation,environmental impact,renewable,per capita,environmental impact
9,aminoacylation,child health,prison population,social protection,product gdp,economic growth,sustainable development,poverty reduction,food production,land degradation,female genital,marine resources,water resources,developing countries,sustainable,economically,environmental degradation
