Authors,Title,Year,Link,Abstract,Document Type,Source,EID
[No author name available],[No title available],1948,,[No abstract available],,Scopus,2-s2.0-0003578535
"Brynjolfsson E., McAfee A.",[No title available],2014,,[No abstract available],,Scopus,2-s2.0-84896338572
"De Fauw J., Ledsam J.R., Romera-Paredes B., Nikolov S., Tomasev N., Blackwell S., Askham H., Glorot X., O’Donoghue B., Visentin D., van den Driessche G., Lakshminarayanan B., Meyer C., Mackinder F., Bouton S., Ayoub K., Chopra R., King D., Karthikesalingam A., Hughes C.O., Raine R., Hughes J., Sim D.A., Egan C., Tufail A., Montgomery H., Hassabis D., Rees G., Back T., Khaw P.T., Suleyman M., Cornebise J., Keane P.A., Ronneberger O.","Clinically applicable deep learning for diagnosis and referral in retinal disease",2018,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052522615&doi=10.1038%2fs41591-018-0107-6&partnerID=40&md5=e3502e2bfa669e8c6d78bc5a59ee77bd","The volume and complexity of diagnostic imaging is increasing at a pace faster than the availability of human expertise to interpret it. Artificial intelligence has shown great promise in classifying two-dimensional photographs of some common diseases and typically relies on databases of millions of annotated images. Until now, the challenge of reaching the performance of expert clinicians in a real-world clinical pathway with three-dimensional diagnostic scans has remained unsolved. Here, we apply a novel deep learning architecture to a clinically heterogeneous set of three-dimensional optical coherence tomography scans from patients referred to a major eye hospital. We demonstrate performance in making a referral recommendation that reaches or exceeds that of experts on a range of sight-threatening retinal diseases after training on only 14,884 scans. Moreover, we demonstrate that the tissue segmentations produced by our architecture act as a device-independent representation; referral accuracy is maintained when using tissue segmentations from a different type of device. Our work removes previous barriers to wider clinical use without prohibitive training data requirements across multiple pathologies in a real-world setting. © 2018, The Author(s).",Article,Scopus,2-s2.0-85052522615
"Bolukbasi T., Chang K.-W., Zou J., Saligrama V., Kalai A.","Man is to computer programmer as woman is to homemaker? Debiasing word embeddings",2016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019238255&partnerID=40&md5=a6ec19483ad823cc2881aa1b3a0cb768","The blind application of machine learning runs the risk of amplifying biases present in data. Such a danger is facing us with word embedding, a popular framework to represent text data as vectors which has been used in many machine learning and natural language processing tasks. We show that even word embeddings trained on Google News articles exhibit female/male gender stereotypes to a disturbing extent. This raises concerns because their widespread use, as we describe, often tends to amplify these biases. Geometrically, gender bias is first shown to be captured by a direction in the word embedding. Second, gender neutral words are shown to be linearly separable from gender definition words in the word embedding. Using these properties, we provide a methodology for modifying an embedding to remove gender stereotypes, such as the association between the words receptionist and female, while maintaining desired associations such as between the words queen and female. Using crowd-worker evaluation as well as standard benchmarks, we empirically demonstrate that our algorithms significantly reduce gender bias in embeddings while preserving the its useful properties such as the ability to cluster related concepts and to solve analogy tasks. The resulting embeddings can be used in applications without amplifying gender bias. © 2016 NIPS Foundation - All Rights Reserved.",Conference Paper,Scopus,2-s2.0-85019238255
"Bonnefon J.-F., Shariff A., Rahwan I.","The social dilemma of autonomous vehicles",2016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976320981&doi=10.1126%2fscience.aaf2654&partnerID=40&md5=a1b3c45e267972b12bf5bbd8a9f3f801","Autonomous vehicles (AVs) should reduce traffic accidents, but they will sometimes have to choose between two evils, such as running over pedestrians or sacrificing themselves and their passenger to save the pedestrians. Defining the algorithms that will help AVs make these moral decisions is a formidable challenge. We found that participants in six Amazon Mechanical Turk studies approved of utilitarian AVs (that is, AVs that sacrifice their passengers for the greater good) and would like others to buy them, but they would themselves prefer to ride in AVs that protect their passengers at all costs. The study participants disapprove of enforcing utilitarian regulations for AVs and would be less willing to buy such an AV. Accordingly, regulating for utilitarian algorithms may paradoxically increase casualties by postponing the adoption of a safer technology.",Article,Scopus,2-s2.0-84976320981
"Jean N., Burke M., Xie M., Davis W.M., Lobell D.B., Ermon S.","Combining satellite imagery and machine learning to predict poverty",2016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983509249&doi=10.1126%2fscience.aaf7894&partnerID=40&md5=b67da4512ff1811ff4fb217be9d68c9c","Reliable data on economic livelihoods remain scarce in the developing world, hampering efforts to study these outcomes and to design policies that improve them. Here we demonstrate an accurate, inexpensive, and scalable method for estimating consumption expenditure and asset wealth from high-resolution satellite imagery. Using survey and satellite data from five African countries-Nigeria,Tanzania, Uganda, Malawi, and Rwanda-we show how a convolutional neural network can be trained to identify image features that can explain up to 75%of the variation in local-level economic outcomes. Our method, which requires only publicly available data, could transform efforts to track and target poverty in developing countries. It also demonstrates how powerful machine learning techniques can be applied in a setting with limited training data, suggesting broad potential application across many scientific domains.",Article,Scopus,2-s2.0-84983509249
"Rao, Saxena","Sustainable Development",0000,,[No abstract available],,Scopus,2-s2.0-84868372614
"Norouzzadeh M.S., Nguyen A., Kosmala M., Swanson A., Palmer M.S., Packer C., Clune J.","Automatically identifying, counting, and describing wild animals in camera-trap images with deep learning",2018,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048965218&doi=10.1073%2fpnas.1719367115&partnerID=40&md5=ec65c0f7c332e5b3679fd9a121c95d95","Having accurate, detailed, and up-to-date information about the location and behavior of animals in the wild would improve our ability to study and conserve ecosystems. We investigate the ability to automatically, accurately, and inexpensively collect such data, which could help catalyze the transformation of many fields of ecology, wildlife biology, zoology, conservation biology, and animal behavior into “big data” sciences. Motion-sensor “camera traps” enable collecting wildlife pictures inexpensively, unobtrusively, and frequently. However, extracting information from these pictures remains an expensive, time-consuming, manual task. We demonstrate that such information can be automatically extracted by deep learning, a cutting-edge type of artificial intelligence. We train deep convolutional neural networks to identify, count, and describe the behaviors of 48 species in the 3.2 million-image Snapshot Serengeti dataset. Our deep neural networks automatically identify animals with >93.8% accuracy, and we expect that number to improve rapidly in years to come. More importantly, if our system classifies only images it is confident about, our system can automate animal identification for 99.3% of the data while still performing at the same 96.6% accuracy as that of crowdsourced teams of human volunteers, saving >8.4 y (i.e., >17,000 h at 40 h/wk) of human labeling effort on this 3.2 million-image dataset. Those efficiency gains highlight the importance of using deep neural networks to automate data extraction from camera-trap images, reducing a roadblock for this widely used technology. Our results suggest that deep learning could enable the inexpensive, unobtrusive, high-volume, and even real-time collection of a wealth of information about vast numbers of animals in the wild. © 2018 National Academy of Sciences. All Rights Reserved.",Article,Scopus,2-s2.0-85048965218
"Tegmark M.","Life 3.0. Being human in the age of artificial intelligence",2017,,[No abstract available],,Scopus,2-s2.0-85035029227
"Fuso Nerini F., Tomei J., To L.S., Bisaga I., Parikh P., Black M., Borrion A., Spataru C., Castán Broto V., Anandarajah G., Milligan B., Mulugetta Y.","Mapping synergies and trade-offs between energy and the Sustainable Development Goals",2018,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034602300&doi=10.1038%2fs41560-017-0036-5&partnerID=40&md5=308b450704a15ef85aa94a056ba5a974","The 2030 Agenda for Sustainable Development -including 17 interconnected Sustainable Development Goals (SDGs) and 169 targets -is a global plan of action for people, planet and prosperity. SDG7 calls for action to ensure access to affordable, reliable, sustainable and modern energy for all. Here we characterize synergies and trade-offs between efforts to achieve SDG7 and delivery of the 2030 Agenda as a whole. We identify 113 targets requiring actions to change energy systems, and published evidence of relationships between 143 targets (143 synergies, 65 trade-offs) and efforts to achieve SDG7. Synergies and trade-offs exist in three key domains, where decisions about SDG7 affect humanity's ability to: realize aspirations of greater welfare and well-being; build physical and social infrastructures for sustainable development; and achieve sustainable management of the natural environment. There is an urgent need to better organize, connect and extend this evidence, to help all actors work together to achieve sustainable development. © 2017 The Publisher.",Article,Scopus,2-s2.0-85034602300
