Link,Abstract,Author Keywords,Index Keywords
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122633503&doi=10.1016%2fj.marpol.2022.104954&partnerID=40&md5=2247f6e484c74e2be9f27302e9192877,"Resilience of food systems is key to ensuring food security through crisis. The COVID-19 pandemic presents an unprecedented shock that reveals varying levels of resilience of increasingly interconnected food systems across the globe. We contribute to the ongoing debate about whether increased connectivity reduces or enhances resilience in the context of rural Pacific food systems, while examining how communities have adapted to the global shocks associated with the pandemic to ensure food security. We conducted 609 interviews across 199 coastal villages from May to October 2020 in Federated States of Micronesia, Fiji, Palau, Papua New Guinea, Solomon Islands, Tonga, and Tuvalu to understand community-level impacts and adaptations during the first 5–10 months of the COVID-19 crisis. We found that local food production practices and food sharing conferred resilience, and that imported foods could aid or inhibit resilience. Communities in countries more reliant on imports were almost twice as likely to report food insecurity compared to those least reliant. However, in places dealing with a concurrent cyclone, local food systems were impaired, and imported foods proved critical. Our findings suggest that policy in the Pacific should bolster sustainable local food production and practices. Pacific states should avoid becoming overly reliant on food imports, while having measures in place to support food security after disasters, supplementing locally produced and preserved foods with imported foods when necessary. Developing policies that promote resilient food systems can help prepare communities for future shocks, including those anticipated with climate change. © 2022 Elsevier Ltd",Coronavirus; Disaster; Food security; Resilience; Small-scale fisheries; Traditional knowledge and practices,
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121975883&doi=10.1016%2fj.landusepol.2021.105961&partnerID=40&md5=29367b2e5e6cd3b675b34b3c8c236788,"Despite progress towards recognizing communal land rights, there may be unintended outcomes, and for pastoral areas there is a need to be aware of how this may affect evolving pastoralist livelihoods. This paper examines trends in pastoralist livelihoods, perceptions and aspirations of pastoralists in a setting where a new communal property rights framework is in the early stages of implementation. The study was carried out in Dirre, a grazing unit of the Borana Zone in Ethiopia. It employed a mixed methods approach that included key informant interviews, focus group discussions, a workshop, a household survey and feedback sessions. The findings show that current livestock herd sizes make it difficult for pastoralists to rely only on livestock keeping, and have necessitated diversification. Crop production is increasingly becoming an alternative livelihood source, and most respondents reported wanting to expand their farms. Pastoralists also expect land certification to help secure land rights and enable better management of rangelands. However, there is also a widely held view that by providing security, certification will also make it easier for them to continue diversifying their livelihoods. This suggests that communal land certification is not likely to end the push to individualization of land and the transition to agropastoralism; it may even accelerate it. The strengthening of communal land rights can thus be used to guide this transition so that it represents a reorganization rather than a collapse of pastoralism. The focus of formalizing land rights for pastoralists should not be saving pastoralism or reversing the agropastoralist trend, but rather securing land rights to enhance the pastoralists’ capacity to make sound livelihood decisions. © 2021 Elsevier Ltd",Agropastoralism; Land certification; Land rights; Livelihoods; Livestock; Pastoralism,certification; land rights; land tenure; livelihood; livestock; pastoralism; Borana; Ethiopia
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118334447&doi=10.1016%2fj.agee.2021.107713&partnerID=40&md5=94d48c8eb670239a15f4b25d7e9d6743,"Although grazing is the primary land use in the savanna lowland of southern Kenya, the effects of grazing on soil carbon dioxide flux (RS) remain unclear. A 12-month study was conducted from January to December 2020 on the effects of six grazing intensities sites (overgrazed (OG), heavily grazed (HG), moderately grazed (MG), moderately to lightly grazed (M-LG), lightly grazed (LG) and no grazing (NG)) on RS on. A camera trap was used to monitor the total number of animals at each site, indicating the grazing intensity. Weekly measurements of RS were taken using static greenhouse gas chambers along with simultaneous measurements of soil temperature (TS) and volumetric soil water content (WS) (depth of 5 cm). Mean RS at HG, MG, M-LG and LG sites was approximately 15–25% higher than at NG and OG sites (p &lt; 0.001). Mean WS increased with decrease in grazing especially in the dry season, while TS increased with increase in grazing. We observed bimodal temporal variation in RS and WS due to two wet seasons in the year. Thus, variation in RS across the study period followed the changes in WS rather than those in TS. Mean values of RS in the wet seasons were significantly higher (&gt; 45%) than those in the dry seasons, and WS accounted for 71% of the temporal variability in RS (p &lt; 0.05). In addition, the enhanced vegetation index (EVI, interpreted as a proxy for vegetation cover) explained 60% of the variance of RS, and WS and EVI together explained 75%. EVI showed a negative relationship (p &lt; 0.05) with animal intensity, indicating that more grazing reduced vegetation cover and, consequently, soil organic carbon and biomass. Soil bulk density was lower at less grazed sites. While RS variability was unaffected by total nitrogen content, pH, and texture, correspondence analysis demonstrated that the main factors influencing RS dynamics across the year under different grazing intensities were WS and vegetation cover. Our results contribute to closing the existing knowledge gap regarding the effects of grazing intensity on RS in East Africa savannas. Therefore, this information is of great importance in understanding carbon cycling in savanna grassland, as well as the identification of the potential consequences of increasing land pressure caused by rising livestock numbers, and will assist in the development of climate-smart livestock management in East Africa. © 2021 The Authors",Grassland management; Soil respiration; Soil temperature; Soil water content; Sub-Saharan Africa,carbon dioxide; greenhouse gas; land use; livestock; livestock farming; savanna; vegetation cover; wild population; Kenya; Varanidae
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118503413&doi=10.1016%2fj.scienta.2021.110690&partnerID=40&md5=afefec810b938a9d77959ed5616178f4,"Fruit quality traits are directly linked to consumer acceptability, and thus key targets for banana breeding programs. We explored the genetic control of three major organoleptic and ripening-related traits, namely pulp acidity (pH), firmness (PF) and dry matter content (DMC), over a 7-day ripening period and three production cycles in a banana segregating population genotyped by sequencing. Significant broad-sense heritabilities were estimated with 0.77, 0.46 and 0.81 values for pH, PF and DMC, respectively. QTL detection was first performed on the whole dataset to analyze their dynamics. In a second approach, per-cycle data were considered to evaluate the stability across production cycles. Finally, a meta-analysis was performed. Various QTLs were detected, as well as many QTL colocalizations, while 12 of these QTLs were more prominent as they were detected in several approaches and/or explained over 15.0% of the phenotypic variation. Candidate genes were proposed for 10 of these QTLs. The QTL with the largest contribution to pulp acidity (R2 = 19.3–50.6%) was located on LG1_7 on the genetic map of Pisang Madu, i.e. a parent that is closely related to Cavendish, the world's most cultivated dessert banana cultivar group. This QTL is located on a chromosome derived from a reciprocal translocation that does not recombine in Pisang Madu, which is a favorable context for molecular marker monitoring. These first results will provide a relevant basis for marker-assisted selection in banana improvement programs. © 2021",Dry matter content; Dynamic QTL; Musa; Organoleptic banana quality; Pulp acidity; Pulp firmness,breeding; detection method; food quality; genetic analysis; genotype; ripening
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122240738&doi=10.1016%2fj.livsci.2021.104819&partnerID=40&md5=98f0110b6ed010ff177e1d24894f4ced,"The study simulated different potential breeding programs to design the optimal breeding structure and operational management structure for Borana goat. It evaluated different scenarios using ZPLAN+ software to maximize the genetic gain, discounted profit and to determine the optimum size of the base population for a community-based breeding program (CBBP) nucleus. The study analyzed the different combinations of objective traits in the index, assessed the effect of changing the breeding buck to doe ratio, evaluated the impact of improved kid survival, and determined the optimum size of the base population for a CBBP. A two-tier breeding program based on 577 does in the CBBP and 1,006 does in the surrounding base flocks was assumed, where selected CBBP bucks were disseminated to the base populations. Combining the weight of kids at six months (SMWT) and the lactation milk yield of dams (LMY) in the selection index resulted in a genetic gain doe−1 generation−1 of 0.13 kg, 0.58 kg, 0.02 and 0.004 for SMWT, LMY, the number of kids that survived to market age (NKS) and the number of kids born (NKB), respectively. This also generated a total discounted profit of US$5.76 doe−1 over 10 year investment period. This result was 30 percent higher than when LMY was evaluated separately and 225.7 percent higher than when SMWT was evaluated separately. The addition of NKB and NKS traits in the selection index did not significantly change the genetic progress and the profit. However, further optimization of the combined SMWT and LMY by improving mating ratio only, and a combined improvement in mating ratio and kid survival rate resulted in a substantial increase in profit to US$11.13 doe−1 and US$15.58 doe−1, respectively over 10 year investment period. The maximum discounted profit was attained when the base population size was 3,579 breeding does. This resulted in accumulated total profit of US$14,776 over the 10 year investment period. A two-tier dispersed CBBP with a unit size of about 577 does in the nucleus and 3,579 does in the base is recommended. In Borana goat community-breeding program, breeding buck need to be selected using an index combining at least own live weight and dam milk yield performance. Essential requirements for ensuring the sustainability of such programs are also discussed in the paper. © 2021 The Author(s)",Breeding objective; Economic benefit; Economic value; Genetic gain; Goat meat; Goat milk,animal experiment; article; body weight; breeding; buck (mammal); controlled study; Ethiopia; genetic gain; goat milk; human; investment; lactation; male; mating; milk yield; nonhuman; population size; profit; survival rate
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120568261&doi=10.1111%2fjocs.16147&partnerID=40&md5=654f38192e603e9a75f9fcfed4310d14,[No abstract available],,artery catheterization; blood vessel shunt; China; clinical outcome; coronary artery bypass surgery; data analysis; data base; heart surgery; human; Letter; personal experience; robot assisted surgery; vascular access; vein catheterization
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118977552&doi=10.1111%2fjocs.16143&partnerID=40&md5=eaebc1a2d8a3ca9c99d54dcd6aa23350,[No abstract available],,aortic valve disease; aortic valve replacement; bacterial endocarditis; coronary artery obstruction; hemodynamic parameters; human; Letter; reoperation; standardization; transcatheter aortic valve implantation
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102737316&doi=10.1177%2f1369148121994444&partnerID=40&md5=226d4a6cc360fb9da459563fb76adb11,"The literature on globalisation and democracy has primarily paid attention to economic integration and its effects on democracies. Systematic empirical evidence on the effects of social globalisation on democracy is absent. This article intends to fill this gap. Social globalisation is disaggregated into interpersonal, information and cultural globalisation. I apply the generalised method of moments estimation and analyse democracies encompassing the periods 1970–1991 and 1991–2017. The results indicate that the democratic qualities affected by social globalisation are freedom of expression, equal access and protection, and the quality of elections. The moderating effect of a given country’s democracy stock has been confirmed across different estimations. However, and especially during the post–Cold War period, younger and older democracies benefit equally from the increased spread of information caused by globalisation with regard to equal access. Equally, both categories experience similar challenges with the rise of interpersonal globalisation in terms of the quality of elections. © The Author(s) 2021.",cultural globalisation; democratic qualities; generalised method of moments; information globalisation; interpersonal globalisation; time-series cross-sectional analysis,democracy; economic integration; election; globalization; post-Cold War; time series analysis
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099012216&doi=10.1177%2f1369148120978964&partnerID=40&md5=4fbd130cced267a363afde499b2173a5,"The article explores the conditions under which incumbent leaders in initially competitive political systems manage to offset democratic resistance and establish an authoritarian regime. Autocratisation – the transition from a competitive political system to a regime dominated by a single political force – is a challenging effort for an incumbent and involves interventions in three ‘arenas’ to achieve (a) public legitimation, (b) institutional reforms increasing political repression and (c) mass-scale co-optation. Focusing on Slovakia and Belarus in the 1990s, where autocratisation efforts failed and succeeded respectively, the article finds that co-optation plays a catalytic role in helping the incumbent pass institutional reforms and escalate repression without risking de-legitimation. In Belarus, co-optation engulfed society and the economy whereas, in Slovakia, a socioeconomic environment with greater autonomy from government limited the scope for co-optation. The Slovak opposition was able to find the resources and supporters necessary to fight back against the incumbent. © The Author(s) 2021.",Belarus; clientelism; competitive authoritarianism; democratic backsliding; electoral authoritarianism; populism,
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115953811&doi=10.1016%2fj.aquaculture.2021.737494&partnerID=40&md5=7ae1901d3ed368ff533fbc555fef5f2a,"Fish is a key source of income, food, and nutrition in Zambia, although unlike in the past, capture fisheries no longer meet the national demand for fish. Supply shortfalls created an opportunity to develop the aquaculture sector in Zambia, which is now one of the largest producers of farmed fish (Tilapia spp.) on the continent. In its present form, the aquaculture sector exhibits a dichotomy. It comprises, on the one hand, a smallholder sector that mainly produces for and supplies within local markets, and on the other hand, a burgeoning larger-scale commercial sector consisting of a small number of pioneering lead firms who are (re)shaping how the value chain supplies domestic, mainly urban, markets. A notable challenge confronting the development of the aquaculture value chain in Zambia is ensuring that the larger-scale commercial sector can continue to grow and generate economic benefits for the country, while simultaneously safeguarding inclusive and sustainable growth of smallholder production systems. An in-depth, mixed-methods aquaculture value chain study was carried out in Zambia in 2017 that aimed at providing relevant stakeholders with pertinent information on the value chain's contribution to economic growth and its inclusiveness, as well as its social and environmental sustainability aspects. In this article, we present some key findings from the study to shed light on how the sustainability of smallholder production systems could be enhanced while preserving the growth trend of larger producers in an inclusive way. The study found that the value chain is contributing positively towards economic growth in the country. Smallholder farmers classified as “semi-subsistence” and “commercial” face several albeit somewhat different constraints to production, thus influencing their “sustainability” status. Semi-subsistence smallholders achieve positive (yet negligible) profit margins, and their production system is not environmentally sustainable and the value chain that supports them performs sub-optimally on several social markers. The “commercial” smallholder system is more economically viable and environmentally sustainable. The study juxtaposes these findings with those from the analysis of larger pond and cage-based systems to point to a set of key options Government, research, and development organisations could consider to support smallholder farmers and enhance the sustainability of the semi-subsistence smallholder production system in particular, without overlooking the whole system. © 2021 The Authors",Cages; Ponds; Smallholder; Tilapia; Value chain,aquaculture production; detection method; economic growth; smallholder; sustainability; Zambia; Tilapia
