,text
0,five peptides containing tyrosine were converted to the aminotyrosyl peptides by nitration with TNM and subseuqent reduction of the nitro groups to amino groups the fluorescence of these aminotyrosyl residues was found to be quite similar to that of aminotyrosine and it is concluded that the fluorescence is not CS to incorporation of the CAA into the peptide chain fluorescence of aminotyrosine derivatives was sensitive however to the nature of the solvent as the dielectric constant decreased fluorescence was enhanced ten fold and the emission maximum shifted from the nm value in AQ solution to nm it is predicted that similar differences might be expected for exposed and buried aminotyrosyl residues in a protein exposed tyrosyl residues on the helical protein tropomyosin and a helical segment of paramyosin were aminated in part and of the total tyrosyl residues respectively the fluorescence of the aminated tyrosyl residues on these proteins was similar to that of the aminotyrosyl MMP in an aqueous medium although the fluorescence efficiency of an aminotyrosyl residue was much lower than that of a tyrosyl residue it was easy to distinguish the fluorescence of the aminotyrosyl residues nm on the protein from that arising from unmodified tyrosyl residues nm
1,this T0 has investigated the relationship between duodenogastric reflux gastritis and certain PS months T3 three operations for uncomplicated duodenal ulcer the operations studied were proximal gastric vagotomy pgv cases TV and pyloroplasty tvp cases and TV and antrectomy tva cases duodenogastric reflux was assessed both by a radiological technique and by measuring the concentration of bilirubin in the gastric aspirate before and after operation incidence and severity of postoperative gastritis were determined by endoscopic biopsy PS were assessed by symptomatic score and visick grading there was a significant correlation between duodenal reflux and histological evidence of both severe SG and glandular atrophy p less than there was also a close association between the degree of reflux and the presence of severe heartburn epigastric pain and bile vomiting after operation the amount of reflux did not differ before T0 there was significantly less reflux following pgv than after either tvp p less than or tva p less than the results indicate that an operation which preserves an innervated and IN antrum and pylorus will protect against postoperative duodenogastric reflux gastritis and symptoms
2,oxygen utilization vo and lactate production by an isolated perfused canine hindlimb was evaluated at various hydrogen ion concentrations a membrane lung perfusion system was established such that blood flow and temperature could be fixed at normal levels oxygen nitrogen and carbon dioxide co gas flows to the membrane lung were independently regulated to provide a fixed arterial oxygen content cao by changing co flow the ph of the arterial blood was varied between and at min intervals the mean o delivery cao x blood flow was between ml omin and ml omin standard error of the mean in each dog however was less than ml omin vo was linearly related to the ph of the perfusing blood vo ph r oxygen consumption was inversely related to pco vo pco but the correlation was less good r lactate production was linearly related to the ph of the perfusing blood above a ph of lactate produced ph r at a ph below lactate was not produced oxygen consumption of skeletal muscle appears critically dependent on ECF ph a change in ph of alters vo almost exactly alkalosis is a potent stimulus to LA production by skeletal muscle
3,the ionization and phase behavior of dipalmitoylsnglycerophosphoserine have been investigated under a variety of condtions by several different methods as measured by turbidity changes the temperature of the crystalliquid crystal phase transition of this lipid is influenced by ph and mono and divalent cation concentrations the phtransition temperature curve is congruent with the curve relating temperature to the degree of ionization of the carboxyl group of the crystalline form the transition temperature falls from an upper plateau of degrees c at low ph values where the carboxyl group is fully protonated to a lower plateau of degrees c at high ph values where this group is fully ionized the apparent pk ph at ionization of the crystalline form shifts from to to with an increase of nacl concentration from to to l m respectively these observations are in accord with a simple theoretical analysis that utilizes diffuse double SL theory and the influence of surface potential on surface concentration of protons in qualitative terms an increase in electrolyte concentration reduces the surface potential the result of which is a diminution of the surfacebulk ph difference and a lowering of the apparent pk assuming an area of amolecule the intrinsic pka apparent pk corrected for surface ph of the carboxyl group is a fold change of nacl concentration produces a very C1 change in surface potential without influencing the transition temperature of the ionized form of the lipid
4,the Pyr carboxylase of pseudonomas fluorescens was purified fold from cells grown on gl at degrees c the activity of this purified enzyme was not affected by acetylcoenzyme a or laspartate but was strongly inhibited by adp which was competitive towards atp pyruvate gave a broken double reciprocal plot from which two apparent km values could be determined namely and mm from the lower and the higher concentration ranges respectively the apparent km for hco at ph in the presence of the manganese atp ion mnatp was mm the enzyme reaction had an optimum ph value of or depending on the use of mnatp or mgatp respectively as ATP free mg was an activator at ph values below the enzyme was strongly activated by monovalent cations nh and k were the better activators with apparent ka values of and mm respectively partially purified enzymes from cells grown on glucose at or degrees c had the same properties including the thermal stability in both cases of the CEA was lost after preincubation for min at degrees c the molecular weight was estimated to be about daltons by GF on sephadex g the regulatory properties and molecular weight are thus similar to those determined for the pyruvate carboxylases from pseudomonas citronellolis and azotobacter vinelandii
5,a label for the bilirubin binding sites of human serum albumin was synthesized by reacting mol of woodwards reagent k nethylphenylisoxazoliumsulfonate with mol of bilirubin this yielded a watersoluble derivative in which both carboxyl groups of bilirubin were converted to reactive enol esters covalent labeling was achieved by reacting the label with human SS Al under nitrogen at ph and degrees under the same conditions no CB to the monomers of several proteins could be demonstrated the number of binding CS for bilirubin and the label were found to be the same and competition experiments with bilirubin showed inhibition of covalent labeling the absorption fluorescence and cd spectra of the label in a complex with human serum albumin were similar to those of the bilirubin human SS albumin complex however following covalent attachment to the spectral properties were changed indicating loss of conformational freedom of the chromophore labeling ratios were selected to result in the incorporation of less than mol of labelmol of human serum albumin under these conditions labeling is thought to occur primarily at the high affinity binding site
6,"purified bovine hepatic fructosediphosphatase which exhibits maximal activity at neutral ph is competitively inhibited by several analogs of its ATP fructose diphosphate these include gl diphosphate ki x m hexitol diphosphate ki x m and anhydrodmannitol diphosphate ki x m and 1,5-AG diphosphate ki x m the ki values for both anhydrodmannitol diphosphate and anhydrodglucitol diphosphate are lower than the km of x m for fructose diphosphate since anhydrodmannitol diphosphate is an analog of the beta anomer of fructose diphosphate and anhydrodglucitol diphosphate is an analog of the alpha anomer the lower ki for the mannitol analog may indicate that the beta anomer of fructose diphosphate which predominates in solution is the true substrate the substrate analog pentanediol diphosphate inhibits slightly k x m but cyclohexyldiol diphosphate does not the ki for product inhibition by sodium phosphate is x m anhydrodmannitol diphosphate and alphadglucose diphosphate are substrates at ph but not at ph"
7,the addition of spermine or of spermidine to rat CL CA systems produced marked changes in a number of microsomal drug oxidations the hydroxylation of aniline and the ndemethylation of ethylmorphine were both enhanced with concentrations of mm spermine or of spermidine the results with putrescine on ethylmorphine metabolism were less dramatic and no effect could be observed with putrescine in studies with other drug substrates in contrast to the enhancing effects inhibition was observed when spermine or SD was added to pnitroanisole odemethylation CA mixtures and no effect was observed in assays for acetanilide hydroxylation the inhibiting and enhancing effects of the polyamines can be observed in assays containing liver S9 from both male and female rats and those from rats pretreated with phenobarbital or methylcholanthrene in all studies the alterations were kinetically noncompetitive the effects were shown to be independent of the nadphgenerating system and the cation requirements and were not mediated through an interaction with nadphcytochrome c reductase the possibility is considered that the enhancing and inhibiting effects may be related to the ability of these polycations to bind to microsomal membranes and cause alterations at different sites of substrate interaction
8,the synergistic effects of four SU substitutes polysorbate and five artificial sweeteners were studied in vitro on growth pattern and acid production of seven glucosegrown streptococcus mutans strains representing the five serological groups after bratthall four distinct growth patterns during glucose fermentation were observed high rate of growth with low acid production moderate growth rate with moderate acid production moderate growth rate with high acid production and slow rate of growth with moderate acid production depending on the strain used the final od at nm ranged from to and the final ph of the medium varied between and while added sucrose substitutes with exceptions usually enhanced growth rate most artificial sweeteners suppressed or at higher concentrations even inhibited growth of s mutans addition of polysorbate to the medium always increased growth rate of s mutans significantly the presence of sucrose substitutes during glucose fermentation had no effect on final ph of the medium but addition of artificial sweeteners especially sodium saccharin elevated final ph up to units the observed physiological patterns and differences within the several strains of s mutans during glucose fermentation in vitro do not necessarily relate to the five serological groups of the species
9,the clinical usefulness of propranolol as the sole drug in the preoperative treatment of thyrotoxicosis has been investigated the effect of the drug on the serum levels of thyroxine and triiodothyronine has also been studied eight consecutive patients were treated four of these showed good clinical response to propranolol and both pre and postoperative periods were uneventful two patients also showed a good clinical response but developed accentuated thyrotoxic PS in the immediate postoperative period one patient showed no clinical response to propranolol therapy and in one further patient the treatment was discontinued because of discomfort all glands were resected without technical difficulty they were more vascular and friable after this therapy than T3 pretreatment with antithyroid drugs and thyroxine the serum levels of thyroxine and triiodothyronine decreased during propranolol treatment it is concluded that treatment with propranolol as a sole preoperative drug might be used as an alternative only in cases where conventional therapy is not suitable
10,a doubleblind study with intraindividual comparisons was carried out to investigate the effects of mg of ralphahydroxyisopropylalphahtropanium bromidetropate sch mg sch mg OX mg oxazepam and PL with p.o. in randomized sequence on gastric juice volume amount of acid concentration and ph values in healthy volunteers the secretion parameters were measured during a h basal period and a h stimulation period the gastric juice was obtained in min portions via stomach tube stimulation was effected by mugkgh PG via drip infusion the friedman test was used for the comparative statistical DUE and individual comparisons were carried out by means of the wilcoxon test pairdifferences rank the results show that sch and sch oxazepam were equal in effect on basal and stimulated secretion volume as compared with placebo it was not possible to establish an effect on secretion volume for oxazepam alone sch and sch OX were found to be equipotent in reducing the amount of basal acid while OX reduced this quantity only during the first min of basal secretion none of the three active preparations was capable of inhibiting the stimulated acid although both sch preparations produced a clear trend towards lowered mean values during the basal secretion period all three test S9 had an inhibiting action on acid concentration but none of them had a significant effect during the stimulation period the ph value was savely increased only by sch and sch oxazepam and this even only during the basal period the results are discussed
11,this paper presents the first study of conformational changes in the subfractions of CT h h was fractionated by the method of kincade and cole kincade j m and cole rd j biol chem using a very shallow gdnhc gradient a possible new h subfraction about of the h has been found and characterized by amino acid analysis and electrophoresis the effects of salt concentration and ph on the conformation of each of the four major subfractions have been studied by measuring the fluorescence anisotropy of the tyrosine emission and the circular dichroism cd of the peptide bond upon the addition of salt to aqueous solutions at neutral ph all four subfractions show an instantaneous change in fluorescence anisotropy fluorescence intensity tyrosine absorbance and cd the folding associated with this instantaneous change is highly cooperative and involves the region of the molecule containing the lone tyrosine which becomes buried in the folded form the folding of subfraction a is more sensitive to salt than the other L1 subfractions upon folding approximately of the residues of subfractions b and form alpha and beta structure a and b have approximately of the residues in alpha and beta structures there is no evidence for interactions between the subfractions in saltfree solutions each of the four major subfractions show very little change in conformation in going from low to neutral ph but each shows a very sharp transition near ph this transition gives rise to a marked increase in fluorescence anisotropy and fluorescence intensity and involves the formation of both alpha and beta strucute in a manner similar to that of the saltinduced state
12,the effect of somatic afferent c fiber stimulation on regional CBF blood flow rcbf and cerebral tissue available oxygen ao was studied in dogs under chloralose anesthesia mean arterial blood pressure arterial pco and ph were stabilized before and during the min stimulation of the sciatic SN v ms hz combined goldplatinum electrodes were chronically implanted into the VPL of the TH ventromedial nucleus of the hypothalamus and into the VWM tissue ao and rcbf of these regions were measured polarographically the latter by the hgas clearance technique blood flow changed from to ml g per min CVR cvr from to resistance units ru in the TH from to ml g per min cvr from to ru in the hypothalamus and from to ml g per min cvr from to ru in the VWM during ipsilateral stimulation contralateral stimulation of the sciatic nerves caused a more moderate but likewise significant drop in rcbf and an increase in cvr except in the VWM parallel to these changes tissue ao decreased by in the thalamic and by in the Thy area relative to the prestimulation level
13,in acute and chronic experiments investigations were made concerning the effect of clozapine haloperidol sulpiride and carpipramine on mhpg hva and hiaa in rat brain and on motor activity of the animals the activity of the rats treated with clozapine and haloperidol was reduced on the first day after days of treatment this effected of clozapine was significantly diminished the mhpg level increased slightly on the first day of treatment with all four drugs this elevation was maintained after chronic treatment with carpipramine and sulpiride whereas clozapine and haloperidol decreased the mhpg content hiaa values did not show significant changes in acute experiments whereas in chronic ones there was an increase haloperidol and clozapine induced a strong increase of hva which decreased T3 days in those animals treated with haloperidol in comparison to haloperidol T3 clozapine application the percentage of hvaincrease was higher in the limbic system than in the nigrostriatum
